title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"['GEOG 2833', 'Introduction to Geographic Information Systems']",An introductory course dealing with computer organized spatial and attribute data. GIS is a system of specialized computer programs with the capability to manipulate and analyze data for problem solving.,https://catalog.atu.edu/courses/geog/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"['FW 2833', 'Introduction to Geographic Information Systems']",An introductory course dealing with computer organized spatial and attribute data. GIS is a system of specialized computer programs with the capability to manipulate and analyze data for problem solving.,https://catalog.atu.edu/courses/fw/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"['GEOL 3174', 'Computer Applications in Geology']","Participants will focus on mastering common geotechnical, oil and gas, and Geographic Information Systems (GIS) software utilized throughout the geologic profession. Course will include techniques on GIS analysis; generating stratigraphic sections, cross-sections, structure contours, fence diagrams, rose diagrams, and other geologic documents; geologic data management.",https://catalog.atu.edu/courses/geol/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"['FW 4034', 'Advanced Geographic Information Systems Applications']","Use of GIS technology in wildlife and fisheries management and research. Emphasis placed on creation, maintenance, and analysis of spatially explicit data. Lecture three hours, laboratory two hours.",https://catalog.atu.edu/courses/fw/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"['FW 4103', 'Human Dimensions of Fisheries and Wildlife Management']","Exploration of the complex interactions of social, political, institutional, economic and ecological processes that contribute to natural resource use and management. The primary focus is on interactions and conflict resolution among various stakeholders, resource management agencies, and wildlife and fisheries resources. Topics covered include public attitudes and expectations; agency structure and policy; values of fishes, wildlife; and public relations.",https://catalog.atu.edu/courses/fw/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"['ENVS 4124', 'Biological Assessment of Water Quality']","This course is an in-depth study of assessment of water quality by analyzing biological and chemical data. This course may include topics and case studies from the following list: Compare and contrast biological and chemical techniques for assessing water quality Physical and chemical properties of water, Connecting flows and water quality Nutrient pollution, Point and non-point sources Effects of petroleum pollution from extraction, transportation, refining, and combustion on biological systems SOPs, industry, and government standard practices and procedures for analyzing water quality Species richness, species evenness, and rank abundance curves Techniques from microbiology Plants as assessment tools Cladocerans and other zooplankton in laboratory or field Macro invertebrates as indicators Fighting Back Against Invasive Plants Watch-dogging Wetlands Mitigation Tackling the Dead Zone & Restoring the Mississippi Volunteer monitoring helps identify problems and improve clean-up Lecture 3 hours, laboratory 3 hours. This course includes several required field trips.",https://catalog.atu.edu/courses/envs/,6.0,Water Quality;Combustion,technical_skills-1;engineering_capabilities-2,"{""combustion"": 1, ""water quality"": 5}"
"['ENVS 4133', 'Environmental Policy']","This course is an in-depth study of environmental policy and law, including federal and state regulations, federal and state agencies, policies, enforcement, historic legal actions, and important procedures for compliance. This course may include topics and case studies from the following list: Introduction to the Clean Water Act Water Quality Standards Pollution Discharge Permits Storm water Pollution Discharge Permits Identifying Impaired Waters Restoring Impaired Waters Water Quality Certification Dredge & Fill Permits Non-point Source Control State Revolving Funds Enforcement Other Laws Phosphorus Pollution Controls Kentucky Waterways Alliance antidegradation case Using the Clean Water Act to Restore Flows: Fay Creek Watershed-based approach to storm water permits Creative ways to use Section 319 funds Hard infrastructure dollars pay for stream restoration An industrial success in Oregon Pursuing alternatives to wetland destruction Using 401 to protect stream flow in the Dosewallips River.",https://catalog.atu.edu/courses/envs/,2.0,Water Quality,technical_skills-1,"{""water quality"": 2}"
"['FW 5034', 'Advanced Geographic Information Systems Applications']","Use of GIS technology in wildlife and fisheries management and research. Emphasis placed on creation, maintenance, and analysis of spatially explicit data. Lecture three hours, laboratory two hours. $40 laboratory fee.",https://catalog.atu.edu/courses/fw/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"['WLD 1202', 'Blueprint Reading']",Students will learn to read and interpret various kinds of blueprints and working drawings. AWS welding symbols and their meanings will be taught.,https://catalog.atu.edu/courses/wld/,3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
"['WLD 1212', 'Industrial Safety in Welding']",The study of safe and industry accepted practices and equipment necessary for the safe use of all existing manual methods of welding. Student will learn to identify common industrial and occupational hazards and means to avoid accidents.,https://catalog.atu.edu/courses/wld/,5.5,Industrial Safety;Welding,delivery_and_storage-3;technical_skills-1,"{""welding"": 2, ""industrial safety"": 1}"
