title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"SUS 498X - Sustainability Internship, Credit hours to be arranged","The for-credit internship registration process is handled via the Career Center Handshake platform. To register your internship for credit, please contact Career Center at .",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"SUS 350 - Sustainability for the Professional: Tools, Methods, and Credentials, 3 credit hours","Core Math This course introduces students to the key tools, methods, and certifications expected of today’s sustainability professionals. Sustainability as a field of practice has been developing standard expectations on the job market for more than a decade. This focuses on building sufficient competency in LEED (GA – Green Associate) standards and Six Sigma (Green Belt) for students to challenge the certification exams for those credentials after the course concludes. You will also gain working familiarity with the AASHE (Association for the Advancement of Sustainability in Higher Education) STARS (Sustainability Tracking and Assessment Rating System). As such, you will be able to conduct real world assessments of systems and structures that are sought after skills on the job market.",6.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 5}"
"SUS 298X - Sustainability Internship, Credit hours to be arranged","The for-credit internship registration process is handled via the Career Center Handshake platform. To register your internship for credit, please contact Career Center at .",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"SUS 273 - Environmental Ethics, 3 credit hours","An exploration of the ethical issues associated with the impact of human activity on the environment, eco-systems, and biodiversity. Course addresses broad questions such as: how should we conceive our relationship to the natural environment? Does sustainability demand a new biocentric ethic? Do non-humans (e.g. other animals, natural objects) have rights? What responsibilities do we have to future generations? Students will also explore some specific issues (e.g. energy, food production), their personal obligation to sustainable living, and the local context.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"SOC 386 - Global Perspectives, 4 credit hours","Recommended Preq: or Sophomore standing. We live in a world where global and local events are increasingly interconnected. The primary purpose of the course is to provide a sociological interpretation of global human dynamics. Issues of concern include areas of changing political economy, ecological sustainability, and international conflict. Major theories of development, i.e., modernization, dependency, and world-system will be examined. Alternative models of development and the role of different cultures in the national quest to advancement will also be discussed. In addition, this course seeks to understand how solutions to common problems such as globalization, environmental degradation, and the war against terror will affect American society as well as the global community.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"REL 219I - Religion and the Environment, 3 credit hours",A comparative examination of the world’s religions in terms of their attitudes toward nature and the environment. Special attention will be given to modern international case studies of religious approaches to sustainability.,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"PHT 350 - Health, Food Science, and Technology, 3 credit hours","or approval of the instructor This course will discuss food science and technology as it relates to overall health, nutritional health, and food security of individuals nationally and globally. Food ingredients, quality, technology, safety, and regulation will be explored. There will be a historical review of food delivery and production practices, diets and eating patterns, food systems, and food distribution globally. Industrialization and globalization of food systems will be examined through a lens of sustainability and protection of human health.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"CSC 360 - Information Systems Project Management, 3 credit hours","Junior Status or above. This course provides a methodical approach to project management in the context of an information system organization. The theory and practice of project management are studied and applied. Topics include system life cycle planning, organizational structures, team building, interview techniques, management functions, project management software, project evaluation and control, and technical writing.",4.0,Project Management,engineering_capabilities-2,"{""project management"": 4}"
"ENV 201 - Energy and Climate, 3 credit hours","Two of the most critical environmental issues are sufficient energy resources for an expanding population and the impacts the combustion/utilization of these energy resources on Earth’s climate. This course will provide a scientific foundation for examining energy and climate change, with special emphasis given on understanding the rate of climate change over the past century in relation to past climate change.",2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
"EGR 420 - Sustainable Power Generation, 3 credit hours","& The course involves description and analysis of power-generation and storage technologies for ground & space systems. The analysis of the chemical, electrolysis and thermodynamic processes, and range of application of various direct-conversion and storage devices are addressed. Direct-energy technologies include: solar-photovoltaic cells, fuel cells, thermionics, dynamic, wind turbines, hydroelectric, radioisotopes and nuclear fission. Storage technologies include batteries, regenerative fuel-cells, hydro and flywheels. Applications to various systems such as buildings, automobiles and spacecraft will be addressed.",7.5,Fuel Cell;Power Generation;Electrolysis,use-3;production-3,"{""electrolysis"": 1, ""fuel cell"": 1, ""power generation"": 1}"
