title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
PHYS-3200 Relativity & Atomic Physics (3 credits) ( Fall Semester),"Einstein's postulates of Special Relativity, including relativistic mechanics and relativistic electromagnetism, will be treated analytically. Discussion of general relativistic theories will be presented. Modern physics concepts including wave/particle dualism, atomic theory, introductory quantum mechanics, and the hydrogen atom will be discussed.",https://coursecatalog.benedictine.edu/course-descriptions/phys/,5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
NASC-1400 Earth Science (3 credits) ( Fall Semester),"This course introduces the student to the fields of geology, oceanography, and meteorology and applies knowledge from these areas to environmental concerns. Topics interrelating these fields, such as air and water quality, and climatic effects of pollution are explored. (NW, SM)",https://coursecatalog.benedictine.edu/course-descriptions/nasc/,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
MENG-3180 Manufacturing Proccess Lab I (1 credit) ( Both Fall & Spring Semesters),"This hands-on laboratory course provides experience with manufacturing techniques including welding, surface preparation and coating, additive manufacturing (including casting), machine tools (mills, lathes), CAD/CAM/CNC, and metrology.",https://coursecatalog.benedictine.edu/course-descriptions/meng/,3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
MENG-4610 Mechanical Engineering Design II (3 credits) ( Spring Semester),"This is the second course of a two-course sequence in engineering design in which teams of students will fabricate their design from MENG-4600 . The course incorporates design methodologies, engineering standards, multiple realistic constraints, market analysis, design objectives, alternative designs, communication, and teamwork into a major engineering design experience. In addition to completing the project, the course will cover key elements of professional development and program management including scheduling, resource management, procurement, risk management, and negotiations. The course will culminate with a final project design report and presentation.",https://coursecatalog.benedictine.edu/course-descriptions/meng/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MENG-4820 Intro to Finite Element Analysis (3 credits) ( Discretion of Department),"Course topics include finite element analysis techniques and theory. Students will use ANSYS, an industry-standard FEA package, as well as write their own FEA algorithms. Matrix methods are used throughout.",https://coursecatalog.benedictine.edu/course-descriptions/meng/,1.5,ANSYS,technical_skills-1,"{""ansys"": 1}"
MENG-4830 Environmental Stewardship (3 credits) ( Discretion of Department),"This course offers students an opportunity to participate in guided research dealing with contemporary environmental issues in mechanical engineering, through the lens of the Catholic tradition, and in collaboration with scientists, theologians, philosophers, and other engineers. Research of this kind involves reading and discussing the Magisterial documents, seminal scientific data and publications, and government regulations and policies, as well as understanding the engineering practices and technologies of today. Prerequisite or Open to all science & engineering fields.",https://coursecatalog.benedictine.edu/course-descriptions/meng/,4.5,Environmental Stewardship,sustainability_and_policy-4,"{""environmental stewardship"": 1}"
MENG-4840 Introduction to Robotics (3 credits) ( Discretion of Department),"This course includes the following topics: kinematic modeling, analysis, path planning and control of robotic systems. It involves ths use of manipulators, sensors, and computer vision for automation and includes hands-on activities with robotic systems. Pre-requisites: ENGR-2000 and MATH-1350 .",https://coursecatalog.benedictine.edu/course-descriptions/meng/,1.5,Automation,technical_skills-1,"{""automation"": 1}"
PHYS-4800 Quantum Mechanics (3 credits) ( Fall Semester),"This course is a general introduction to quantum mechanics. Topics discussed include wave-particle duality, Schröedinger's equation, the square well, potential barriers, the harmonic oscillator, parity, angular momentum and spin, hydrogenic atoms, and approximation techniques. Co-requisite: PHYS-4100 .",https://coursecatalog.benedictine.edu/course-descriptions/phys/,5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
MGMT-2550 Teams & Leaders (2 credits) ( Discretion of Department),"This course will introduce students to the skills and techniques of building effective teams. The course will combine behavior theory and relevant business practice. It will develop transferable leadership skills learned through practice and application within team projects, class activities, and a variety of learning exercises. The application of these skills comes in the form of project management, group decision making, team development, practice of ethics, and team presentations.",https://coursecatalog.benedictine.edu/course-descriptions/mgmt/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
MGMT-4500 Human Resource Management (3 credits) ( Spring Semester),"This course deals with hiring procedures, employment testing, the interview and selection process, job design, evaluation techniques, management-labor relations, wage and salary administration, and current employment regulations. Application through case analysis is used.",https://coursecatalog.benedictine.edu/course-descriptions/mgmt/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MGMT-4660 Operations & Logistics Management (3 credits) ( Fall Semester),"This course provides students the logic and quantitative tools to manage and improve the processes that produce products and services, integrating issues of management and marketing. Students examine and practice planning in-house operations as well as supply chains and distribution channels to achieve improved performance by applying design thinking, managing for sustainability, and lean methods to reduce costs, improve quality and timeliness, and create value through prudent planning and scheduling of operations and supply chains; facilities structure, capacity and inventory decisions, and worker development.",https://coursecatalog.benedictine.edu/course-descriptions/mgmt/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
MGMT-4730 Human Resource Law (3 credits) ( Discretion of Department),"This is a survey course designed to acquaint students with the broad and controlling aspects of federal and state laws and regulations that affect human resource management such as EEO, ADA, ADEA, OSHA, Title VII, etc. Students will be expected to study cases and regulations as well as textual materials.",https://coursecatalog.benedictine.edu/course-descriptions/mgmt/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MGMT-4750 Project Management (3 credits) ( Discretion of Department),"This course investigates the key components of the even-increasing field of project management. It develops managerial aspects, including the topics of planning, organizing, selecting, scheduling, and controlling projects. The course is enhanced with Microsoft Project software when available. Program Evaluation Review Techniques (PERT) and Critical Path Method (CPM) concepts are introduced.",https://coursecatalog.benedictine.edu/course-descriptions/mgmt/,3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
ENGR-1200 Introduction to Engineering (2 credits) ( Fall Semester),"This course reviews the origins and current state of the engineering profession and its four main disciplines. Students learn an engineering analysis process and a design process, review the use of units, develop problem-solving skills, practice technical communication skills, and apply professional skills, including teamwork, project management, and engineering ethics. An introduction to the laws of dynamics, kinematics, and thermodynamics provides students the background necessary to solve simple engineering problems. Prerequisites or Co-requisites: MATH-1250 or MATH-1300 .",https://coursecatalog.benedictine.edu/course-descriptions/engr/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ENGR-1500 Technical Drawing (2 credits) ( Spring Semester),"This is a course in graphical communication, expression and interpretation applicable to engineering, sciences, and other technical fields of study. Computer Aided Design (CAD) is the primary computer drafting tool used in conjunction with manual instruments of drawing. The ability to visualize in three dimensions is developed through shape description, sketching and multi-view projection exercises. The course includes the engineering and architectural scales, engineering lettering, geometric constructions, and pictorial projections. Descriptive geometry, using geometric dimensioning and tolerancing standards, is an essential aspect of this course. CAD instruction covers making parts of varying complexity, functioning assemblies, and technical drawings. (VC)",https://coursecatalog.benedictine.edu/course-descriptions/engr/,3.0,Technical Drawing,engineering_capabilities-2,"{""technical drawing"": 2}"
ENGR-3400 Materials Laboratory (2 credits) ( Fall Semester),"This course provides the student with the laboratory procedures common to the mechanical design area. Students will explore the methods and applications of mechanical property measurements, including torsion, tension, and bending tests. The course covers quantitative metallography, corrosion, heat treatment, strain gages, and mechanical property measurements. (WC)",https://coursecatalog.benedictine.edu/course-descriptions/engr/,1.5,Corrosion,technical_skills-1,"{""corrosion"": 1}"
ENGR-3410 Thermofluids Laboratory (2 credits) ( Spring Semester),"In this laboratory course, students apply fluid mechanics, thermodynamics, heat transfer, and statistics knowledge to develop and execute experimental designs. Preparation of experimental proposal memorandum and technical reports develops technical writing skills. (WC)",https://coursecatalog.benedictine.edu/course-descriptions/engr/,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ENGR-3500 Materials Science (3 credits) ( Fall Semester),"This is a course in engineering materials and their applications. The technological uses of metals, ceramics, plastics, and composite materials are discussed and explained in terms of their basic atomic structure, and mechanical, thermal, electrical, and degradation properties. Material selection in engineering design is emphasized.",https://coursecatalog.benedictine.edu/course-descriptions/engr/,4.0,Material Selection;Materials Science,technical_skills-1;engineering_capabilities-2,"{""materials science"": 1, ""material selection"": 1}"
ENGR-4840 Quality Engineerg (3 credits) ( Discretion of Department),"This course utilizes the DMAIC methodology (Define, Measure, Analyze, Improve, and Control) as a framework to teach students to manage, control, and improve quality. The course provides a solid foundation in statistical process control (SPC) concepts such as process capability, control charts, etc. Students will apply statistical tools from previous courses (linear regression, design of experiments) and learn new techniques (components of variance and robust parameter designs) to reduce process variability and improve product quality.",https://coursecatalog.benedictine.edu/course-descriptions/engr/,1.5,Process Control,technical_skills-1,"{""process control"": 1}"
ENTR-4100 Entrepreneurial Social Ventures (3 credits) ( Spring Semester),"This course introduces the concept of social entrepreneurship in theory and practice. It exposes students to the concept of social innovation, change-making, and how social entrepreneurs transform society to deliver social impact in their home communities. It will prepare students to be effective, through social entrepreneurial pursuits, in addressing social problems including poverty, education, healthcare, and sustainability, among others. In addition, this course helps students to understand the role of measuring social impact and how measurement tools are important to investors, donors, and beneficiaries to help ensure that scarce resources are utilized effectively.",https://coursecatalog.benedictine.edu/course-descriptions/entr/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ENTR-4900 Entrepreneurial Practicum (3 credits) ( Both Fall & Spring Semesters),"The entrepreneurial practicum course gives students the opportunity to create and launch a viable business entity. With guidance from your facilitator, you will proceed from concept into strategic planning, future projections, sustainability targets, exit strategy (if appropriate), legal formation, capitalization, and initial execution. Students will propose how the business entity can operate both profitably and ethically, integrating the skills and knowledge they have acquired in the Entrepreneurship minor program.",https://coursecatalog.benedictine.edu/course-descriptions/entr/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
EENG-4050 Control Systems I (3 credits) ( Spring Semester),"This course is an analysis of control systems and their performance. Topics include mathematic modeling and dynamic response of linear control systems, stability analysis, design of linear controllers using the root locus, and frequency response techniques.",https://coursecatalog.benedictine.edu/course-descriptions/eeng/,2.5,Control Systems,technical_skills-1,"{""control systems"": 3}"
