title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
BUSN 375 - International Business,"A study of the international business environment and the ways in which the functional areas of business are impacted by globalization, with particular emphasis given to the challenges confronting managers as a result of increased globalization. Topics covered include trends in international business, the impact of trade policies on international business, regional economic cooperation, monetary systems and exchange rates, strategic and human resource management in a global environment, exporting, importing, and global trends in production management. or Permission of Instructor .",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
CIET 211 - Surveying II w/Lab,"A study of survey adjustments, use of software in solving surveying problems, horizontal and vertical control networks, global positioning systems, fundamentals of geographic information systems, map projections, State Plane Coordinate Systems, introduction to rural and urban land surveys, and partitioning of land. , or Permission of Instructor.",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
COSC 422 - Software Engineering,"This course improves the methodology of building software with emphasis on the object-oriented paradigm. It starts with an overview of object-oriented concepts, principles of software writing, design patterns, software analysis, design, implementation, and testing. This course is project-based. Design patterns will be discussed heavily and used in projects. UML Unified Modeling Language is used as the language of all phases of the software life cycle. CASE Computer Aided Software Engineering tools such as version control systems, and IDE’s will be introduced and used.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
CIET 415 - Senior Design,"A senior capstone course for Civil Engineering Technology students in which a comprehensive design project is completed. The project will involve working within multiple disciplines of civil engineering technology as well as estimating, scheduling, and project management skills. Upon completion, students will prepare design drawings, engineering specifications, and an engineering report that will be presented to an audience, which may include their peers as well as available professionals. & or Instructor’s Consent",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CIET 301 - Environmental Systems,"A study of environmental laws and regulations, water resource management, water quality, stream sanitation, water distribution and sanitary sewer systems, water and wastewater treatment processes, solid waste management, and environmental evaluations. or or Permission of Instructor.",2.0,Water Quality;Resource Management,technical_skills-1,"{""water quality"": 1, ""resource management"": 1}"
ENGR 314 - Engineering Mechanics II,"Mechanics of materials covering normal and shear stress and strain, distributed loads, second moment, torsion, beam theory, combined stresses, column theory, and pressure vessels, bolted, riveted and welded connections. .",3.5,Pressure Vessel,delivery_and_storage-3,"{""pressure vessel"": 1}"
ENGR 202 - Strength of Materials,"Mechanics of materials course covering concepts of normal and shear stress and strain, deformation, factors of safety and stress s, axially-loaded members, torsionally-loaded members, shearing and bending of beams, internal shear-force and bending-moment diagrams, stresses resulting from combined loading, statically- indeterminate loading, thin-walled pressure vessels, stress transformation via equation and Mohr’s circle, beam deflection, column buckling, and thin-walled pressure vessels.",4.0,Pressure Vessel,delivery_and_storage-3,"{""pressure vessel"": 2}"
ELET 216/216L - Electrical Control Systems,A study of direct and alternating current systems for controlling operation of electric motors. Electromagnetic and static control systems are studied in detail. An introduction to the operations of a programmable controller will be included with both ladder logic. .,2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
ELET 215 - Industrial Control Systems,"A study of into the type of controls used in modern industrial production systems such as electrical, water, oil, gas, and manufacturing industries. Topics covered will include basics of electrical products, AC and DC motors and controls, control components, introduction to PLC’s, circuit breakers, busway design, switchgear, safety switches, surge protection, and transformers and other topics relevant to industrial controls.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
EGMT 490 - Topics in Engineering Management,Advanced formal course in diverse areas of Engineering Management. Course may be repeated for different topics. Specific topics will be announced and indicated by subtitle on transcript. Consent of instructor,3.0,Engineering Management,engineering_capabilities-2,"{""engineering management"": 2}"
EGMT 443 - Statistical Process Control,"Introduces fundamentals of process improvement tool and SPC. Includes basic probability and fundamental statistical concepts used in industrial process control charting. Topics include data collection techniques, descriptive analysis, control charts for variables data, control charts for attributes and process capability measures. .",2.0,Process Control,technical_skills-1,"{""process control"": 2}"
EGMT 437 - Industrial Safety,"This course introduces students to the fundamentals of safety in an industrial environment. Major topics include principles of safety management, plant layout and materials handling, computer-aided hazard analysis, and disaster management.",1.5,Industrial Safety,technical_skills-1,"{""industrial safety"": 1}"
