title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"URBS 2004 (a, MCSR) GIS and Remote Sensing: Understanding Place","Geographical information systems (GIS) organize and store spatial information for geographical presentation and analysis. They allow rapid development of high-quality maps and enable powerful and sophisticated investigation of spatial patterns and interrelationships. Introduces concepts of cartography, database management, remote sensing, and spatial analysis. Examines GIS and remote sensing applications for natural resource management, environmental health, and monitoring and preparing for the impacts of climate change from the Arctic to local-level systems. Emphasizes both natural and social science applications through a variety of applied exercises and problems culminating in a semester project that addresses a specific environmental application. Students have the option of completing a community-based project. (Same as: ENVS 2004 , DCS 2335 )",https://bowdoin-public.courseleaf.com/courses/urbs/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"URBS 2215 (b, MCSR) Mapping the Social World: Geographic Information Systems in Social Science Research","Examines the use of geographical information systems (GIS) to organize, analyze, and visualize spatial data within social science and humanities research. Introduces foundational concepts of cartography, database design, spatial data representation, and data visualization. Provides hands-on experience in spatial data collection, three-dimensional modeling, spatial analysis, spatial network analysis, and spatial statistics. The application of GIS to areas of social scientific and humanistic inquiry are explored through examination of case studies, weekly laboratory exercises, and an individual semester project that culminates in a conference-style research poster. Case studies and data sets are drawn from anthropology, archaeology, and related fields, such as sociology, history, and cultural geography. (Same as: ANTH 2215 )",https://bowdoin-public.courseleaf.com/courses/urbs/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"URBS 2301 (b, MCSR) Building Resilient Communities","Explores approaches by communities and regions to build resilience in the face of changing environmental and social conditions. Examines the ways communities establish policies and collaborate with state, federal, private and nonprofit sectors towards strengthening local economies, safeguarding environmental values, protecting public health, addressing issues of economic and social justice, and implementing mitigation and adaptation strategies. Provides students with firsthand understanding of how digital and computational technologies including Geographic Information Systems (GIS) are playing an increasingly important role in understanding and informing effective approaches for expanding resilience at a community level to inform policy decision. Students gain proficiency with GIS as part of the course. (Same as: ENVS 2301 , DCS 2340 )",https://bowdoin-public.courseleaf.com/courses/urbs/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
"PHYS 1083 (a, INS, MCSR) Energy, Physics, and Technology","How much can we do to reduce the disruptions of the Earth’s physical, ecological, and social systems caused by global climate change? How much climate change itself can we avoid? A lot depends on the physical processes that govern the extraction, transmission, storage, and use of available energy. Introduces the physics of solar, wind, nuclear, and hydroelectric power and discusses the physical constraints on their efficiency, productivity, and safety. Reviews current technology and quantitatively analyzes the effectiveness of different strategies to reduce greenhouse gas emissions. Not open to students with credit for Physics 1140. (Same as: ENVS 1083 )",https://bowdoin-public.courseleaf.com/courses/phys/,4.5,Greenhouse Gas Emissions,sustainability_and_policy-4,"{""greenhouse gas emissions"": 1}"
PHYS 1181 (MCSR) The Physics and Economics of Energy,"Energy is both a physical phenomenon and a key driver of human production and consumption. This course develops basic concepts in physics of energy (conservation of energy, conversion from one form to another, increasing entropy, etc.) and economic issues (role of energy in production functions; extraction, storage, and transmission; industrial structure and protectionism; etc.). The course explores these concepts using different forms of energy (fossil fuels of different kinds, solar, hydropower, wind, nuclear, and others). A large focus is on the environmental aspects of energy use: science and economics of risks and effects outside of energy markets, per se. In light of these environmental effects, we also consider the science and economics of different government policies. (Same as: ECON 1181 , ENVS 2118 )",https://bowdoin-public.courseleaf.com/courses/phys/,4.5,Energy Market,clean_energy_markets-4,"{""energy market"": 1}"
"PHYS 2220 (a, INS, MCSR) Engineering Physics","Examines the physics of materials from an engineering viewpoint, with attention to the concepts of stress, strain, shear, torsion, bending moments, deformation of materials, and other applications of physics to real materials, with an emphasis on their structural properties. Also covers recent advances, such as applying these physics concepts to ultra-small materials in nano-machines. Intended for physics majors and architecture students with an interest in civil or mechanical engineering or applied materials science.",https://bowdoin-public.courseleaf.com/courses/phys/,2.5,Materials Science,engineering_capabilities-2,"{""materials science"": 1}"
URBS 2660 (c) The City as American History,"Seminar. America is an urban nation today, yet Americans have had deeply ambivalent feelings toward the city over time. Explores the historical origins of that ambivalence by tracing several overarching themes in American urban history from the seventeenth century to the present. Topics include race and class relations, labor, design and planning, gender and sexual identity, immigration, politics and policy, scientific and technological systems, violence and crime, religion and sectarian disputes, and environmental protection. Discussions revolve around these broad themes, as well as regional distinctions between American cities. Students are required to write several short papers and one longer paper based upon primary and secondary sources. Note:This course is part of the following field(s) of study: United States. (Same as: HIST 2660 , GSWS 2662 )",https://bowdoin-public.courseleaf.com/courses/urbs/,4.5,Environmental Protection,sustainability_and_policy-4,"{""environmental protection"": 1}"
"PHYS 3010 (a, INS, MCSR) Methods of Experimental Physics","Intended to provide advanced students with experience in the design, execution, and analysis of laboratory experiments. Projects in optical holography, nuclear physics, cryogenics, and materials physics are developed by the students.",https://bowdoin-public.courseleaf.com/courses/phys/,3.5,Cryogenic,delivery_and_storage-3,"{""cryogenic"": 1}"
"THTR 2308 (c, VPA) Scenic Design","This class is an advanced scenic design course for theater and dance in which we study how to conceptualize space and other visual elements on stage. By analyzing scripts, physical movement, or other sources of motivation and narratives, the course explores visual research from an array of different sources like artistic styles, painting, photography in different places and time periods, and how to translate this information into specific scenic environments or devices. Students will explore visual vocabulary of drawing, sketching, rendering, drafting, scale, and principles of applied theater mechanisms and techniques. We examine how scenography relates to other design areas, such as lighting, costume, sound, puppetry, and the embodied storytelling experience on stage, as well as the challenges of artistic collaboration, collective and personal visual impact, and sustainability. (Same as: DANC 2308 )",https://bowdoin-public.courseleaf.com/courses/thtr/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"NEUR 1099 (a, INS) Brains in Motion: Exploring the Interface between Mind and Body","This course is an introductory exploration of the nervous system as it relates to bodily functions. It explores neurons as the basic building blocks of brain and behavior. Through lectures and classroom experiments, students would learn how electrochemical nerve signals control body movement, cardiovascular function, reflexes, and brain activity. Further, students explore how the nervous system can interact with machine interfaces, including prosthetics. (Same as: BIOL 1099 )",https://bowdoin-public.courseleaf.com/courses/neur/,2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
