title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
BUIS 458 - Health Informatics,"This course provides in depth knowledge of modern healthcare systems, and what and how health data, information and knowledge are created, captured, organized, stored, retrieved and used for better healthcare services and patient outcomes. The course covers foundational and emerging information technology such as Cloud, IoT and AI and their applications in healthcare. Other topics include Electronic Health Record( EHR), Personal Health Record (PHR), Health Information Systems, Health Information Exchange (HIE), System Integration and Interoperability, Health Data Analytics, Telehealth, Certification of HIT systems, issues such as Security, Privacy, Usability and Accessibility. Students will work on case studies, hands-on exercises and projects using modern healthcare software applications and data to develop their knowledge and skills.",3.5,Ion Exchange,production-3,"{""ion exchange"": 1}"
MGMT 452 - Business Plan Development,"This course is intended to acquaint the student with the details. design, and frame of a structured business plan for a new venture. Emphasis is placed on four key elements of a viable plan: (1) the nature of the venture and its growth prospects, (2) the environmental context of the venture such as the intensity of competition and demographic trends, (3) the venture risk assessment, and (4) the qualifications of the individuals responsible for managing the venture. This includes executive summary, financial analysis, competitive strength assessment, and important documents. Student teams will be encouraged to participate in local, regional, and national competition contests.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
MGMT 330 - Intermediate Contracting,"This course presents experienced, intermediate-level contracting personnel with an intensive examination of the life cycle phases of contracting, including the pre-award phase of contracting (acquisition planning, solicitation, evaluation, and award), and post award contract administration, plus contracting problem analysis and resolution. Case studies challenge students to apply ethical principles, statutes, regulations, and sound business judgment in the resolution of contract problems. Major course topics include acquisition planning, contracting methods (with an emphasis on formal source selection and noncommercial acquisitions), contract administration (including contract surveillance and quality assurance), financial management, termination, and dispute resolution.",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
COSC 113 - Computer Science II,"Students are introduced to the programming tools required to solve a more advanced set of problems. Students further develop their knowledge of the principles of object-oriented design and programming, including the use of interfaces and inheritance. Topics include arrays, strings, records, classes, inheritance and composition, pointers, recursion, and linked lists. It is designed for students who have prior training in computer concepts and terminology. Professional ethics and social issues (including sustainability) which relate to professionalism in Computer Science are also considered. This course may be used to satisfy the General Education Requirement in the Technology category.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CHEM 464 - Biochemistry Laboratory,"Laboratory, expanding the lecture material in Biochemistry, providing instruction and practical applications of the tools and techniques employed in Biochemistry. Included are investigation into the properties of non-covalent bonds, coulomb’s law, Leonard-Jones potentials, Hydrogen bond potentials; amino acid structure and properties, protein folding, allosteric and cooperative binding of ligand and protein, enzyme kinetics and thermodynamics. Also included are laboratories detailing the purification of proteins by electrophoresis and chromatography, analysis of protein weight, concentration, isoelectric point, crystallization and determination of protein function by x-ray crystallography.",5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
ECON 373 - Environmental and Resource Economics,"ECON-211 and ECON 212 or Instructor’s Permission: This course explores the origins of environmental problems, how to measure the value of environmental amenities, and the efficacy of specific forms of regulation, including mandated technologies, taxes, subsidies, and pollution permit trading. Topics include air and water pollution, climate change, the transition from fossil fuels to renewable energy sources, and sustainable development.",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
CTEC 332 - Internet Scripting Languages,"This course provides concepts of shell programming, environment variables, profiling, Bourne Shell, Korn Shell, parameter passing, etc., as well as interfacing with editors such as ‘ex’ and ‘sed’; interfacing with data processing tools such as Awk and Nawk; automation tools such as EXPECT; interfacing with windows tools; introduction to programming in Perl; and applications of scripting for fast prototyping.",1.5,Automation,technical_skills-1,"{""automation"": 1}"
CRJU 334 - Restorative Justice in Educational Settings,"Safe, nurturing and engaging educational settings are the foundation of healthy communities. This course emphasizes the importance of building community and trusting relationships, creating just and equitable communities, and repairing harm in an educational setting. This course will focus on implementing restorative justice in educational settings. We will highlight the distinctive features and challenges of this complex issue, particularly in the context of biased and racist education policies, where opportunities are emerging to interrupt the negative impact of these practices on diverse learners. While the course content emphasizes K-12 schools, modified assignments can meet the needs of educators working in other educational settings. Topics include: the history and state of education in North America; restorative justice theory and social justice; privilege, bias and racialized educational policies; social and emotional learning; trauma- informed practices; whole-school restorative practices; restorative and relational teaching and learning; interrupting the school-to-prison pipeline; and how to implement and evaluate changes in educational environments as they shift from punitive to restorative.",3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
COSC 477 - Vitrual Reality and its Principles,"This course introduces students to Virtual Reality (VR) hardware and software. It provides an opportunity for them to apply this knowledge to applications for education and games. This course applies cutting-edge virtual reality technology currently available in academia and industry. Students will design, model, and script the VR environment by developing a complete VR application as a group project.",1.5,Virtual Reality Technology,technical_skills-1,"{""virtual reality technology"": 1}"
COSC 465 - Software Engineering,"This course introduces the student to major topics in software engineering such as: requirements specification, analysis and design, testing, project management, and implementation. Additional topics such as software life cycle models, the Unified Modeling Language (UML), agile software development techniques, configuration management, change control and version control tools, object oriented design, and project documentation will be discussed.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
COSC 415 - Embedded and SCADA Systems,"This course covers fundamentals of embedded and supervisory control and data acquisition (SCADA) systems: basic architecture, programming, and design. Topics include processors and hardware for embedded systems; terminology, classifications, applications, principles of embedded systems design; embedded systems architecture, processor, memory, devices and buses; UART; embedded programming and real time operating systems; cyber and security issues for embedded systems; realtime operating systems; distributed control systems (DCS), and the security of industrial control systems.",2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
COSC 360 - Software Verification and Quality Assurance,"This course covers the concepts of software verification and quality assurance where students perform basic testing activities and learn various methods for measuring code coverage, testability metrics, and the application of testing tools. Students also learn how measurement and feedback from testing is used to assess software quality.",2.0,Quality Assurance,technical_skills-1,"{""quality assurance"": 2}"
VCDM 410 - Hip-Hop Studio,"Interdisciplinary Projects in Hip-Hop Studies and Visual Culture. An interdisciplinary and advanced course that incorporates an innovate approach to combining workshop, lecture and studio into actual creative projects using hip-hop and the elements of MC-ing, DJ-ing, Graffiti, B-Boy/B-Girl (Dance) and Knowledge as the catalyst for creative, collaborative research projects rooted within hip-hop and visual culture.",3.5,Catalyst,production-3,"{""catalyst"": 1}"
ART 384 - Metalwork,"This course provides a foundation for students in metalworking and ARC welding. Through lectures and hands on demonstrations, students will acquire skillsets to explore their interests through metal and mixed media sculptures.",3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
MATH 480 - Engineering Project Management,". This course introduces the student to the basic concept of management and the management cycle in an engineering organization, and the methods used in project planning and controlling. Topics include project organizational structure and project management process, project planning, design and control, and analytical methods, project initiation, estimating, budgeting, developing work plans, scheduling, tracking work, design coordination, construction coordination, quality management, and managing teams and close out.",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
MATH 380 - Thermodynamics,"This course covers the fundamental principles of thermodynamics and physical chemistry as applied to engineering systems. This course provides a foundation in fundamental thermodynamic phenomena, including the first and second laws of thermodynamics, thermodynamic properties, equations of state in real and ideal gases, availability and combustion. The basic laws are used to understand and analyze the performance and efficiency of engineering.",2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
MATH 365 - Introduction to Reverse Engineering,"MATH 265. This algebra-based course covers principles of the reverse engineering process such as definition of work scope, exact CAD replica creation, obtained data analysis, model modification or optimization, and creation of manufacturing engineering drawings.",2.5,Engineering Drawing,engineering_capabilities-2,"{""engineering drawing"": 1}"
