title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"UNIV 1005. Narratives of Racism: Lynchings, Miscarriages of Justice, and Internment Camps in America","In this course, we will study narrative accounts of 20th-century American incidents in which racism led to the persecution of members of minority groups by means of lynchings, miscarriages of justice, or the placement of people in internment camps: the unjustly conducted trial and lynching of the Jewish factory manager Leo Frank accused of murdering a young girl in Georgia; the kidnapping and murder of African American adolescent Emmett Till in Mississippi; and the internment of Japanese descendants during World War II out of fear that they would aid America's enemy.",https://bulletin.brown.edu/universitycourses/,3.5,CCUS,production-3,"{""ccus"": 1}"
IAPA 1701A. Technology and Development,"A “smart” global order is currently being created, where information and communication technologies dominate public arenas and private lives. Much of the debates on new technologies have focused on the global North, yet the impact on the global South is equally significant. In this course, we will explore the history, present and possible futures of the use of technologies for transforming economic, social and political lives. The technologies discussed will range from the steam power leading to the first industrial revolution to today’s mobile phone technologies, workforce automation, as well as facial-recognition and other surveillance technologies.",https://bulletin.brown.edu/international-public-affairs/,1.5,Automation,technical_skills-1,"{""automation"": 1}"
IAPA 1701P. Global Megaprojects,"Megaprojects are costly, complicated, risky, and laborious. They include power plants, pipelines, ports, and petrochemical complexes; take years—or even decades—to finish; and owe their successes and failures to social and organizational—and not merely technical—considerations. This class addresses the origins, design, management, and consequences of megaprojects in contemporary and historical perspective. Our goal is to learn not only about specific projects—like the Panama Canal, Tennessee Valley Authority, Trans-Amazon Highway, and Belt and Road Initiative being undertaken by China—but about theories and methods that will help us understand the origins and fates of large-scale organizations more generally.",https://bulletin.brown.edu/international-public-affairs/,3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
"IAPA 1701Y. Climate Change, Power, & Money","Fossil fuel energy made economic development possible, but now we’re cooking the planet. Some want to keep burning carbon; some want to halt capitalism itself; most are somewhere in between. This course is about the political economy of decarbonization. It begins by evaluating the state of affairs, how we became dependent on carbon, the current stakes, and the key actors and stakeholders. It then goes straight to debate the core problem of our future: What are the trade-offs that come with different decarbonization paths? The course then examines some of the most prominent solutions and challenges for rapid decarbonization. Throughout the course, we will pay special attention to - you guessed it - power and money. At the end of the day, those two forces make the world go round and will make or break decarbonization.",https://bulletin.brown.edu/international-public-affairs/,6.0,Decarbonization,sustainability_and_policy-4,"{""decarbonization"": 4}"
IAPA 1801G. Technology and Development,"With the most recent inventions, a “smart” global order is being created, where information and communication technologies (ICT) dominate public arenas and private lives. Most of the debates on new technologies still focus on the Global North, yet the impact on the Global South may be at least as significant. In this seminar, we will explore the history, present, and possible futures of the use of technologies for transforming economic, social and political lives. The technologies discussed will range from the steam power central to the 19th century industrial revolution to today’s mobile phone technologies, workforce automation, and facial-recognition technologies.",https://bulletin.brown.edu/international-public-affairs/,1.5,Automation,technical_skills-1,"{""automation"": 1}"
"IAPA 1805. Inequality, Sustainability, and Mobility in a Car-Clogged World AKA: Two Billion Cars","With the possible exception of the computer or antibiotics, the car is arguably the most significant invention of the last two centuries. It has fundamentally reshaped the environment, social landscapes, lives, and economies, and its impact will only increase as the global vehicle population doubles, as predicted, to two billion by the year 2030. This class will explore the immense social, political, health, and environmental consequences, as well as cultural and political economic explanations for the car population explosion. Alternative forms and futures for transit will be considered throughout the course.",https://bulletin.brown.edu/international-public-affairs/,6.0,Sustainability;Explosion,technical_skills-1;sustainability_and_policy-4,"{""sustainability"": 1, ""explosion"": 1}"
MPA 2231. Activating Change for Climate & Sustainability,"Taking the class as a metaphor of the outside world, we will explore and propose our own respective path(s) for climate policy while focusing on the class’s individual and collective willingness to act. While the topic of the class is climate policy, the primary material of our work will be yourself, as a participant of this collective effort.",https://bulletin.brown.edu/international-public-affairs/,5.5,Sustainability;Climate Policy,sustainability_and_policy-4,"{""sustainability"": 1, ""climate policy"": 2}"
"MPA 2601. Envisioning and Building Prosperous, Inclusive Communities","Great communities do not happen by accident. Great communities take vision, thoughtful planning, participation and an inclusive civic engagement plan. The top communities in our country engage diverse leaders, acknowledge the complex and inextricable tie between community and economic development, are accountable – measuring their progress, and are fiercely competitive. This course will focus on the planning, creation, and implementation of successful community development plans from across the country. Specific topics that will be covered include: Collective Impact, the utilization of data, the role of sustainability, health, education, art, transportation, and parks, evaluation methodology, communication, and working with local governments.",https://bulletin.brown.edu/international-public-affairs/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
MPA 2604. The Corporation and Public Policy,"This course examines corporations as instruments of government policy and as significant policy setters in their own right. Rather than taking a fixed viewpoint about the proper location of executive authority, the course will examine the changing boundaries of private and public decision-making. Through selected readings paired with case studies, the course investigates a range of critical policy problems: the underlying purpose of corporate organization; climate change and environmental sustainability; consumer safety in the gig economy; labor standards in transnational supply chains; corporate responsibility and health in developing regions.",https://bulletin.brown.edu/international-public-affairs/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
MPA 2710. GIS and Public Policy,"This seminar presents an introduction to the theory and practice of social science Geographic Information Systems (GIS) as applied to public policy analysis. We will cover a variety of topics, such as the geographical basis of policy issues, spatial mapping, and use of ArcGIS software to study a wide range of policy issues. The course will involve discussions, hands-on computer laboratory exercises, take-home problem sets and a Practical Exam. The goals of the class are: 1) learning how to use GIS software and techniques, 2) database development and editing 3) spatial modeling techniques, and 4) using GIS to study policy issues.",https://bulletin.brown.edu/international-public-affairs/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
