title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ARO 4180 - Computational Fluid Dynamics (3),"Classification of partial differential equations. Elements of finite-difference methods. Stability analysis. Algorithms for numerical solution of parabolic, elliptic and hyperbolic partial differential equations. Finite volume and finite element methods. Applications in fluid dynamics, gas dynamics and heat transfer. Working knowledge of a high-level computer language required. ARO Major, and C or better in ARO 301 or . or ARO 311. Lecture Graded Only May be taken only once Major Course",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ARO 4140 - Rocket Propulsion (3),"Topics include principles of rocket propulsion, combustion chemistry, liquid-fuel rocket engines, solid-fuel rocket engines, and electrical propulsion. Performance of rocket engines and optimization of single- and multi-stage rockets. ARO Major, and C or better in ARO 311 or . Lecture Graded Only May be taken only once Major Course",2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
CE 4201 - Water and Wastewater Engineering (3),"Overview of water policies, engineering approaches to protect water quality, drinking water standards, and unit processes used in a conventional water and wastewater treatment systems. Theory and conceptual design of systems to produce drinking water and treat municipal wastewater are discussed, as well as reactor theory, process kinetics, and models. CE 332 or ; CHM 121L or ; and BSCE, BSCET, BSCEM, or MSCE Major. . Lecture 3 hours lecture/discussion Graded Only May be taken only once Major Course",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
ARC 4360 - Advanced Sustainable Design (3),"Design based course focused in the implementation of sustainable design principles and systems in architectural design projects. Case studies, tools, and strategies for the implementation at building and urban scales using digital and analog tools. Emphasis on interrelationships between systems: energy, water, waste, materials, IAQ and economic, social and environmental sustainability. ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or , and ARC 331A or . Seminar Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 5340A - Urban Housing and Community Development Activity (1),"Evolving theory and processes of the interaction of housing and community development. Explores social and economic theories in regional development processes. Research into regional, national, and global influences on housing and urban communities. Exploration of long-range sustainability processes. Graduate standing. . Activity Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 5400L - Planning for Community Change Laboratory (1),"Exploration of theoretics and praxis of planning for social change. Topics include successful community change models, direct organizing, asset based community development, capacity building, youth participation, and just sustainability. Lab covers tools for community action. May involve community-based projects. C- or better in or URP 505; and C- or better in and , or URP 521 and URP 521L. . Laboratory Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 5400 - Planning for Community Change (3),"Exploration of theoretics and praxis of planning for social change. Topics include successful community change models, direct organizing, asset based community development, capacity building, youth participation, and just sustainability. Lab covers tools for community action. May involve community-based projects. C- or better in or URP 505; and C- or better in and , or URP 521 and URP 521L. URP 5400L. Seminar Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 5340 - Urban Housing and Community Development (2),"Evolving theory and processes of the interaction of housing and community development. Explores social and economic theories in regional development processes. Research into regional, national, and global influences on housing and urban communities. Exploration of long-range sustainability processes. Graduate standing. . Lecture Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 5250L - GIS for Planning Laboratory (1),Introduction to geographic information systems. GIS data visualization and processing for the field of urban and regional planning. Introductory spatial data management and intermediate uses of GIS for spatial analysis will be introduced. Graduate standing. . Laboratory Graded Only May be taken only once Major Course,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
URP 5250 - GIS for Planning (2),Introduction to geographic information systems. GIS data visualization and processing for the field of urban and regional planning. Introductory spatial data management and intermediate uses of GIS for spatial analysis will be introduced. Graduate standing. . Lecture Graded Only May be taken only once Major Course,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
URP 5070 - Planning for Environmental Sustainability (3),"Development of the prevailing concepts of sustainability from global to local scale. Planning strategies for mitigation, adaptation, and resilience. Integration of environmental sustainability with social equity, justice, and community well being. C- or better in or URP 506. Lecture Graded Only May be taken only once Major Course",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
URP 4900L - Advanced GIS Laboratory (1),"Advanced application of Geographic Information Systems (GIS) including vector and raster based spatial analysis. Emphasis is placed object oriented-data modeling, network analysis, spatial statistics, automation of GIS analysis, and 3-dimensional visualization techniques. Graduate standing or C- or better in . . Laboratory Graded Only May be taken only once Major Course",4.0,Geographic Information Systems;Automation,technical_skills-1;engineering_capabilities-2,"{""geographic information systems"": 1, ""automation"": 1}"
URP 4900 - Advanced GIS (2),"Advanced application of Geographic Information Systems (GIS) including vector and raster based spatial analysis. Emphasis is placed object oriented-data modeling, network analysis, spatial statistics, automation of GIS analysis, and 3-dimensional visualization techniques. Graduate standing or C- or better in . . Lecture Graded Only May be taken only once Major Course",4.0,Geographic Information Systems;Automation,technical_skills-1;engineering_capabilities-2,"{""geographic information systems"": 1, ""automation"": 1}"
URP 4870 - Environmental Policy (3),"Review of major concepts in environmental planning, including sustainability, resiliency, risk management, and environmental ethics. Overview of major local, regional, state, national, and global environmental policies. Methods of ecological management. Graduate standing; OR C- or better in and , or URP 351. Lecture Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 4820 - California Water (3) [D4],"Review of the history of the water system and water policy in California, including the major social, political, and environmental issues. Introduction to water law for non-lawyers and applies concepts of sustainability to water policy. Course fulfills GE synthesis area D4. Lower division GE requirements in Areas A and D, and sub-area B4. Lecture Graded Only May be taken only once",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 4780L - Spatial Analysis for Urban Planning Laboratory (1),"Using Geographic Information Systems (GIS), exploration of spatial analysis applicable to urban planning problems. Focus on intermediate GIS skills that analyze and visualize urban issues and phenomena by employing vector and raster spatial data. Graduate standing or C- or better in . . Laboratory 3 hours laboratory Graded Only May be taken only once Spring Major Course",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
URP 4780 - Spatial Analysis for Urban Planning (2),"Using Geographic Information Systems (GIS), exploration of spatial analysis applicable to urban planning problems. Focus on intermediate GIS skills that analyze and visualize urban issues and phenomena by employing vector and raster spatial data. Graduate standing or C- or better in . . Lecture 2 hours lecture Graded Only May be taken only once Spring Major Course",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
URP 4340A - Community Development and Housing Activity (1),"Evolving theory and processes of economic and community development. Explores social and economic theories in the regional development processes. Research into regional, national, and global influences on urban communities. Exploration of long-range self-sufficiency and sustainability processes. C- or better in , , , , , and . URP 4340. Activity Graded Only May be taken only once Major Elective Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 4340 - Community Development and Housing (2),"Evolving theory and processes of economic and community development. Explores social and economic theories in the regional development processes. Research into regional, national, and global influences on urban communities. Exploration of long-range self-sufficiency and sustainability processes. C- or better in and , or URP 104; C- or better in and , or URP 299 and URP 299L; and C- or better in and , or UPR 331. . Lecture Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 3510A - Planning and Land Use Law Activity (1),"Legal framework for planning, including review of legal processes, constitutional rights, general plan, zoning, subdivision management, and design review. Integration of local planning with regional sustainability planning. Basic structure of state and federal planning and environmental laws, including judicial opinions. C- or better in and , or URP 104. . Activity Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
URP 3510 - Planning and Land Use Law (3),"Legal framework for planning, including review of legal processes, constitutional rights, general plan, zoning, subdivision management, and design review. Integration of local planning with regional sustainability planning. Basic structure of state and federal planning and environmental laws, including judicial opinions. C- or better in and , or URP 104. . Lecture Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ABM 4130 - Agricultural Law and Compliance (3),"An overview of basic legal principles applicable to agriculture including fundamental terminology, categories of law, and an examination of prominent agricultural law topics within and outside of California. Thorough and critical analysis of legal issues and concepts as applied to agriculture at the local, state and federal levels of government. Discussion of legal issues related to agricultural production, natural resources, environmental liability, marketing and sales, food safety, biotechnology and sustainability. Analysis of the law as applied to one of the largest and most regulated industries in the United States economy. Components include: agricultural commercial law, environmental law, federal farm policy, labor law, food labeling, farm animal welfare, and other topics, each presented in the context of a current issue. ABM 313 or . Lecture Graded Only May be taken only once Major Course",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ARO 5450 - Optimal Control and Estimation (3),"Introduction to optimal control, linear quadratic regulator (LQR), algebraic Riccati equation, design of multi-input/multi-output controllers, advance control techniques and advanced control structures, output feedback, state estimation, observers, Kalman filters, linear quadratic Gaussian (LQG) control, application to flight control systems. ARO Major; and ARO 322, , or equivalent. Lecture Graded Only May be taken only once Major Course",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ARO 5330 - Digital Flight Control Systems (3),"Discrete time systems, difference equations, Z-transform theory, sampled data systems, mathematical modeling of sampled data systems, data reconstruction, analysis of discrete systems, transient and steady-state specifications, state estimation, controllability, observability, design of digital control systems, PID controllers, phase-lead and phase-lag designs, application to flight control systems. ARO Major; and C or better in ARO 322, , or equivalent. Lecture Graded Only May be taken only once Major Course",2.5,Control Systems,technical_skills-1,"{""control systems"": 3}"
ARO 5180 - Computational Fluid Dynamics (3),"Classification of partial differential equations. Elements of finite-difference methods. Stability analysis. Algorithms for numerical solution of parabolic, elliptic and hyperbolic partial differential equations. Finite volume and finite element methods. Applications in fluid dynamics, gas dynamics and heat transfer. Working knowledge of a high-level computer language required. ARO Major, C or better in ,and C or better in or undergraduate course in low speed aerodynamics. Lecture Graded Only May be taken only once Major Course",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ARO 5100 - Airbreathing Propulsion System (3),"Thermodynamic cycle analysis of ideal and real engines. Design and performance of inlets, combustors and nozzles. Analysis of compressors and turbines. Engine component matching and prediction of performance. Overall propulsion system performance. ARO Majors, and upper division undergraduate courses in thermodynamics and compressible fluid mechanics Equivalent to those required in an ABET accredited program. Lecture Graded Only May be taken only once Major Course",3.5,Compressors,delivery_and_storage-3,"{""compressors"": 1}"
ARO 5140 - Rocket Propulsion (3),"Principles of rocket propulsion. Combustion chemistry. Liquid-fuel rocket engines. Solid-fuel rocket engines. Electrical propulsion. ARO Major; and ARO 311, , or equivalent. Lecture Graded Only May be taken only once Major Course",2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
ARO 4450 - Optimal Control and Estimation (3),"Introduction to optimal control, linear quadratic regulator (LQR), algebraic Riccati equation, design of multi-input/multi-output controllers, advance control techniques and advanced control structures, output feedback, state estimation, observers, Kalman filters, linear quadratic Gaussian (LQG) control, application to flight control systems. ARO Major, C or better in ARO 322 or , and C or better in ARO 322L or . Lecture Graded Only May be taken only once Major Course",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ARO 4351L - Wind Tunnel Testing Laboratory (1),"Selected experiments in fluid dynamics and heat transfer in aerospace engineering. Pressure, temperature and loads measurements. Test plan formulation. Test section calibration and selected experiments in a Subsonic Wind Tunnel, using a computer-based data acquisition system. Test section calibration and selected experiments in high-speed aerodynamics in a Supersonic Wind Tunnel, using a computer-based data acquisition system. Teamwork. Laboratory report writing. , or ARO 305 and ARO 404. Laboratory Graded Only May be taken only once Major Course",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ARO 4330 - Digital Flight Control Systems (3),"Discrete time systems, difference equations, Z-transform theory, sampled data systems, mathematical modeling of sampled data systems, data reconstruction, analysis of discrete systems, transient and steady-state specifications, state estimation, controllability, observability, design of digital control systems, PID controllers, phase-lead and phase-lag designs, application to flight control systems. ARO Major, C or better in ARO 322 or , and C or better in ARO 322L or . Lecture Graded Only May be taken only once Major Course",2.5,Control Systems,technical_skills-1,"{""control systems"": 3}"
