title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
FISH 311 - Fish Physiology,"Physiology of lower vertebrate organ systems. Efficient management and culture of the animal as a renewable resource. Upper Division Prerequisite: , . No Special Consent Required Optional Grade Basis Sustainability Related Lecture 2 hrs. Laboratory 3 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ESM 455W - Ecological Restoration Capstone,"Bring your multidisciplinary education to bear on real-world projects. Work with client agencies to apply the restoration process, devise methods and goals for restoration, develop management strategies for restored sites. Upper Division Prerequisites: and and senior standing. ESM majors only. No Special Consent Required Optional Grade Basis GWAR: Upper Division Writing Requirement Sustainability Focused Lecture 2 hrs. Laboratory 3 hrs. Second Lecture 1 hr. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CRGS 430 - Decolonizing Gender and Sexuality,"Explore how gender and sexuality are central to racial capitalism, colonialism, nationalism, and politicized religion. Examine how scholars/activists/artists draw upon the past to reimagine gender, sexuality, body, nation, land, and economy to envision decolonized futures. Upper Division Prerequisite: sophomore standing or higher. Recommended Preparation: , No Special Consent Required Optional Grade Basis Sustainability Related Lecture 4 hrs. In Person, Hybrid, Online | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
WLDF 531 - Advanced Wildlife Habitat Ecology,"Theoretical and applied aspects of vertebrate habitat ecology: habitat selection study design, analysis, and interpretation; habitat quality, effects of spatial and temporal scale; habitat conservation and management. Graduate Prerequisites: and ( or ). Graduate standing No Special Consent Required Optional Grade Basis Sustainability Related Zero Cost Course Materials Lecture 3 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 387 - International Education Colloquium,"Earn credit by attending International Education Week events and participating in an online discussion forum. Mandatory pre-event meeting. , , , , , Upper Division Repeatable for Credit No Special Consent Required Mandatory CR/NC Sustainability Related Zero Cost Course Materials Lecture 1 hr. In Person, Hybrid | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"HIST 374 - Contemporary America, 1929 to the Present","Economic, social, cultural and political change with an emphasis on issues of gender and race. The relationship between foreign and domestic policy and changes in technology are also covered. Upper Division No Special Consent Required Optional Grade Basis DCG: Domestic Sustainability Related Lecture 4 hrs. In Person, Online | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 369 - Age of Jefferson and Jackson,"Battles over constitutional interpretations from 1787 to 1830s. Biographical emphasis. Development of political parties, social and economic reforms, states’ rights. Upper Division No Special Consent Required Optional Grade Basis Sustainability Related Lecture 4 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 343 - French Revolution and Napoleon,"Traces origins, outbreak, progression, and legacy of French Revolution and Napoleon. Special emphasis on socio-economic, intellectual, cultural, and political developments and on historiography. Upper Division Prerequisite: (C). No Special Consent Required Optional Grade Basis Sustainability Related Lecture 4 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 339 - Modern Japanese History,"Political, social, and economic events from Tokugawa shogunate to present. Westernizing/ modernizing processes. Upper Division No Special Consent Required Optional Grade Basis Sustainability Related Lecture 4 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"HIST 342 - Musketeers, Witches and Kings","Early Modern Europe. Social, cultural, intellectual, religious, economic, political developments from late Reformation to Napoleon. Emphasis on popular belief/culture, baroque kingship, everyday life, eighteenth-century ‘public,’ political culture of French Revolution. Upper Division No Special Consent Required Optional Grade Basis Sustainability Related Lecture 4 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 328 - Women and Gender in Latin America,"Examines history of women and gender relations in Latin America and Caribbean. Considers historical constructs of masculinity and femininity in context of colonialism, nation building, revolution, and globalization. Upper Division No Special Consent Required Optional Grade Basis DCG: Non-Domestic Sustainability Related Lecture 4 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 327 - History of Brazil,"Political, economic, and social/cultural history from the colonial era to the present day. Special emphasis on the legacy of African slavery and on Brazil’s multicultural society. Upper Division No Special Consent Required Optional Grade Basis DCG: Non-Domestic Sustainability Related Lecture 4 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 326 - History of Mexico,"Surveys Mexican history from Pre-Columbian indigenous societies to present-day EZLN uprising in Chiapas. Focus placed upon political, economic, environmental history, and foreign relations with the United States. Upper Division Repeatable for Credit No Special Consent Required Optional Grade Basis Sustainability Focused Lecture 4 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 302 - Environmental History of China,"This course in Chinese history adopts the methods and approaches of environmental studies to understand the ecological effects and historical significance of several millennia of human interaction with the natural environment in the region known today as China. Through readings, discussions, presentations, research, and a variety of writing assignments, the course also provides students opportunities to practice a variety of important academic skills. Recommended preparation: . Upper Division No Special Consent Required Optional Grade Basis GE UD Area D: Social Sciences Sustainability Focused Lecture 4 In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 110 - United States History to 1877,"Selected topics. Sources and conditioning factors of American social, political, and economic systems to 1877. Meets requirement in US history established by California legislature. Lower Division No Special Consent Required Optional Grade Basis Amer Inst: U.S. History ONLY Sustainability Related Lecture 3 hrs. In Person, Online | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 111 - United States History from 1877,"Selected topics. Sources and conditioning factors of American social, political, and economic systems from 1877. Meets requirement in US history established by California legislature. Lower Division No Special Consent Required Optional Grade Basis Amer Inst: U.S. History ONLY Sustainability Related Lecture 3 hrs. In Person, Online | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"HIST 105 - Western Civilization, 1650 to Present","Diverse development of Western political and social institutions. Impact of economic, political, scientific, and technological change. Varieties of cultural milieu. Relationships to the rest of the world. Lower Division No Special Consent Required Optional Grade Basis GE D: Social Sciences Sustainability Related Lecture 3 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HED 392 - Community and Population Health,"Introduction to public health, epidemiology, structure, and function of the health care system and environmental health. Methods for addressing health needs in different populations and settings. Upper Division No Special Consent Required Optional Grade Basis Sustainability Focused Lecture 3 hrs. In Person, Online | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HED 388 - Community Based Health Promotion,"In-depth study of engaging the community in the process of health promotion. An emphasis on building relationships with community stakeholders, conducting community needs assessment, developing and assessing community based health promotion programs. Upper Division Prerequisite: . No Special Consent Required Optional Grade Basis Sustainability Related Lecture 3 hrs. In Person, Online | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
GSP 570 - Advanced Geospatial Analysis and Modeling,"Project-based application of advanced geospatial analysis and modeling to natural resource research applications. Includes research project management: setting and meeting goals, managing schedules, team leadership. Also Includes topics. Graduate Prerequisite: ; senior or graduate standing. No Special Consent Required Optional Grade Basis Lecture 2 hrs. Laboratory 3 hrs. In Person | | |",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
WLDF 482 - Wildlife Conclave,"Preparation for student competitions in discipline of wildlife management and conservation; research presentation, professional development, networking. Upper Division Prerequisite: Wildlife majors only. Repeatable for Credit No Special Consent Required Mandatory CR/NC Sustainability Related Zero Cost Course Materials Tutorial hrs TBD In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
WLDF 478 - Ecology of Wildlife Populations,"Factors influencing growth, regulation, structure, and fluctuations of wildlife populations. Population growth, competition, and predator/prey models. Upper Division Prerequisite: or IA. No Special Consent Required Mandatory Letter Grade Sustainability Related Lecture 2 hrs. Laboratory 3 hrs. In Person | | |",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
