title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ARP 812 - Seminar in Budget and Resource Management in Community Colleges,"Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC . Equitably and ethically managing, sustaining, and acquiring human, fiscal, and information resources, as well as assets to fulfill mission of the community college and postsecondary education institutions. Financial strategies and human resource systems and conflict resolution. 3",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
DPT 868 - Physical Therapy Organization and Administration,"Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC . Designing, equipping, and staffing a physical therapy practice or department. Budget development, cost accounting, supervisory functions, evaluation techniques, and quality assurance. Business strategies and skills for practice setting. Local, national, economic, and political pressures on delivery of physical therapy services. 3",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
HTM 432 - Project Management for Events,"Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC Two lectures and two hours of activity. . Defining and evaluating success and engagement, financial planning, project management, registration and ticketing, return on investment, site selection and physical design, and time tracking. 3",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
HTM 330 - Event and Meeting Industry,"Units: LCR: Letter Grade with Cr/NC available. The grading default for the class will be letter grade, but students can opt to take it for Cr/NC Upper division standing in hospitality and tourism management or another major approved by the school and consent of instructor. History and motivation behind meetings, elements of events, event operations and project management, types of meetings and events and industry and economic models. 3",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
MIS 697 - Project Planning and Management,"Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC Classified graduate standing. Hybrid project life cycle methodologies, integrated project plan, agile project management and practices, earned value management, and project management theories, techniques, and technologies.",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
MIS 460 - Project Management,"Units: LCR: Letter Grade with Cr/NC available. The grading default for the class will be letter grade, but students can opt to take it for Cr/NC Credit or concurrent registration in . Proof of completion of prerequisite(s) required: Copy of transcript. Management of small and large projects. Work breakdown structure milestones, project cost estimating and reporting, and single and multiple resource allocation/leveling. Computerized project management software. 3",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
MGT 466 - International Human Resource Management,"Units: LCR: Letter Grade with Cr/NC available. The grading default for the class will be letter grade, but students can opt to take it for Cr/NC . Proof of completion of prerequisite(s) required: Copy of transcript. Human resource issue facing multinational corporations including staffing, training and development, performance management, expatriation and repatriation, and compensation. 3",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"HTM 682 - Sustainability in Hospitality, Tourism, and Recreation Organizations","Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC , , . Development of a comprehensive sustainability management system incorporating marketing and communication, goal setting, developing performance indicators and metrics, benchmarking, and strategies for ongoing, measurable, sustainability performance improvement. 2",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
EDL 720 - Human Resource Development in PreK-12 Educational Organizations,"Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC Completion of a graduate degree and approval of department. Human resource management in preK-12 educational administration including selection and evaluation of staff, contract management, and staff development. Personnel managerial styles, staff leadership, and motivation techniques as to morale and productivity. Analysis of educational personnel systems and employee assistance programs. 3",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
EDL 707 - Educational Law and Finance,"Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC Completion of a graduate degree and approval of department. Legal and financial aspects of educational administration including implications for policy formulation in the areas of personnel, instruction, and resource management. 3",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
FIN 642 - Financial Risk Management,"Units: LTR: Letter Graded. The class will be offered for letter grade with no option to take it for Cr/NC . Measurement and management of foreign exchange, interest rate, equity, and commodity risks. Risk assessment models, implementation strategies, risk management, and capital allocation. Using derivatives for risk management. 3",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
FIN 331 - Real Estate Principles,"Units: LCR: Letter Grade with Cr/NC available. The grading default for the class will be letter grade, but students can opt to take it for Cr/NC Approved business major or minor or construction management major. Proof of completion of prerequisite(s) required: Copy of transcript. Fundamental operations of the real estate market; principles of real property valuation, financing, law, investment, brokerage, management, and development.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
