title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
38-100 CATALYST - MCS First-Year Seminar,"Fall and Spring: 3 units The CATALYST seminar will equip transfer students to MCS, as well as those students who did not successfully complete the EUREKA seminar, with foundational knowledge, skills and perspectives that will support their development as emerging scientists and scholars. During the seminar, students will be presented with opportunities and experiences designed to help them frame how the MCS curriculum aspires to shape their evolving identities in the areas of scholar, person, professional and citizen, while also engendering a sense of excitement about science and scientific inquiry. The seminar will offer information and strategies that are employed both by successful students and by successful scientists in optimizing their approach to work and life, with a key focus on areas such as cognitive learning skills, research, teamwork, goal setting, time management, community engagement, ethics, resources and assessment. Additionally, the seminar will introduce students to the learning outcomes and requirements associated with the MCS core curriculum, with a particular emphasis on the self-directed ENGAGE courses and the role of the MyCORE e-portfolio system in documenting and framing student growth and development.",http://coursecatalog.web.cmu.edu/schools-colleges/melloncollegeofscience/courses/,4.0,Catalyst,production-3,"{""catalyst"": 2}"
88-300 Programming and Data Analysis for Social Scientists,"Spring: 9 units This course presents an introduction to computational thinking through practice with data analysis. Students will develop extensive expertise using the statistical programming language R. Designed primarily with social science majors in mind, students will use a variety of data structures to represent information and solve problems. The course is conducted in a ""flipped classroom"" style, and places a heavy emphasis on hands-on programming and #8212; in every class, students will practice writing computer programs to conduct analysis and explore social science phenomena. Students will develop skills in all facets of the data analysis pipeline, from installing and loading packages to reading-in files to data cleaning, munging, visualization and modeling. The course is primarily intended for students who have limited familiarity with coding, and assumes no previous exposure to R. Prerequisites: 36-201 or 36-200",http://coursecatalog.web.cmu.edu/schools-colleges/dietrichcollegeofhumanitiesandsocialsciences/departmentofsocialanddecisionsciences/courses/,3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
66-127 DC Grand Challenge First-Year Seminar: Environmental Justice,"Fall: 9 units Wondering what the ""Green New Deal"" proposal is about? Does it seem like you have to choose between protecting people and protecting the planet? How does environmentalism connect to struggles over social justice and human rights? This first-year interdisciplinary seminar is an introduction to the Grand Challenge: Environmental Justice. In Giovanna de Chiro's words, the environmental justice movement is working ""toward building diverse, dynamic, and powerful coalitions to address the world's most pressing social and environmental crises global poverty and global climate change by organizing across scales and 'seeking a global vision' for healthy, resilient, and sustainable communities."" In this seminar, we'll study the history and science behind two interconnected challenges for environmental justice: global climate change and fine-particulate air pollution. Both types of pollution start with combustion of fossil fuels. Particulate air pollution kills roughly 7 million globally each year; these air pollution deaths happen close to the source, with unequal levels of exposure and risk for people according to class and race. Climate change, mostly from carbon dioxide and methane emissions, is spread globally and lasts well beyond our lifetimes, yet the effects are again disproportionately based on class and race. In this course, we'll explore the science, history, ethics, and public perception of these problems, with implications for Pittsburgh and the planet, and for the near- and long-term future.",http://coursecatalog.web.cmu.edu/schools-colleges/dietrichcollegeofhumanitiesandsocialsciences/courses/,2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
36-202 Methods for Statistics & Data Science,"All Semesters: 9 units This course builds on the principles and methods of statistical reasoning developed in 36-200 (or its equivalents). The course covers simple and multiple regression, basic analysis of variance methods, logistic regression, and introduction to data mining including classification and clustering. Students will also learn the principles of overfitting, training vs testing, ensemble methods, variable selection, and bootstrapping. Course objectives include applying the basic principles and methods that underlie statistical practice and empirical research to real data sets and interdisciplinary problems. Learning the Data Analysis Pipeline is strongly emphasized through structured coding and data analysis projects. In addition to three lectures a week, students attend a computer lab once a week for ""hands-on"" practice of the material covered in lecture. There is no programming language pre-requisite. Students will learn the basics of R Markdown and related analytics tools. Prerequisites: 36-200 or 36-220 or 36-247 or 36-207 or 70-207",http://coursecatalog.web.cmu.edu/schools-colleges/dietrichcollegeofhumanitiesandsocialsciences/departmentofstatistics/courses/,3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
60-125 IDeATe: Introduction to 3D Animation Pipeline,"Fall and Spring: 12 units This class will explore computer animation as it pertains to a professional animation production pipeline. The course is designed to give students exposure to key job descriptions that align to the animation industry. Topics covered include: character design, world building, storyboarding, digital sculpture, look development, rigging, layout, animation, cinematography, lighting, and rendering. These topics are taught in 2-4 week sprints that allow a student to learn the fundamentals of each craft. In a mixture of class lectures, critiques, and training workshops, students will become acquainted with the necessary skills needed to create their own characters and animations. By completion of the course, students will be familiar with industry-standard best practices and ready to take advanced courses related to animation, vfx, and video game related pipelines. This course specifically offers insight on how the craft of animation is always evolving at top studios such as Walt Disney Animation Studios, Pixar, and Industrial Light and Magic. Course Website: http://cmuanimation.weebly.com/",http://coursecatalog.web.cmu.edu/schools-colleges/collegeoffinearts/schoolofart/courses/,4.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 3}"
66-236 Introduction to Environmental Ideas,"Fall and Spring: 9 units By recognizing that environmental problems are themselves complex and require insights from social, political, and scientific perspectives, the interdisciplinary Program in Environmental and Sustainability Studies (ESS) prepares students to gain proficiency in different disciplinary habits of thinking. As part of this endeavor, students take part in informed discussions about interpretive lenses; ways of seeing; and thinking about social, cultural, and historical contexts for interpretations of environment and sustainability. This seminar-style course introduces key methods and approaches for interdisciplinary inquiry within a framework of Environmental Humanities and Environmental Justice. Scholar Giovanna de Chiro writes: ""The term 'environmental justice' emerged from the activism of communities of color in the United States in the latter half of the twentieth century...They advocate for social policies that uphold the right to meaningful, democratic participation of frontline communities in environmental decision making."" The implications of disciplinary narratives and approaches to questions of environment and sustainability, and the implications for social justice, are a key and repeated question in the course. The role of poverty as a cultural, political, and historical phenomenon is a motif in many of our discussions. We'll explore contrasting historical, cultural, and disciplinary explanations for hunger, famine, and food insecurity. Further, we'll explore how so-called ""environmental"" explanations for food scarcity, which rationalize the persistence of hunger and poverty in the 21st century, have distracted from decades of expertise, reminding us that hunger and poverty are social problems. In contrast to these so-called ""environmental"" explanations, there is no scarcity of food in the present era. This course will examine how these narratives contradict each other, and why it matters.",http://coursecatalog.web.cmu.edu/schools-colleges/dietrichcollegeofhumanitiesandsocialsciences/courses/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
66-402 Dietrich Leadership Development Seminar,"Fall and Spring: 9 units The Dietrich Leadership Development Seminar is for juniors and seniors in Dietrich College wishing to advance their understanding of leadership theory and practice and to develop their own skills in this regard, while creating a context for their lifelong leadership development. The course is predicated on a six pillar model proposing that ideal leaders must at once be visionary, ethical, engaging, tactical, technical - including sub-expert conversancy in realms beyond their own expertise, and reflective - including both personal mindfulness and assessment against clear metrics. In this context, the course includes a focus on strategic planning, teamwork, cultural awareness, conflict resolution, risk management, sustainability and personal welfare, professionalism, personal financial planning, and ongoing professional development. The course includes an attendance requirement and active engagement in class discussion, assigned readings/videos/podcasts (2 hours/week), self-selected experiential opportunities (2 hours/week), reflective journaling (2 hours/week), three hour-long one:ones per semester with the instructor, special guests who are leaders in various occupational and service domains, a mid-term, a final, and a final presentation. The course includes case studies and role plays to amplify the learning experience. The course is limited to twelve students, with registration based on approval of the faculty member.",http://coursecatalog.web.cmu.edu/schools-colleges/dietrichcollegeofhumanitiesandsocialsciences/courses/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
36-680 Quantitative Financial Analytics and Algorithmic Trading,"Fall and Spring: 12 units Algorithmic trading serves as a practical application of software engineering and data science methodologies and quantitative analysis techniques within the context of financial markets. This project-based course offers an introduction to algorithmic trading and the principles behind it, while emphasizing universally applicable engineering concepts and data-driven methodologies. Students will gain an understanding of the fundamentals of financial markets and trading systems, learn how to manage data, generate signals, backtest strategies, and use APIs to execute trades. Additionally, they will apply risk management principles, position sizing, and software development best practices such as unit testing in Python. Most importantly, the course will teach students specific thinking patterns and data science methodologies that can be applied across various engineering and data analysis fields. Students will be equipped with a toolbox needed to continue researching trading strategies, predictive analytics, or other data science-related topics independently. Following condensed lecture videos, the course will emulate a professional environment through a series of individual assignments culminating in a functional project. Delivery of the project will be guided by direct instruction, Q and amp;A calls, and an online chat group with the lecturers, similar to a real workplace. Students will deliver a functional project in Python, according to a specification, while also taking exams on the theoretical materials covered in the lectures. Student progress is assessed through the delivery of practical projects according to a specification and evaluation criteria. While there are no prerequisites for this course, an understanding of statistics, probabilities, hypothesis testing, measures of spread, confidence intervals, and related topics is assumed.",http://coursecatalog.web.cmu.edu/schools-colleges/dietrichcollegeofhumanitiesandsocialsciences/departmentofstatistics/courses/,1.5,Predictive Analytics,technical_skills-1,"{""predictive analytics"": 1}"
60-225 Intermediate Studio: Drawing with Machines,"Intermittent: 10 units This is an intermediate studio course in experimental drawing, generative art, computational design, and mechatronic mishegoss. Working at the boundaries of creative code, automation, physical materials, and gestural mark-making, we will explore personal and peculiar new approaches to digital imaging; the development of ultra-niche workflows as a mode of creative practice; and the use of algorithms and machine collaborators as nontraditional intermediaries between mind, hand, and paper. Drawings will be created using AxiDraw plotters and a variety of other specialized robots. Interested students should have JavaScript and/or Python programming experience equivalent to an introductory course such as 15-104 , '110 or '112.",http://coursecatalog.web.cmu.edu/schools-colleges/collegeoffinearts/schoolofart/courses/,1.5,Automation,technical_skills-1,"{""automation"": 1}"
60-242 Digital Photography II,"Intermittent: 10 units Digital Photography II combines digital and analog processes in both color and black and amp; white. Students will gain experience with digital workflow, analog to digital conversion, virtual drum scanning and large format digital printing. Topics include trends in contemporary photography, professional practices, project development, narrative and serial work, and portfolio presentation. Students will be expected to develop their own self-directed projects throughout the semester culminating in a cohesive portfolio of their work. Readings, assignments, artist visits, critiques and discussions will give context to the practical work and help develop a wide ranging familiarity with the subjects. Prerequisites: 60-142 or 60-141 or 62-142 or 62-141",http://coursecatalog.web.cmu.edu/schools-colleges/collegeoffinearts/schoolofart/courses/,2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
