title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
CH 2290 - Organic Chemistry Laboratory,1 Credit (3 Contact Hours) One-semester laboratory for Chemical Engineering students. Credit toward a degree will be given for only one of or CH 2290. Preq: .,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
AGM 4520 - Mobile Power,"3 Credits (2 Contact Hours) Study of tractors, emphasizing internal combustion engines and support systems necessary for their proper functioning. Also considers application of power, maintenance, adjustment, and general repair. Preq: or or . Coreq: . This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.",2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
AGM 4071 - Applied Measurement and Instrumentation for Agricultural Automation Laboratory,0 Credits (2 Contact Hours) Non-credit laboratory to accompany . Coreq: .,1.5,Automation,technical_skills-1,"{""automation"": 1}"
AGM 4070 - Applied Measurement and Instrumentation for Agricultural Automation,"3 Credits (2 Contact Hours) Introduces the use of sensors, actuators, computers, and microcontrollers for monitoring plant environment, acquiring and processing data in agricultural automation. Students develop an understating of the use of these technologies and apply this knowledge in their semester projects and Capstone project or in their graduate research projects. Preq: and . Coreq: . This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.",2.0,Automation,technical_skills-1,"{""automation"": 2}"
AGM 4050 - Environmental Control in Animal Structures,"3 Credits (2 Contact Hours) Design of environmental control systems for animal production facilities. Topics include effects of the thermal and chemical environment on animals, ventilation system design, thermal design of structural envelopes, design of heating, cooling, and lighting systems. Emphasis is on practical, energy-efficient applications to modern animal production facilities. Preq: and . Coreq: . This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
AGM 4000 - Senior Seminar in Agricultural Mechanization and Business,"1 Credits (1 Contact Hours) This seminar-based course focuses on developing skills in critical thinking, problem solving, professional ethics, and oral and written communication. Students develop a proposal for a capstone project that is completed in AGM 4720 the following semester. Topics in the this seminar are related to agricultural production, agribusiness and resource management. Preq: Senior standing in Agricultural Mechanization and Business; and , , , , , , , and ; and either or .",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
AGM 2050 - Principles of Fabrication,"3 Credits (2 Contact Hours) Principles, techniques, and methods in the selection, proper use, and maintenance of hand and power tools. Principal topics include welding, tool fitting, metalworking, woodworking, finishing and preserving, and heat treatment. Coreq: .",3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
"ANTH (JUST, SOC) 4820 - Spatial Inequality and GIS","3 Credits (3 Contact Hours) This course examines the theories and methods used in spatial inequality research-the study of “who gets what where and why.” The course introduces students to geographic information systems (GIS) and examines spatial disparities related to poverty, health, crime, pollution, and racial and socioeconomic segregation. May also be offered as or . Preq: or or or or . This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
ANTH 3280 - The Future of Humanity,"3 Credits (3 Contact Hours) This course examines the future of humanity through a lens of humanity’s past and present. Human biological variation and cultural diversity have created many strategies for dealing with climate change, environmental sustainability, disease, warfare, inequality, and other global challenges. These diverse strategies provide a model and context for examining how humanity can successfully adapt to challenges of the future. Preq: Sophomore standing.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ANTH 3250 - The Anthropology of Food,"3 Credits (3 Contact Hours) This course explores factors leading to the diverse development of foodways across the world and the ways in which people use food to make sense of life. It uses food as a lens to examine some of the most important issues facing today’s societies: economy, sustainability, politics, identity and globalization.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
