title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
AEM 3000 - Working Together: Project Development and High-Performing Teams,"Fall, Spring. 1.5 credits. Letter grades only (no audit). Prerequisite: completion of Grand Challenges writing requirement or permission of instructor. Enrollment limited to: Dyson students. S. Wolfolds. Part of the Grand Challenges program, the Pre-Project Immersion prepares students to work with a team during their senior year to solve a societal problem. The Immersion is an intensive learning experience with reinforcements throughout the semester. Students will build skills in working as part of a team, presenting to a client, reflecting on their experience, and demonstrating cultural humility. Outcome 1: Work collaboratively with a team to practice managing a project. Outcome 2: Use design thinking strategies to understand a problem and navigate uncertainty and complexity. Outcome 3: Practice consulting skills, such as listening and engaging with community partners. Outcome 4: Develop a communication strategy and demonstrate clear writing and effective presentation skills. Outcome 5: Reflect on your views and experiences to improve self-awareness. Outcome 6: Identify personal biases and understand how reframing and cultural humility may improve team and community outcomes.",2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
AEM 2818 - Sustainable Arguments,"(WRT-AG) (CU-SBY) Fall, Spring. 3 credits. Letter grades only (no audit). Prerequisite: First-Year Writing Seminar or equivalent. Enrollment limited to: Dyson students. Satisfies CALS written expression requirement and Dyson Grand Challenges writing requirement. T. Stewart-Harris. In Fall of 2015 the United Nations’ General Assembly adopted a resolution titled, “Transforming Our World: The 2030 Agenda for Sustainable Development.” This 35-page resolution includes an elaborate vision statement, a list of principles and commitments, and a list of 17 goals, among many other items. In 2022, the resolution is still very much in effect and having an impact on our world. Upon analyzing or reflecting on the text of the UN resolution and exploring its related goals and topics, we can quickly begin to identify the issues people, organizations, and governments are likely to argue over, or are already arguing over. Thus, UN goal and topic is up for argument, including facts (e.g., climate change) will be contested in one way or another, by someone or some group or another, and arguments of all kinds, formal and informal, will proliferate. It is amid these arguments about our sustainable future that this course will take place. Sustainable Arguments will focus on making and understanding data driven, logical, and rhetorically focused arguments about sustainability that connect to the UN’s Agenda for Sustainable Development. Outcome 1: Analyze, state, and arrange the structures of written and oral arguments. Outcome 2: Generate data-driven arguments appropriate to varied contexts and situations. Outcome 3: Explain the general history of rhetoric and argument as fields of study. Outcome 4: Identify types of arguments and logical fallacies, and apply them effectively. Outcome 5: Design arguments that use and follow the rules and tools of rhetoric. Outcome 6: Construct arguments (written and oral) to specific audiences.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AEM 2815 - [Forest Bioeconomy],"(WRT-AG) (CU-SBY) Fall. Not offered: 2024-2025. Next offered: 2025-2026. 3 credits. Letter grades only (no audit). Prerequisite: First-Year Writing Seminar or equivalent. Enrollment limited to: Dyson students. Satisfies CALS written expression requirement and Dyson Grand Challenges writing requirement. T. Preszler. We begin with an introduction to the role of the bioeconomy in society, a description of the various bioproduct categories, and an overview of the sustainable bioeconomy as it pertains to the timber industry. Our focus will be on understanding how the supply and demand dynamic of wood-based forest products affects personal and corporate behavior. Students will develop critical thinking and writing skills through assigned readings, class discussions, individual writing assignments, and presentations about important themes in the forest-based bioeconomy, including: the impacts of business innovation in emerging wood-based products, both positive and negative; environmental and social risk management through recycling, management of residues and wastes, and end-of-life product analysis; sustainability initiatives in the corporate sector, including intra-industry collaboration and the substitution of forest products for fossil fuels; stakeholder engagement to overcome knowledge and implementation gaps along the global forest product value chain; and future supply and demand dynamics based on business growth and evolving consumer perceptions. Outcome 1: Analyze the environmental, economic, and social impacts of industrial practices within the bioeconomy. Outcome 2: Recognize and evaluate the relative sustainability risks (pros adn cons) associated with various wood sources and propose actions that mitigate these risks. Outcome 3: Identify advantages and disadvantages of a wood-based bioeconomy relative to a petroleum-based economy. Outcome 4: Describe the interactions and roles of different stakeholders in teh bioeconomy (producers, regulators, consumers) and recognize opportunties for improving outcomes of these interactions. Outcome 5: Examine the major differences in energy, waste, raw material usage, and environmental impacts of the various wood bioproduct pathways. Outcome 6: Develop persuasive opinion essays that examine the environmental, economic, and social impacts of industrial practices within the bioeconomy.",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
AEM 2816 - Climate-Smart Agribusiness,"(WRT-AG) (CU-SBY) Spring. 3 credits. Letter grades only (no audit). Prerequisite: First-Year Writing Seminar or equivalent. Enrollment limited to: Dyson students. Satisfies CALS written expression requirement and Dyson Grand Challenges writing requirement. T. Preszler. With 690 million people around the world facing hunger and agri-food systems emitting one-third of all greenhouse gas emissions, it is urgent to achieve food security while adapting to – and mitigating – climate change. This course examines strategic business innovations in climate-smart agriculture, centered on the challenge of transforming global food systems with low carbon land-use practices. Students will use insights from economics to analyze the environmental impacts of farming and identify opportunities for transformative actions in agribusiness management. Our focus will be on four important economic sectors (rice, livestock, aquaculture, and agroforestry) in the context of three climate change mitigation strategies: (1) Sustainably increasing agricultural productivity and incomes; (2) Adapting and building resilience to climate change; and (3) Reducing and/or removing greenhouse gas emissions. Outcome 1: Investigate the most important and controversial topics in climate-smart agribusiness, formulate their personal views about the issues, and debate them critically with their peers. Outcome 2: Develop the skills of argumentative writing through exercises in concision; using evidence to support claims; self-editing; effective use of tone, grammar, and rhetorical devices; and peer-review through a multi-draft essay composition practice. Outcome 3: Weigh the relative sustainability of business practices associated with low carbon farming and propose actions to foster strategic business innovation in the sector. Outcome 4: Prioritize the advantages and disadvantages of a climate-smart agribusiness outlook compared to the “business as usual” approach. Outcome 5: Diagram the roles and interactions of different stakeholders in climate-smart agribusiness (managers, executives, regulators, consumers, banks) and propose solutions for improving those interactions.",5.5,Greenhouse Gas Emissions;Sustainability,sustainability_and_policy-4,"{""sustainability"": 1, ""greenhouse gas emissions"": 2}"
AEM 3251 - The Business Laboratory and New Venture Management,"Spring. 3 credits. Letter grades only. Prerequisite: or , or equivalents. R. Karpman. This course is a team oriented approach to allow students to understand through a simulation what happens when a new business is launched with funding in place. During the course of the implementation they will be presented with obstacles that often occur in “real-life ” situations and learn how to develop creative ways to solve and overcome those obstacles. By the end of the term, it is expected that each team will have experienced (through simulation) managing a new venture. Outcome 1: Develop a company mission and vision. Outcome 2: Develop an appropriate budget; manage revenue and seek additional funding sources if necessary. Outcome 3: Interview and hire employees and consultants. Outcome 4: Acquire space and negotiate contracts with suppliers. Outcome 5: Deal with unexpected obstacles i.e. delays in material deliveries, sudden loss of key employees. Outcome 6: Initiate a marketing plan for the company. Outcome 7: Project development and achieving milestones.",2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
AEP 3620 - Intermediate Quantum Mechanics,"Spring. 4 credits. Letter grades only (no audit). Prerequisite: or . Corequisite: or permission of instructor. Co-meets with . K. Yasuda. Continuation of covering more advanced material in quantum mechanics. Topics include operator formalism and matrix representation, angular momentum and spin, the hydrogen atom, techniques for solving Schrodinger’s equation including perturbation theory, two- and three-level systems, interaction with radiation, and identical particles.",5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
AEP 3610 - Introductory Quantum Mechanics,"Fall. 4 credits. Student option grading. Prerequisite: or . Corequisite: . Co-meets with . O. Katz. Introductory course in quantum mechanics. Topics include Schrodinger’s equation and the statistical interpretation of the wavefunction, potentials in 1 to 3 dimensions, Dirac notation and Hilbert space, ladder operators for harmonic potentials and angular momentum, exact solutions for the hydrogen atom and spin systems. Emphasis is on developing both an intuitive understanding of quantum mechanics and how to apply it rigorously.",5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
ARTH 4520 - Reading Race Early Modern Art,"(crosslisted) (ALC-AS, HST-AS) (CA-AG, HA-AG, LA-AG) Spring. 3 credits. Student option grading. Co-meets with . A. Howie. This seminar explores the ways in which artists and craftspeople created representations of non-Europeans that shaped, negotiated, and challenged pluralistic biological and symbolic conceptions of race between 1450 and 1700. Against the backdrop of increasing global contact, European colonial enterprises, and the explosion of the Atlantic slave trade, this seminar will critically explore constructions of Blackness, whiteness, and racialized “otherness” and will consider the roles played by art and material culture in practices of race-making. Thinking materially, students will assess the impact of different artistic media on understandings of racialized difference. Considering race at its intersections with gender, class, religion, science, and disability, this seminar will analyze how artworks reveal and obscure the real, complex experiences of non-Europeans in Europe.",1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
BEE 6670 - Applied Water Research in NYS,"Spring. 1 credit. S/U grades only. Co-meets with . B. Rahm. Every year, the New York State Water Resources Institute (NYSWRI) at Cornell supports applied research that addresses critical water resource problems in the New York State and the nation. This seminar series brings together researchers who work with NYSWRI and state agency partners to support and improve water management in the state. Speakers will present on a broad range of water related topics including water engineering and infrastructure, climate and flood resilience, water quality monitoring and assessment and aquatic ecosystems. The seminar will focus on ways in which robust science can support and influence on-ground management and policy outcomes, and center collaborative and interdisciplinary work between academics, water resource scientists, educators, managers, and policymakers in New York State. Outcome 1: Evaluate the relevance of research questions, study design, and data collection methods in the context of water policy in New York State. Outcome 2: Engage in discussions on water-related topics and actively participate in question-and-answer sessions with guest speakers. Outcome 3: Synthesize and connect information from presentations to analyze the connections between different topics in water management. Outcome 4: Demonstrate an expanded knowledge of the complexities of real-world water problems and their implications for water resource management.",2.0,Water Quality;Resource Management,technical_skills-1,"{""water quality"": 1, ""resource management"": 1}"
BEE 6550 - Biologically Inspired Microsystems Engineering,"Spring. 2-3 credits, variable. Letter grades only. Prerequisite: or equivalent, or equivalent bio lab; or permission of instructor. Permission of instructor required. Co-meets with . M. Wu. Covers fundamental mechanisms that nature uses to build and control living systems at micro- and nano-meter length scales; engineering principles for fabricating micro/nano-meter scale devices; examples of solving contemporary problems in the health sector and environment. The lab sessions will provide students with hands on experiences in cell culture, microfluidic device and live cell imaging techniques. Graduate students will take a leadership role in the team projects (which consists of the mid-term presentation, final presentation, as well as lab). Lecture only for 2 credits; lecture and lab for 3 credits.",2.5,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 1}"
