title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
HART 1407 - Refrigeration Principles (4 Credit Hours),"An introduction to the refrigeration cycle, heat transfer theory, temperature/pressure relationship, refrigerant handling, refrigeration components and safety. This course is cross-listed as HART 1407. The student may register for either or HART 1407 but may receive credit for only one of the two. Background Search Required: No (3 Lec., 3 Lab.) CTE",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
HART 1307 - Refrigeration Principles (3 Credit Hours),"An introduction to the refrigeration cycle, heat transfer theory, temperature/pressure relationship, refrigerant handling, refrigeration components and safety. This course is cross-listed as and HART 1507. The student may register for either HART 1307, , or HART 1507 but may receive credit for only one of the three. Background Search Required: No (2 Lec., 3 Lab.) CTE Course not offered this year on any campus of Dallas College.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
HART 1351 - Energy Management (3 Credit Hours),"Study of basic heat transfer theory; sensible and latent heat loads; building envelope construction; insulation, lighting, and fenestration types; and conduct energy audit procedures. The course also develops energy audit recommendations based on local utility rates, building use, and construction. Laboratory activities include developing energy audit reports, installing energy saving devices, and measuring energy consumption. (2 Lec., 4 Lab.) CTE",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
CNBT 2344 - Construction Management II (3 Credit Hours),"A management course in contract documents, safety, planning, scheduling, production control, and law and labor. Topics include contracts, planning, cost and production peripheral documents, and cost and work analysis. : and . Background Search Required: No (2 Lec., 2 Lab.) CTE",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
WLDG 2051 - Advanced Gas Tungsten Arc Welding (GTAW),"Advanced topics in GTAW welding, including welding in various positions and directions. CE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2453 - Advanced Pipe Welding (4 Credit Hours),"Advanced topics involving welding of pipe using the shield metal arc welding (SMAW) process. Topics include electrode selection, equipment setup, and safe shop practices. Emphasis on weld positions 5G and 6G using various electrodes. (2 Lec., 6 Lab.) CTE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2452 - Advanced Flux Cored Arc Welding (4 Credit Hours),"Advanced concepts of flux cored arc welding of structural and fabricated steel products. Skill development in multipass fillet and v-groove welding. (2 Lec., 6 Lab.) CTE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2451 - Advanced Gas Tungsten Arc Welding (GTAW) (4 Credit Hours),"Advanced topics in GTAW welding, including welding in various positions and directions. Background Search Required: No (2 Lec., 6 Lab.) CTE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2447 - Advanced Gas Metal Arc Welding (GMAW) (4 Credit Hours),"Advanced topics in GMAW welding, including welding in various positions and directions. Background Search Required: No (2 Lec., 6 Lab.) CTE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2443 - Advanced Shielded Metal Arc Welding (SMAW) (4 Credit Hours),"Advanced topics based on accepted welding codes. Training provided with various electrodes in shielded metal arc welding processes with open V-groove joints in all positions. Background Search Required: No (2 Lec., 6 Lab.) CTE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2070 - Advanced Welding Using Multiple Processes,CE,3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
WLDG 2413 - Intermediate Welding Using Multiple Processes (4 Credit Hours),"Instruction using layout tools and blueprint reading with demonstration and guided practices with some of the following welding processes: oxy-fuel gas cutting and welding, shield metal arc welding (SMAW), gas metal arc welding (GMAW), flux-cored arc welding (FCAW), gas tungsten arc welding (GTAW). None. Background Search Required: No (2 Lec., 6 Lab.) CTE",6.5,Welding,delivery_and_storage-3,"{""welding"": 7}"
WLDG 2047 - Advanced Gas Metal Arc Welding (GMAW),Advanced topics in Gas Metal Arc Welding (GMAW). Includes welding in various positions. CE,4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2044 - Advanced Arc Welding,This course covers advanced principles of welding with emphasis on special processes and special needs of students CE,4.0,Welding,delivery_and_storage-3,"{""welding"": 2}"
WLDG 2043 - Advanced Shielded Metal Arc Welding (SMAW),Advanced topics based on accepted welding codes. Training provided with various electrodes in shielded metal arc welding processes with open V-groove joints in various positions. CE,4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 2013 - Intermediate Welding Using Multiple Processes,"Instruction using layout tools and blueprint reading with demonstration and guided practices with some of the following welding processes: oxy-fuel gas cutting and welding, shield metal arc welding (SMAW), gas metal arc welding (GMAW), flux-cored arc welding (FCAW), gas tungsten arc welding (GTAW). CE",6.5,Welding,delivery_and_storage-3,"{""welding"": 7}"
WLDG 2006 - Intermediate Pipe Welding,"A comprehensive course on the welding of pipe using the shielded metal arc welding (SMAW) and/or other processes. Welds will be done using various positions. Topics covered include electrode selection, equipment setup, and safe shop practices.",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 1480 - Cooperative Education-Welding Technology/Welder (4 Credit Hours),"Career-related activities encountered in the student’s area of specialization offered through and individualized agreement among the college, employer, and student. Under the supervision of the college and employer, the student combines classroom learning with work experience. Includes a lecture component. Background Search Required: No (1 Lec., 21 Ext.) CTE",3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
WLDG 1471 - Welding Qualifications (4 Credit Hours),"Topics covered will include interpretation of applicable welding specifications, electrode use, current/polarity characteristics, performing a wide range of welding operations, weld quality analysis, welding supplies/materials conservation practices, and operational safety practices. Background Search Required: No (2 Lec., 6 Lab.) CTE",5.0,Welding,delivery_and_storage-3,"{""welding"": 4}"
WLDG 1457 - Intermediate Shielded Metal Arc Welding (SMAW) (4 Credit Hours),"A study of the production of various fillets and groove welds. Preparation of specimens for testing in all test positions. This course is cross-listed as WLDG 1257. The student may register for either WLDG 1457 or WLDG 1257 but may receive credit for only one of the two. This course is cross-listed as WLDG 1257. The student may register for either WLDG 1457 or WLDG 1257 but may receive credit for only one of the two. Background Search Required: No (2 Lec., 6 Lab.) CTE",3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
WLDG 1437 - Introduction to Welding Metallurgy (4 Credit Hours),"A study of metals from the ore to the finished product. Emphasis on metal alloys, heat treating, hard surfacing, welding techniques, forging, foundry processes, and mechanical properties of metal including hardness, machinability, and ductility. (2 Lec., 6 Lab.) CTE",4.0,Welding,delivery_and_storage-3,"{""welding"": 2}"
WLDG 1435 - Introduction to Pipe Welding (4 Credit Hours),"An introduction to welding of pipe using the shielded metal arc welding process (SMAW), including electrode selection, equipment setup, and safe shop practices. Emphasis on weld positions 1G and 2G using various electrodes. Lab required. Background Search Required: No (3 Lec., 2 Lab.) CTE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WLDG 1434 - Introduction to Gas Tungsten Arc (GTAW) Welding (4 Credit Hours),"An introduction to the principles of gas tungsten arc welding (GTAW), setup/use of GTAW equipment, and safe use of tools and equipment. Welding instruction in various positions on joint designs. This course is cross-listed as WLDG 1234. The student may register for either WLDG 1434 or WLDG 1234 but may receive credit for only one of the two. This course is cross-listed as WLDG 1234. The student may register for either WLDG 1434 or WLDG 1234 but may receive credit for only one of the two. Background Search Required: No (2 Lec., 6 Lab.) CTE",4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
