title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
AVI 232 - Safety Management Systems (SMS),"This course provides an introduction to Safety Management Systems (SMS) to systematically design, implement, and manage safety programs in aviation using the Safety Management System. These concepts of Safety Management Systems are delivered with emphasis on the following concepts; SMS introduction, components of an SMS, analyzing aviation hazard and risk assessments, developing and managing SMS programs, and evaluating an SMS. .",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
AVI 260 - Aviation Human Factors and Safety,"Basic study of human and machine interface in an aviation environment. Topics include flight physiology, aeromedical factors, automation, equipment design, navigation, and flight path warning systems as they relate to an established safety culture. Course includes case studies of incidents, accidents, and details crew performance. or .",1.5,Automation,technical_skills-1,"{""automation"": 1}"
ATC 310 - Air Traffic Basics Part I,"Provides basic elements of air traffic control operations supporting the FAA Air Traffic Collegiate Training Initiative. &nbsp;Course covers FAA developed lessons 1-13 including Crew Resource Management, Airports, Airspace, Separation, Radar, FAA Orders & Manuals, Wake Turbulence, Principles of Flight, and Aircraft Recognition. , , Offered: F.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
AVNC 100 - Basic Avionics,"Provides basic knowledge of the subject of avionics. Topics include: radio frequency spectrum displays and technologies, fundamentals of instrumentation systems, air data systems and sensors, radio systems, fundamentals of radio propagation, and radio navigational aids. Also, the course includes ADF, VOR, DME, NDB, ILS, MLS, HSI, marker beacon, and transponder operation and functioning. The Theory of GPS, flight control systems, and the basics of radar systems will also be covered. None.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
MAS 440 - Hydrology of Coastal Water,"The discharge and current activity of coastal waters including estuaries, wetlands, and marine environment factors affecting water quality and ecological imbalance. Field oriented seminar course. ; ; . Offered: F.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
BUAD 343 - Experiential Learning in Project Management,"In this course students will be provided with the opportunity to experience and report on real projects. Students will be asked to research real projects within the community and complete a formal project proposal to be evaluated for possible publication submission. The completion of and (prerequisites to this course) and this course will provide the students with the skills, knowledge, and capabilities necessary for managing project teams, writing project-based reports, and experiencing project environments. Can either be concurrent or previous. Offered: F, S.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
BUAD 341 - Management Concepts for Project Managers,"Besides knowing the key knowledge areas that are associated to project management, it is expected that project managers demonstrate high management and leadership skills. Project managers should be able to motivate and inspire team members, align team members to the correct areas on a project, build relationships, negotiate well and resolve conflicts. This course is designed to provide foundational concepts in management, and scenario based interactive sessions that will help students become better project managers and team players on a project. None. Offered: F, S.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
"BUAD 330 - Risk Analysis, Fraud Detection and Internal Controls","This course deals with risk analysis, fraud detection, and internal control frameworks in the context of cyber security and project management in business organizations. Possible topics include risk governance, risk management, risk assessment, fraud symptoms, fraud detection, investigation of thefts and concealment, conversion methods and inquiry method, preventing fraud, control environment, risk assessment of internal controls, control activities, information and communication about controls and monitoring activities. , or equivalent with a C or higher. Offered: F, S.",4.5,Risk Assessment;Project Management,technical_skills-1;engineering_capabilities-2,"{""project management"": 1, ""risk assessment"": 2}"
AVNC 380 - Aircraft or Flight Control Systems,"Topics include discussion on the early history of aircraft dynamics and control, mathematical models of linear system elements, feeD.B.A.ck system analysis, vehicle equations of motion, longitudinal and lateral dynamics, and elementary longitudinal and lateral feeD.B.A.ck control. The course includes such topics as the system design process, inputs and system performance assessment, the root locus analysis of a generic acceleration autopilot, multi-loop flight control systems, methods for modeling the human pilot, and the integration of the human pilot into an aircraft flight control system. .",2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
CSC 413 - System Analysis and Design,"A survey of techniques for performing system analysis and system design tasks. Includes sources of error in developing software, fundamental steps in developing software, duties and responsibilities of the System Analyst, automation of software development, problems in software development, the software life cycle, standard software development models, object-oriented software development, trends in software development, and metrics. Students will produce a term project that consists of a medium/large design effort. C or better in . Offered: S.",1.5,Automation,technical_skills-1,"{""automation"": 1}"
