title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
HIT 360 - Healthcare Information Systems,"3 3 0 This course focuses on the applications of information technology to improve the quality of healthcare and to lower costs in providing healthcare services. Issues to be covered in this course include: information security, the Health Insurance Portability and Accountability Act (HIPAA), the implementation of electronic medical records (EMR), the organization of IT functions, IT project management, and standards that guide health information exchange. and",6.0,Ion Exchange;Project Management,engineering_capabilities-2;production-3,"{""ion exchange"": 1, ""project management"": 1}"
"BTCH 400 - Product Development, Specifications, Process and Validation","In this course, students will be exposed to the major design processes that are critical to life science product, process and specification development. Topics to be covered include: cradle to grave product and process development, prototype builds, scalability, design of experiments, variability, control, specification development and validation methodology. Instructors will explore how rigorous human factor engineering studies and clinical trials provide essential inputs into the product development process. The students will be introduced to concepts such as gap analysis, risk assessment, master plan, process characterization, installation qualification, operational qualification, measurement system analysis, repeatability and reproducibility (data collection / analysis), performance qualification/validation. In a world of innovative technology, it is critical that the students gain an understanding of computer system and software validation to ensure the quality of data generation, data storage, and digital processes used in manufacturing and products with digital components using technical and practical aspects expected in the regulated life science industries. BTCH 355: Global Regulatory and Legal Requirements of Quality",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
BTCH 340L - Toxicology Laboratory,1 0 2 This laboratory course includes two hours of lab study in the main concepts of toxicology through hypothesis-based experiments. Dose-response testing will be introduced as well as other tools used in risk assessment and specific areas of toxicology. BTCH 340,1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
BIOL 111 - General Biology I,"3 3 0 An introductory study of concepts relating to the origin of organisms: cell history, reproduction, structure, and function; atomic and molecular structure of the cell; energy relations; structure, composition, and systematics of major organic compounds; sexual and asexual reproduction; genetics and evolution; and plant evolution, diversity, structure, function, and control systems.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ASTR 214 - Special Topics in Astronomy: A Cosmic Perspective on the Sustainability of Human Civilization,"3 3 0 This course provides an overview from a cosmic perspective of the challenges facing humanity in the development of a sustainable lifestyle on Earth. We survey the history of humanity’s impact on the Earth’s mineral and biological resources, and consider problems posed by the exponential rise of some of these impacts. Limits to growth are explored, as are the reduction of impacts that can occur with human behavior more aligned with the finite nature of the Earth’s resources. The prospects of human colonization of other bodies in the solar system, galaxy, and universe are examined.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ASTR 101L - Introduction to Astronomy Lab I: Rocket Science,"1 0 2 This laboratory course features activities that are designed to enhance student understanding of the practice of modern astronomy as well as to enhance hands-on STEM competency. The organizing principle of this lab is “rocket science,” a recapitulation of the intellectual quest that has enabled humans to journey amongst the planets. Activities will include telescope design, a study of electromagnetic radiation, using telescopes at the FSU Observatory, and launching rockets. The course will also incorporate an examination of the prospects for the continuation of this enterprise indefinitely into the future, this incorporating sustainability into the course. MATH 123 or higher",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CHEM 313 - Physical Chemistry I,"3 3 0 The first course in a two-semester sequence of calculus-based physical chemistry that investigates the properties of real gases, the three laws of thermodynamics, phase equilibria for single and binary systems, chemical equilibrium, electrochemistry, the transport properties of matter, the kinetic theory, and the application and derivation of integrated rate laws. and and and and and and and (may be taken concurrently)",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 227 - Chemical Process Systems,3 3 0 Introduction of mathematical and computational tools for analyzing chemical engineering problems. Sequential modular and equation-based simulation of steady-state chemical processes using advanced spreadsheet methods and multivariate root-finding algorithms. Material and energy balances on transient processes and their solution using analytical and numerical methods. Introduction to microscopic material and energy balances using the “shell balance” approach to develop the governing differential equations. Solutions to steady-state boundary value problems in heat conduction and Fickian diffusion. Grade of C or better in and,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEM 205 - Chemical Process Principles,"4 4 0 An introduction to material and energy balance principles for chemical systems. Topics include fluid density, flow rate, chemical composition variables, pressure, and temperature. Students will be able to approach problems from a chemical engineering standpoint, including problems involving recycle, bypass, and reactive processes. Grade of C or better in , , and and or and",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEM 211 - Analytical Chemistry Lecture,"3 3 0 A one semester course that investigates the principles of quantitative analytical chemistry and how these principles are applied in chemistry and related disciplines. Lecture and laboratory concentrate on tools, experimental error, statistics, quality assurance, calibration methods, systematic treatment of equilibrium, acid-base titration, EDTA titration, redox titration, gravimetric analysis, introduction to electroanalytical and spectrometric methods, concepts of analytical separation and application of Excel in analytical chemistry. and",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
