title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
SUS-504 Directed Independent Study,A topic of special interest selected by the student and a faculty member with whom the student chooses to work. The study is done mostly with sustainability science literature. Results of the investigation are reported in a paper written according to the style and format of professional sustainability science publications. The grade will depend largely on the initiative of the student. The grade will depend largely on the initiative of the student. Variable credit.,5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
SUS-475 Sustainability Science Seminar,Contact department. 4 credits.,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SOC-225 Sociology of Development and Globalization,"Prerequisite: Explores development in the Third World, with a special focus on the continent of Africa. Addresses the question why such a large gap between rich and poor countries exists, why this gap is increasing, and how sociologists and global institutions such as the World Bank have addressed this problem. Issues of the environment, sustainability, the role of women in economic development, the WTO and the push for free trade and social problems in the Third World such as unemployment, poor labor conditions, industrialization, and ethnic conflict will also be addressed. 4 credits.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUS-473 Sustainability Science Practicum,"Prerequisite: any first year writing seminar Capstone experience in the major emphasizing solution-based research. Students will have the opportunity to conduct rigorous, applied research and further develop critical analysis skills. Research analysis will be conducted at the local level in partnership with local organizations (nonprofit, public, or private), addressing a pre-determined research question. Exploring topics that allow students to grapple with how to reduce environmental impact and increase social welfare, designed to encourage “engaged scholarship” to prepare students for interdisciplinary team-based research in their careers. 4 credits.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUS-410 Sustainable Futures,"Prerequisite: and or Striving for sustainability requires a clear, long-term perspective on both sustainability problems and their potential solutions. Students will explore sustainability science as a future-oriented endeavor and practice methods including scenario development and visioning, among others. 4 credits.",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
SUS-370 Sustainability Solutions Workshop,"Prerequisite: , or Sustainability science addresses pressing challenges facing society. But how do we understand these challenges and design actions to create desirable change? Through a one semester-long, guided group project, students collaboratively implement principles and methods of sustainability science to generate potential solutions for a local problem. 4 credits.",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
SUS-351 Off the Grid,"An off the grid, eco-village immersion experience. Topics in social, ecological, and economic sustainability, with a focus on organic foods, regenerative systems, and community living. Students will be immersed into the village, livelihoods, businesses, and farms of an eco-village community. May Experience ONLY. May Experience ONLY. 2 credits.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUS-342 Leadership for Sustainability,"Prerequisite: SUS-120 Humanity is facing interconnected environmental and social global challenges that require innovative solutions and leaders willing to create change. What does it take to be a leader who creates a safe and just space for humanity? In this course, students learn leadership theory, practice behaviors such as listening with empathy, and experience the creation and implementation of strategies to make a difference for people and the planet. Knowledge about self, working with others, building strong teams, and comfort with communication and conflict management will be our focus. Students will engage in a self-directed project to improve upon specific leadership skills within the sustainability issue of their choice. 4 credits",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
SUS-335 Sustainability and Social Justice,"Prerequisite: , , , or Focus on the social justice aspects of sustainability; disproportionate impacts of sustainability actions on different social groups; environmental justice in terms of fair treatment and meaningful involvement of both positive and negative environmental actions. 4 credits.",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
SUS-242 Dynamic System Modeling,"Prerequisite: , , or An introduction to systems thinking and modeling of the human-environment relationship. Stocks, flows, feedback loops, homeostasis, and cyclic processes will be considered. Problems in sustainability such as climate change, population growth, and energy consumption will be modeled. 4 credits.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUS-241 Social Systems,"Prerequisite: or An overview of how comparative cultures conceptualize sustainability and the ways in which the actors, institutions, and policies at all scales (e.g., local, regional, national) shape societal well-being. Connections to the global environmental and human systems are emphasized and explored. 4 credits.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUS-220 Mineral Resources and Sustainable Development,"Prerequisite: Any first year writing seminar (FYW) and or or or or Our modern lifestyles are based on technology, and progress towards a sustainable clean energy transition entails increasing reliance on green technologies. These are based on geologically or geopolitically limited metallic resources. This course will address how resources can be developed and sourced in sustainable manner. 4 credits.",5.0,Energy Transition;Clean Energy,sustainability_and_policy-4,"{""clean energy"": 1, ""energy transition"": 1}"
SUS-210 Urban Sustainability,"SUS-120 What does a sustainable city look like, and how do we create one? In this course, students learn theory, principles, and practices of urban planning as it applies to sustainability science and planning for sustainable urban development. 4",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
SUS-216 Sustainability Reporting,"PRQ: SUS 120 OR EES 112 An overview of the evolving realm of sustainability reporting in business. Covering topics like carbon, biodiversity, water, waste reporting, and social engagement, this course delves into the history, current trends, and future directions of sustainability reporting. Students will learn about regulations, frameworks, the process of data collection and report writing, and working with internal and external stakeholders, preparing students to critically assess and contribute to sustainability efforts in various industries. 4 credits",7.5,Sustainability;Sustainability Reporting,sustainability_and_policy-4,"{""sustainability"": 4, ""sustainability reporting"": 3}"
SUS-200 Sustainability Living and Leadership,"Covering multiple facets of sustainability, encouraging students to experiment and live a more sustainable lifestyle, and providing leadership training for promoting campus and community sustainability. 1 credit.",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
SUS-201 Making Change Happen,"Designed for students in the Greenbelt Community, developing and implementing action plans for sustainability related change on campus and in the Greenville area. 1 credit.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUS-125 Sustainability and Society,The grand challenge of sustainability science is to improve both the well-being of people on Earth and reduce the impact of humanity on the environment at the same time. What does “sustainable” mean? This course explores the ethical obligations and realistic challenges of achieving this goal. 4 credits.,5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
SUS-120 Principles of Sustainability Science,"Introduction to the concepts of sustainability science and the complex problems associated with sustainability. In particular students will examine the challenge of supporting nine billion people without destroying the planetary resource base, social cohesion, and integrity of the individual. Labs will cover introduction to methods in sustainability. 4 credits.",6.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 4}"
BUS-315 Human Resource Management,Human resource planning and management. Impact of internal and external forces on the organization’s human resources. Experiential exercises and cases relate theory and practice. 4 credits.,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
BUS-312 Sustainable Corporation,"Business applications of sustainable development and corporate strategies based on economic, environmental and social criteria. How the corporate world plays a central role in making progress toward sustainability. The inter-relatedness of business and natural systems, and how corporations use sustainability as a value driver. 4 credits.",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
CLS-311 Business and Entrepreneurship in Greece and Rome,"The history of economy, labor, and commerce in the ancient world. Topics include: entrepreneurship, innovation, resource management, slavery, taxation, banking, and euergetism. 4 credits",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
BIO-430 Conservation Biology,"Prerequisite: An overview of all modes of living natural resource management from the strictly utilitarian use of fisheries and wildlife, through endangered species conservation, the preservation of biodiversity, and adaptive management at the ecosystem level. The course also includes a review of U.S. environmental treaties, law, policy, and the environmental movement since 1900. Two overnight field trips to view conservation biology in action. 4 credits.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
BIO-261 Microbes and Food,"This course is to provide an overview of fundamental concepts in food microbiology, including microbial spoilage and microbial production of food, microbial control and food safety, foodborne illness and outbreaks, normal gut microbiota and diet, and risk assessment. The laboratory activities focus on basic microbiology techniques, making food with microbes, watching documentaries, and field trips. May Experience ONLY. 2 credits.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
BIO-212 Human Genetics,"Prerequisite: or A study of the molecular, cellular, physiological and population bases of human genetic disorders. Additional topics include techniques, pedigrees, risk assessment and ethics. Laboratory exercises include techniques in cytogenetics and molecular genetics, case studies and discussions. 4 credits",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
AST-250 Human Development in Contemporary Asia,"Examination of the recent rise of Asia while considering the uneven growth and development across Asia including the challenges of poverty, gender inequality, human rights, energy security and environmental degradation in the most populous region of the world. 4 credits.",4.5,Energy Security,sustainability_and_policy-4,"{""energy security"": 1}"
AST-150 China in Search of Sustainability,"Examining the social and environmental impacts of China’s “Go West Campaign” launched in 2000. Exploring how the strategy was developed, and how it has exacerbated, rather than relieved, many social schisms as well as contributed to massive environmental concerns. Taught in China, starting in the developed financial capital of Shanghai, visiting the remote minority province Guizhou, and concluding in Beijing. May Experience ONLY. 2 credits.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CHM-440 Environmental Chemistry,"Prerequisite: Advanced study of chemical processes and chemical measurements as they relate to environmental systems and environmental assessment. Topics include: risk assessment, statistical sampling, atmospheric chemistry, water/soil chemistry, toxicology, waste disposal and energy utilization. Includes environmental measurements laboratories. 4 credits.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
CHM-118 Principles of Chemistry: Theory and Applications,"Introduction to the principles of chemistry. Topics include atomic and molecular structure, chemical bonding, stoichiometry, properties of the states of matter, intermolecular forces, energetics of chemical reactions, kinetic and thermodynamic principles of chemical reactions including the laws of thermodynamics, equilibrium, acid-base chemistry, solubility, electrochemistry, and colligative properties. Emphasis on problem solving, conceptual understanding, and analytical reasoning applied in a biochemical and environmental context, including combustion reactions, renewable energy, and nuclear power. Laboratory focuses on quantitative measurements and interpretation of data. Students who have received credit for are not eligible to take this course. 4 credits.",7.5,Electrochemistry;Combustion;Renewable Energy,sustainability_and_policy-4;engineering_capabilities-2,"{""renewable energy"": 1, ""electrochemistry"": 1, ""combustion"": 1}"
"CHM-115 Kinetics, Thermodynamics and the Environment","Prerequisite: Kinetic and thermodynamic principles of chemical reactions including the laws of thermodynamics, acid-base chemistry, solubility, electrochemistry and colligative properties applied in an environmental context. Nuclear chemistry including radioactive decay, nuclear power, and the energetics of nuclear reactions. 4 credits.",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
FYW-1310 Sustainable Furman,This writing-intensive seminar will feature weekly visits to examples of sustainability in action on Furman’s campus. We will then use these weekly tours as jumping-off points for writing assignments that will allow students to explore these sustainability topics through their own writing. 4 credits.,5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
FYW-1295 Systems Thinking in Public Health and Sustainability,"Students will be introduced to the three core themes of systems thinking: conceptual modeling, network science, and complexity theory. Students will apply these themes to analyze complex socio-environmental systems in health and/or sustainability, for example by mapping interactions between factors causing or affected by obesity. Analyses will be conveyed through reports constructed via peer- and instructor-led revisions that emphasize the use of evidence and appropriate college level writing. 4 credits.",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
CSC-351 Project Management,"Prerequisite: CSC-122 Principles, tools, and techniques of software project management. Major topics include initiating projects, planning projects, executing and controlling projects, closing projects, and professional responsibilities. 4 credits.",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
COM-434 Sustainable Advocacy,Creation of various media on environmental and social justice issues that affect future generations. Students will use discussions with sustainability field experts and experiences with their natural environment to produce public advocacy campaigns. May Experience ONLY. 2 credits.,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
EES-360 Geology and Sustainability of India,"Examining the interactions between climate, geology, and population of India from an Earth Systems approach. Emphasis on landscape changes, pressures on natural resources such as air, water, soil, forest ecosystems, population growth, natural hazards, and sustainability. 4 credits.",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
"EES-355 People, Resources and Development in Tanzania","This field based course offers an interdisciplinary study of the interrelationships between people, geology, ecology, and natural resource management in Tanzania. Emphasis on issues related to livelihood security, economic development of wildlife, and coastal/marine conservation. May Experience ONLY. 2 credits.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
EES-353 Sustainable Fiji,"Examining and exploring the environmental, social, and economic sustainability of eco-tourism in Fiji. Students will visit and assess numerous eco-tourist destinations within Fiji, with a particular emphasis on understanding the impact of humans and tourism on the local natural environment and culture. May Experience ONLY. 2 credits.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
EES-330 Hydrogeology,"Prerequisite: , , or Study of the hydrologic cycle, groundwater system, principles of groundwater flow, groundwater quality, monitoring and management techniques, computer modeling techniques. 4 credits.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
EES-230 Watershed Hydrology,"Prerequisite: , , , , , or Study of the basic hydrologic concepts, the role of energy and biology in the hydrologic cycle, climate and precipitation, natural and anthropogenic inputs to water quality, and the concept of the watershed with emphasis on morphology, management and watershed functions. 4 credits.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
EES-201 Geographic Information Systems,Introduction to use of geographic information system analysis to enhance geographic pattern and relationship recognition in geo-spatial data. Data collection and data quality. Data transformation and linkages. GIS modeling. 4 credits.,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
EDU-506 Human Service Non-Profit Internship,"Prerequisite: Through a 10-12 hour per week semester-long internship in a local human services non-profit agency, students will build upon classroom experience by facilitating collaborative projects. Focused on community-centered learning and exposure to the competencies for leadership in human services non-profit agencies which include agency program planning, program evaluation, budget and finance, personal communication, human resources, boards, fund development, marketing, persuasion, volunteer and human resource management, values and ethics appropriate to non-profit professionals and advocacy. Also requires a weekly seminar allowing for reflection and integration of the knowledge, skills, and expected dispositions. 4 credits.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
FYW-1281 Corporate Sustainability,"This course will explore corporate sustainability from the business and investor points of view. Students will investigate the evolution of corporate sustainability. How corporate sustainability impacts business and investor decision-making, its merits, and its current state. Students will explore arguments and create their own through a series of guided writing assignments that will introduce them to college-level writing. 4 credits.",6.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 4}"
FYW-1278 Sustainability and Society,"An introduction to college writing through the lens of sustainability science. Readings and class topics will center on the grand challenge of improving well-being of people on the earth while reducing the impact we have on the environment. Students will practice several genres of writing through weekly assignments, and refine their writing skills through multiple revisions of a final research project. 4 credits.",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
"IDS-377 White Nights in Russia: Religion, Music and the Arts","Prerequisite: A study away course on Orthodox Christianity, Music, and the Arts in Russia. Uses iconography, architecture, and musical works as a catalyst for exploring religious and aesthetic forms and their physical contexts in St. Petersburg and Moscow. May Experience ONLY. 2 credits.",3.5,Catalyst,production-3,"{""catalyst"": 1}"
HSC-304 Environmental Health,"Prerequisite: and declared Health Sciences or Public Health major An overview of major environmental health issues, including air quality, municipal and hazardous waste, cancer and radiation, drinking water quality, wastewater, agriculture and foodborne illness, environmental justice, and susceptible populations. The use of risk assessment and toxicology as the scientific basis for policy decisions will be discussed. Exploration of emerging environmental health problems in industrialized and developing countries will be included. 4 credits.",2.0,Water Quality;Risk Assessment,technical_skills-1,"{""risk assessment"": 1, ""water quality"": 1}"
