title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
SA.685.710. Economics of Sustainable Energy. 4 Credits.,"This course introduces the economics of sustainable energy. Using a variety of graphical and analytical tools, the course introduces basic concepts and tools in the economic analysis of sustainable energy. Besides covering the basics of energy and environmental economics, the course pays particular attention to the economics of sustainable energy sources. Economics of renewable energy, energy efficiency, and nuclear power are also considered. Topics covered also include economics of positive and negative externalities, carbon pricing and markets, and other sustainable energy policies. Students learn through lectures, readings, and a number of individual and group assignments for hands-on experience.",https://e-catalogue.jhu.edu/course-descriptions/sustainable-energy-online/,4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
SA.685.725. Sustainable Energy and Economic Development. 4 Credits.,"Energy is a necessity for economic development. Without abundant and affordable energy, economies cannot power their agriculture, industry, and services. In this course, students learn about the problem of energy for economic development, with a particular emphasis on the opportunities of sustainable energy. The course introduces key trade-offs between economic development and environmental protection in energy planning. The course emphasizes the opportunities and challenges of sustainable energy with comparative analysis of experiences in key emerging economies from Brazil to China and India.",https://e-catalogue.jhu.edu/course-descriptions/sustainable-energy-online/,4.5,Environmental Protection,sustainability_and_policy-4,"{""environmental protection"": 1}"
SA.685.797. Distributed and Renewable Energy. 4 Credits.,"This course serves as an in-depth survey of distributed and renewable energy sources. Due to rapid technological advances, sustainable energy sources such as solar and wind power are increasingly competitive with fossil fuels and nuclear power. What is more, interest in distributed energy generation including rooftop solar, mini-grids, and home systems offers new opportunities for resilience and rural electrification in remote areas. These energy sources face a number of specific techno-economic, regulatory, and political challenges. Students gain detailed knowledge of distributed and renewable energy, their potential, and challenges to expanding them.",https://e-catalogue.jhu.edu/course-descriptions/sustainable-energy-online/,5.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 3}"
SA.685.858. Energy and Environmental Policy Analysis. 4 Credits.,"This course identifies the important linkages between energy and environment. It focuses on how the pollution abatement policies work and examines the use of market-based instruments. Students will analyze policy challenges in resource conservation and waste management, investigate how politics and political economy interfere with energy policy, and evaluate the role of energy policy in climate change mitigation. The use of policy tools to promote clean technology innovation in energy will be reviewed. Students will also assess trade-offs between environmental conservation and economic growth and apply principles of policy analysis to manage global environmental problems in the energy sector.",https://e-catalogue.jhu.edu/course-descriptions/sustainable-energy-online/,5.0,Energy Policy,sustainability_and_policy-4,"{""energy policy"": 2}"
SA.685.870. Systems Analysis for Sustainable Energy. 4 Credits.,"Energy systems consist of hardware, such as pipelines and power plants, and software, such as societal practices and institutions. This course introduces students to systems thinking in the field of sustainable energy. Students learn how to detect, understand, and analyze complex cause-effect relationships in the global energy system. The course covers topics such as life cycle assessment, socio-technical systems, the water-energy nexus, and integrated assessment.?",https://e-catalogue.jhu.edu/course-descriptions/sustainable-energy-online/,8.0,Life Cycle Assessment;Pipeline,delivery_and_storage-3;sustainability_and_policy-4,"{""pipeline"": 1, ""life cycle assessment"": 1}"
SA.555.106. The Politics of Saudi Arabia and the Gulf. 4 Credits.,"Today the Gulf region faces numerous challenges: generational change, information wars, climate change and the global energy transition; ongoing competition from regional powers Iran and Turkey, and a US partner less attuned to their security dilemmas. But Gulf countries also see new opportunities: in partnerships with alternative powers like Russia, India, China, old foes like Israel; and in nationalist appeals to their own publics. This course will examine these transformative global economic forces, and domestic and international political pressures in order to assess the current trajectory of the Gulf states and the implications for the United States. By taking advantage of the new scholarship on the Gulf region, and accessing new media and artistic production from the region, students will gain a deep understanding of the challenges as well as the forces for change, both from the international context and the Gulf peoples themselves.",https://e-catalogue.jhu.edu/course-descriptions/the-middle-east/,4.5,Energy Transition,sustainability_and_policy-4,"{""energy transition"": 1}"
SA.630.723. Math Review for Risk Assessment. 2 Credits.,"This course develops the basic quantitative tools that are necessary for risk analysis. It gives a review of basic mathematical concepts used in economics and risk analysis, including pre-calculus and calculus principles. It also develops tools for data management using Excel. The course therefore provides students with a ready-to-use statistical toolbox that can be used during the remainder of the program.",https://e-catalogue.jhu.edu/course-descriptions/global_risk/,1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
SA.630.724. Introduction to Statistics. 4 Credits.,"In order to understand and evaluate risk and uncertainty it is essential to have a strong command of basic statistical concepts and techniques. This course is designed to furnish students with the fundamental tools of statistical analysis, including analysis of descriptive statistics, probability distributions, statistical inference and related tests, correlation and conditional expectation. In addition to providing familiarity with statistical principles, the course will also include an introduction to basic statistical software packages, namely STATA and advanced tools in Excel. It is a required course for quantitative approaches to risk assessment.",https://e-catalogue.jhu.edu/course-descriptions/global_risk/,1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
SA.630.726. Quantitative Approaches to Risk Assessment. 4 Credits.,"The classical approach to decision theory builds on a three step iterative process: decision-makers assign probabilities to different possible outcomes, they generate welfare estimates depending upon the different outcomes (relative costs and benefits) for the decision makers involved, and they calculate the expected values of different contingencies. The process is iterative in the sense that decision-makers reassess probabilities as they gain more information (it is Bayesian), they also make assessments as they learn more about the welfare implications for other important actors (it is game-theoretical), and they learn more about their own possibilities to control events (it is causal). The purpose of this course is to introduce students to the quantitative techniques used in each stage of this process. The course begins by exploring the assignment of probabilities both on the basis of prior assumptions and using more advanced techniques (like Monte Carlo simulations). It then shows how these probabilities can be updated in a Bayesian manner as a result of new information. It looks at how these probabilities can be fed into decision making with multiple actors (through game theory). And it concludes with techniques to evaluate the overall success of the decision-making process. Students will need basic statistics and principles of economics in order to get the most out of this course. Basic skills using spreadsheets would also be of use. The course will provide introductory information about simulation modelling.",https://e-catalogue.jhu.edu/course-descriptions/global_risk/,1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
SA.554.103. Russia: The Making (and Unmaking) of a Super Power. 4 Credits.,"Russia’s full-scale invasion of Ukraine in February 2022 has upended the European security order and restructured global geopolitics and commodity markets. As of this writing, the war’s outcome is uncertain, and the endgame is debated but unknown. The unfolding tragedy has renewed interest in imperialism as an organizing principle of Russian state formation, identity, foreign policy, and economic development. The course examines tensions among these factors to analyze and explain recurring cycles in Russian history as a rising and declining empire. From this vantage point, we gain deeper perspective on Russia and Ukraine as primary protagonists in the geopolitical tensions that emerged in Europe after the USSR dissolved.The central premise of the course is that Putin’s Russia, to paraphrase Mark Twain, does not repeat but rhymes with the Tsarist and Soviet eras. The content is structured chronologically and thematically to enable comparative analysis of key events in Russian and Soviet history that have a bearing on contemporary questions. The first half of the course covers the role of empire in Russian history up to the collapse of the USSR and end of the Cold War. The second half examines the rise of Putinism, emergence of hostilities in US-Russian relations, origins of conflict over Ukraine, and consequences for energy markets and Sino-Russian relations. Thematic topics include the impact of war on Russian society and politics; the consolidation and collapse of autocratic power; the evolution and resolution of conflict in Soviet/Russian foreign relations, and the potential for political change in Russia and a negotiated endgame to the Ukraine War. The course concludes with consideration of policy options for the post-war Russia. Prerequisite(s): Students may not register for this class if they have already received credit for SA.710.724[C]",https://e-catalogue.jhu.edu/course-descriptions/europe-eurasia/,4.5,Energy Market,clean_energy_markets-4,"{""energy market"": 1}"
