title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ENGM 310 Materials Engineering 3 Credit Hour(s),"Prerequisite: CHEM 121 and First Year Engineering Gate with a score of 5 A study of the atomic and molecular structure of materials and the effects on their various properties and applications. It provides understanding of how the microstructure composition of materials can be tailored to desired mechanical, electrical, optical, magnetic, and even smart properties. Emphasis is placed on the four most common categories of engineering materials: metals, plastics, ceramics, and composites. It also provides a survey on the abundance, selection, design, manufacturing, and designation of engineering materials. Note: CHEM 121 , First Year Engineering Gate courses consistent of: MATH 131 , MATH 132 , PHYS 231 , and ENGR 110 (or ENGR 115 ) with a grade of ‘C’ or higher Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/engm/,2.5,Materials Engineering,engineering_capabilities-2,"{""materials engineering"": 1}"
ENGM 375 Thermal Fluids Design Lab 2 Credit Hour(s),"Prerequisite: PHYS 320 and ENGR 315 and ENGR 360 To reinforce key concepts of thermal-fluid sciences and introduce thermal-fluids system design. To equip students to design and carry out experiments related to thermal-fluids systems, to analyze data, and report results in a professional manner. Students learn to operate equipment such as heat exchangers, centrifugal pumps, ducts and fittings, compressors, refrigerators, valves, dampers, etc. Additionally, students are introduced to thermal-fluids systems in nature. (Formerly ENGM 325) Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/engm/,3.5,Compressors,delivery_and_storage-3,"{""compressors"": 1}"
ENGM 445 Material and Manufacturing Processing 4 Credit Hour(s),"Prerequisite: ENGM 310 To introduce the physical fundamentals of manufacturing processes; with emphasis placed on those physical principles that are common to several, apparently unrelated, processes. Students learn material selection and processes, especially for metals, plastics, ceramics, and composites. Topics include: geometric attributes of manufactured parts, service attributes of manufactured products, materials in design and manufacturing, machining and nontraditional machining processes, joining processes, surface treatments, manufacturing of semiconductor devices, manufacturing systems, and dynamics of manufacturing in a globalized economy. Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/engm/,1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
LIFC 304 Leadership Coaching 3 Credit Hour(s),"Resident Prerequisite: PSYC 101 or PSYC 210 An examination and analysis of coaching strategies that serves professional leadership concerns. Special attention will be given to leadership strategies for navigating project management, cultural awareness, inter-generational issues, and balancing work and home life. Offered: Online",https://catalog.liberty.edu/undergraduate/courses/lifc/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
WELD 101 Foundations of Welding 4 Credit Hour(s),"Prerequisite: CRFT 101 (may be taken concurrently) Foundations of Welding is a practical course combining lecture and hands-on instruction. Topics addressed include: Welding Safety, Oxyfuel Cutting, Plasma Arc Cutting, Air Carbon Arc Cutting and Gouging, Base Metal Preparation, Weld Quality, SMAW - Equipment and Setup, Shielded Metal Arc Electrodes, and SMAW - Beads and Fillet Welds. Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/weld/,4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
WELD 201 Intermediate Welding 4 Credit Hour(s),"Prerequisite: WELD 101 and CRFT 101 Intermediate Welding is a practical course combining lecture and hands-on instruction. Topics addressed include: Joint Fit Up and Alignment, SMAW Groove Welds with Backing, SMAW Open V­Groove Welds, Welding Symbols, Reading Welding Detail Drawings, Physical Characteristics and Mechanical Properties of Metals, Preheating and Postheating of Metals, GMAW and FCAW -Equipment and Filler Metals, GMAW and FCAW -Plate, GTAW -Equipment and Filler Materials. Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/weld/,5.0,Welding,delivery_and_storage-3,"{""welding"": 4}"
WELD 301 Advanced Pipe Welding 4 Credit Hour(s),"Prerequisite: WELD 201 and CRFT 101 Advanced Pipe Welding is a practical course combining lecture and hands-on instruction. Topics addressed include techniques with: GTAW: Plate, SMAW -Open-Root Pipe Welds, GMAW -Pipe, FCAW -Pipe, GTAW -Carbon Steel Pipe, GTAW -Low Alloy and Stainless Pipe, and SMAW: Stainless Steel Groove Welds. Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/weld/,4.0,Welding,delivery_and_storage-3,"{""welding"": 2}"
WELD 401 Advanced Topics in Welding: Aluminum 4 Credit Hour(s),"Prerequisite: WELD 301 and CRFT 101 Advanced Topics in Welding: Aluminum is a practical course combining lecture and hands-on instruction. Topics addressed include techniques with: GMAW -Aluminum Plate, GTAW -Aluminum Plate, GTAW -Aluminum Pipe, GMAW -Aluminum Pipe. Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/weld/,4.0,Welding,delivery_and_storage-3,"{""welding"": 2}"
ENGI 383 Project Management and Systems Engineering 3 Credit Hour(s),"Prerequisite: Computer Engineering Gate Req with a score of 5 or Electrical Engineerng Gate Req with a score of 5 or Indust Sys Engineer Gate Req with a score of 5 or Mechanical Engineer Gate Req with a score of 5 or Civil Engineering Gate Req with a score of 5 Topics covered include development approaches for project management, information on tailoring the approach and processes, tools and techniques, for project management, discussion of project outcomes in addition to deliverables, systems engineering integration, systems lifecycle concepts, models and processes, lifecycle analyses and methods, tailoring and applications considerations, systems engineering case studies. Registration Restrictions: Chair approval, Junior/Senior Status Offered: Resident",https://catalog.liberty.edu/undergraduate/courses/engi/,5.0,Systems Engineering;Project Management,engineering_capabilities-2,"{""project management"": 3, ""systems engineering"": 3}"
ENGI 461 Engineering Technology Capstone I 3 Credit Hour(s),"Capstone (part 1) emphasizes the planning and project management process, from inception to completion. In addition to technical design, factors such as safety, economics and ethical and societal implications are considered. Registration Restrictions: ENGI 461 and ENGI 462 must be taken sequentially in the student's last year of enrollment. Offered: Online",https://catalog.liberty.edu/undergraduate/courses/engi/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
