title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
PHYS-UA 123 Quantum Mechanics I (3 Credits),"Topics include: foundational experiments; wave-particle duality; wave functions; the uncertainty principle; the time-independent Schrödinger equation and its applications to one-dimensional problems and the hydrogen atom; angular momentum; spin; Hilbert Space, operators, and observables; time independent perturbation theory; atomic spectra.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/phys-ua/,5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
POL-UA 332 Civil Liberties (4 Credits),"Offered every semester. 4 points. Interpretation of the Bill of Rights, the Civil War amendments, and other rights in the U.S. Constitution through the reading of Supreme Court opinions. Topics include freedom of speech and press; free exercise of religion and separation of church and state; the right of privacy; rights of the criminally accused; equal protection of the law against race, gender, and other discrimination; and the rights of franchise and citizenship. Cases are read and discussed closely for their legal and philosophical content.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/pol-ua/,3.5,CCUS,production-3,"{""ccus"": 1}"
"SOC-UA 9690 Current Social, Political and Urban Challenges to European Cities (4 Credits)","An introduction to urban societies and politics in Europe. Designed to provide students with practical and theoretical tools to understand and critically analyze European cities. Looks closely at the social, political and urban challenges these cities are currently facing. Urban concepts, as well as pertinent theories in the field, will be studied in order to better comprehend the ever-changing urban fabric of metropolitan areas across Europe. Pays special attention to Madrid and how this city is responding to issues such as gentrification, social exclusion, immigration, racial and spatial segregation, political participation and social movements, public spaces, creative industries, environmental policies, sustainability and local economic development. Specific case studies will provide concrete examples of conflicts around urban space and both participatory and bottom-up initiatives.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/soc-ua/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SPAN-UA 307 Narrar lo precario (4 Credits),"""In Spanish. En el contexto de creciente desigualdad social y de nuevas formas de lucha política, la noción de “precariedad indica un núcleo de la imaginación cultural de las últimas décadas en América Latina. Reflexiones culturales sobre el trabajo, violencia de género y racial, migración y deterioro ambiental parecen articularse alrededor de una pregnancia de la “vida precaria” como terreno sobre el que tienen lugar muchas de nuestras experiencias, nuestras sensibilidades y nuestras luchas colectivas. Esta centralidad de lo precario, sin embargo, nos enfrenta a un desafío nuevo: ¿cómo narrar una condición precaria que desarma toda idea estable de progreso, de continuidad y de futuro? ¿Qué pasa con los poderes y las posibilidades de la narración allí donde la imaginación del futuro (individual, social, planetario) aparece bajo el signo del riesgo, de la indeterminación, de la inseguridad? ¿Cómo se narra allí donde la supervivencia misma está en juego? El presente curso quiere investigar estas preguntas a partir de una serie de materiales culturales producidos en América Latina en las últimas tres décadas. Trabajando materiales literarios y cinematográficos junto a discusiones teóricas e intervenciones desde el activismo, el curso quiere explorar las formas de narración, las retóricas de futuridad, la centralidad de la vulnerabilidad corporal y los modos de alianza colectiva que se juegan alrededor de la condición precaria que parece caracterizar nuestra época. Entre los materiales de análisis y discusión se encuentran textos de Samantha Schweblin, Roberto Bolaño, Selva Almada, Diego Zúñiga, y editoriales cartoneras, junto a films de Patricio Guzman, Eduardo Coutinho, Naomi Klein y Laura Citarella. Vamos a incluir también intervenciones teóricas de Judith Butler, Ignacio Lewcowicz y el colectivo NiUnaMenos, entre otrxs.""",https://bulletins.nyu.edu/undergraduate/arts-science/courses/span-ua/,4.5,ESG,sustainability_and_policy-4,"{""esg"": 1}"
MATH-UA 328 Honors Analysis I (4 Credits),"This is an introduction to the rigorous treatment of the foundations of real analysis in one variable. It is based entirely on proofs. Students are expected to know what a mathematical proof is and are also expected to be able to read a proof before taking this class. Topics include: properties of the real number system, sequences, continuous functions, topology of the real line, compactness, derivatives, the Riemann integral, sequences of functions, uniform convergence, infinite series and Fourier series. Additional topics may include: Lebesgue measure and integral on the real line, metric spaces, and analysis on metric spaces.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/math-ua/,4.5,ESG,sustainability_and_policy-4,"{""esg"": 1}"
MATH-UA 329 Honors Analysis II (4 Credits),"Prerequisites: a grade of C or better in Honors Analysis I ( MATH-UA 328 ), or a grade of A in Analysis ( MATH-UA 325 ) and permission of instructor. Continuation of Honors Analysis I ( MATH-UA 328 ). Topics include: metric spaces, differentiation of functions of several real variables, the implicit and inverse function theorems, Riemann integral on R^n, Lebesgue measure on R^n, the Lebesgue integral.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/math-ua/,5.0,ESG,sustainability_and_policy-4,"{""esg"": 2}"
SCA-UA 632 Climate Change and Environmental Justice (4 Credits),"Readings from climatologists, economists, anthropologists, geographers, cultural analysts, and activists. Examines the natural and social impact of global warming in the context of the climate justice movement, which is modeled on American-derived principles of environmental justice in the 1990s and poses a legal and humanitarian challenge to those who place their faith in market-driven solutions. Examines how populations are unevenly affected by climate change, and how this imbalance is being addressed by advocates of decarbonization.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/sca-ua/,4.5,Decarbonization,sustainability_and_policy-4,"{""decarbonization"": 1}"
SCA-UA 9120 Grammy's Afrobeats & Hiplife: African Contemporary Music (4 Credits),"With active recording artists as class guests, and visits to selected recording studios, the class explores how multiple artists and musical forms from different continents have continued to influence African popular music. This course starts with a deep dive into the history of recorded music and leads to the current explosion of afrobeats in this region. From Fela to Davido, Shatta Wale, Burna Boy, Wizkid, Stoweboy, Wanlov, Fokn Bois, Becca Rema, and more. Classes will be enriched with excursions to recording studios and special events such as a possible masterclass with Universal Music Group on the business of selling African music to the world.The utility of music as an artistic tool of social expression and liberation within the African space is interrogated. With special attention to West Africa and Ghana, latest genres such as Afro beat and their impact on the modern African music scene; as well as the trends, challenges and opportunities presented by technology in the music evolutionary process are critically examined.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/sca-ua/,1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
MEDI-UA 121 The Renaissance (4 Credits),"The history of the Renaissance from its origins in the 14th century to its waning at the end of the 16th century. Focuses on developments in Italy, especially the development of republican city-states, the social basis for the explosion in artistic and intellectual production, and the emergence of new forms of political and scientific analysis.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/medi-ua/,1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
"SCA-UA 9890 Current Social, Political and Urban Challenges to European Cities (4 Credits)","An introduction to urban societies and politics in Europe. Designed to provide students with practical and theoretical tools to understand and critically analyze European cities. Looks closely at the social, political and urban challenges these cities are currently facing. Urban concepts, as well as pertinent theories in the field, will be studied in order to better comprehend the ever-changing urban fabric of metropolitan areas across Europe. Pays special attention to Madrid and how this city is responding to issues such as gentrification, social exclusion, immigration, racial and spatial segregation, political participation and social movements, public spaces, creative industries, environmental policies, sustainability and local economic development. Specific case studies will provide concrete examples of conflicts around urban space and both participatory and bottom-up initiatives.",https://bulletins.nyu.edu/undergraduate/arts-science/courses/sca-ua/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
