title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
EXS 201 — Exercise Cardiorespiratory Physiology (3 units),"Course Description: Advanced course on integrated responses of the cardiovascular and respiratory systems to exercise. Includes hemodynamic, neurohormonal, and autonomic aspects of cardiac and vascular function, principles of myocardial metabolism, and mechanisms underlying changes in pulmonary function and gas transport.",https://catalog.ucdavis.edu/courses-subject-code/exs/,3.5,Gas Transport,delivery_and_storage-3,"{""gas transport"": 1}"
ENV 202 — Policy Development & Implementation (4 units),"Course Description: Environmental policy development and implementation processes: developing and enacting legislation, regulation development and review, and implementation of new laws. California state processes. Local, federal, and international policy. Business’ role in climate policy. Theory, applied study, discussion with guest experts, and practical skills such as how to write for a policy audience.",https://catalog.ucdavis.edu/courses-subject-code/env/,4.5,Climate Policy,sustainability_and_policy-4,"{""climate policy"": 1}"
ENV 203P — Policy Clinic Prep Seminar (1 unit),"Course Description: Introductions to project management, conflict resolution and team building. Review and selection of project proposals and draft scope of work.",https://catalog.ucdavis.edu/courses-subject-code/env/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ESM 008 — Water Quality at Risk (3 units),"Course Description: Natural and human threats to water quality. Balance of science and policy in all aspects of attaining, maintaining, and managing water quality, water contamination. Decoding popular media coverage of water quality and water contamination.",https://catalog.ucdavis.edu/courses-subject-code/esm/,3.0,Water Quality,technical_skills-1,"{""water quality"": 4}"
ESM 100 — Principles of Hydrologic Science (4 units),"This version has ended; see updated course, below. Course Description: Topics include hydrology (surface and ground water), hydraulic flow through porous media, water in the soil-plant-atmosphere continuum, water quality, flow through open channels, and representative water-resource problems.",https://catalog.ucdavis.edu/courses-subject-code/esm/,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
ESM 110 — Irrigation Systems & Water Management (4 units),"Course Description: Soil and plant aspects of irrigation and drainage. Soil-water principles including water storage and movement, plant response to irrigation, water use by crops, irrigation systems (i.e., micro-irrigation, sprinkler irrigation and surface irrigation), and related salinity and water quality impacts.",https://catalog.ucdavis.edu/courses-subject-code/esm/,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
EPI 223 — Spatial Epidemiology (3 units),Course Description: Geographic Information Systems (GIS) and spatial statistics. Students are expected to complete a term project based on their graduate research.,https://catalog.ucdavis.edu/courses-subject-code/epi/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
EPI 229 — Geographic Information Systems for Health Professionals (4 units),"Course Description: Emphasis on basic geographic and data management principles. Focus on software proficiency in application to analyzing/solving health-related problems. For graduate and professional students in epidemiology, public health, preventive veterinary medicine, health informatics with interest in spatial techniques in research.",https://catalog.ucdavis.edu/courses-subject-code/epi/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
ESM 141 — Role of Fire in Natural Ecosystems (4 units),"Course Description: Fire regimes and roles in major North American vegetation types, especially in the west. Physics of fire, fire effects on organisms and ecosystem functioning, reconstructing fire histories, fire in resource management, and fire use by indigenous people.",https://catalog.ucdavis.edu/courses-subject-code/esm/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
ESM 195 — Integrating Environmental Science & Management (2 units),"Course Description: Practical aspects of environmental improvement through integrated analyses of contemporary issues or problems associated with advocacy, regulation, science and resource management from the perspectives of the physical and ecological sciences and current policy/management.",https://catalog.ucdavis.edu/courses-subject-code/esm/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
ETX 101 — Principles of Environmental Toxicology (4 units),"Course Description: Principles of toxicology with a focus on environmental, industrial, and natural chemicals. Topics include fate and effects of chemicals in organisms and the environment, air pollutants, insecticides, aquatic toxicology, endocrine disruptors, biomarkers and bioassays, and risk assessment.",https://catalog.ucdavis.edu/courses-subject-code/etx/,1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
