title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
XESPM 50AC Introduction to Culture and Natural Resource Management 4 Units,"Terms offered: Fall 2025, Fall 2024, Fall 2023 An introduction to how culture affects the way we use and manage fire, wildland and urban forests, rangelands, parks and preserves, and croplands in America. The basic concepts and tools for evaluating the role of culture in resource use and management are introduced and used to examine the experience of American cultural groups in the development and management of western natural resources.",https://guide.berkeley.edu/courses/fpf/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
EECS 151 Introduction to Digital Design and Integrated Circuits 3 Units,"Terms offered: Fall 2025, Spring 2025, Fall 2024 An introduction to digital and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher-levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs and projects. The class has two lab options: ASIC Lab ( EECS 151LA ) and FPGA Lab ( EECS 151LB ). Students must enroll in at least one of the labs concurrently with the class.",https://guide.berkeley.edu/courses/eecs/,1.5,Automation,technical_skills-1,"{""automation"": 1}"
EECS 251A Introduction to Digital Design and Integrated Circuits 3 Units,"Terms offered: Fall 2025, Spring 2025, Fall 2024 An introduction to digital circuit and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs, and projects.",https://guide.berkeley.edu/courses/eecs/,1.5,Automation,technical_skills-1,"{""automation"": 1}"
RDEV 200 Construction and Development Project Management 3 Units,"Terms offered: Fall 2020 Introduction to materials, means, methods and vocabulary of construction and sustainable building systems. Structural materials, building envelope, costs, labor conditions, conventional practices, and key regulatory factors shaping project design. Practical understanding of reading construction drawings, construction sequencing, building materials, building systems, building code and legal documents. Relationship between feasibility, budget, design, function and ri sk.",https://guide.berkeley.edu/courses/rdev/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
"RDEV 209 Integrated Development, Architecture + Urbanism for Real Estate 4 Units","Terms offered: Prior to 2007 This course interrogates how development forces produce our streets, neighborhoods, towns, cities and metropolitan regions. It is focused on a critical understanding of development practices and their impact on urban form as well as the social, economic, cultural and environmental nature of cities, exploring these topics through a review of selected Case Studies. The course includes invited presentations from development, design, and planning industry professionals. This course will investigate how Development, Architecture and Urbanism are intertwined, contending that cities are our most sustainable resource, holding the key to our social, economic, and culturally equitable future, as well as our planet’s environmental stewardship.",https://guide.berkeley.edu/courses/rdev/,4.5,Environmental Stewardship,sustainability_and_policy-4,"{""environmental stewardship"": 1}"
PUB AFF 265 Financial Management and Budgeting 1 Unit,"Terms offered: Summer 2021 Second 6 Week Session, Summer 2020 Second 6 Week Session This course discusses methods for making organizations perform with an emphasis on managerial and financial accounting. Procurement, quality assurance, and performance evaluations of employees are also discussed. Managerial accounting is a set of tools used by managers for planning, implementation, and control. Financial accounting is a set of tools used by managers and outside observers for reporting on and analyzing an organization’s financial health.",https://guide.berkeley.edu/courses/pubaff/,1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
NEU 210B Neuroscience Career Skills 1 Unit,"Terms offered: Spring 2025 Professional core competency training for graduate students involved in neuroscience research at Berkeley. Includes training in giving scientific presentations, scientific writing, and project management.",https://guide.berkeley.edu/courses/neu/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
L & S C70V Descriptive Introduction to Physics 3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023, Fall 2022, Spring 2022 The most interesting and important topics in physics, stressing conceptual understanding rather than math, with applications to current events. Topics covered may vary and may include energy and conservation, radioactivity, nuclear physics, the Theory of Relativity, lasers, explosions, earthquakes, superconductors, and quantum physics.",https://guide.berkeley.edu/courses/l_s/,1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
MATH 105 Second Course in Analysis 4 Units,"Terms offered: Spring 2025, Spring 2024, Spring 2023 Differential calculus in Rn: the derivative as a linear map; the chain rule; inverse and implicit function theorems. Lebesgue integration on the line; comparison of Lebesgue and Riemann integrals. Convergence theorems. Fourier series, L2 theory. Fubini's theorem, change of variable.",https://guide.berkeley.edu/courses/math/,5.0,ESG,sustainability_and_policy-4,"{""esg"": 2}"
MATH 202A Introduction to Topology and Analysis 4 Units,"Terms offered: Fall 2025, Fall 2024, Fall 2023 Metric spaces and general topological spaces. Compactness and connectedness. Characterization of compact metric spaces. Theorems of Tychonoff, Urysohn, Tietze. Complete spaces and the Baire category theorem. Function spaces; Arzela-Ascoli and Stone-Weierstrass theorems. Partitions of unity. Locally compact spaces; one-point compactification. Introduction to measure and integration. Sigma algebras of sets. Measures and outer measures. Lebesgue measure on the line and Rn. Construction of the integral. Dominated convergence theorem.",https://guide.berkeley.edu/courses/math/,4.5,ESG,sustainability_and_policy-4,"{""esg"": 1}"
GLOBAL 122L Latin American Development 4 Units,"Terms offered: Prior to 2007 This course considers issues of Global Development within Latin America . Students will explore a variety of topics, depending on current research and/or the instructor. Issues that this course might consider include, but are not limited to: poverty and inequality, environmental conditions and sustainability, as well as migration.",https://guide.berkeley.edu/courses/global/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
GLOBAL 123L Perspectives For Sustainable Rural Development 4 Units,"Terms offered: Fall 2025, Fall 2024, Fall 2023 This course analyzes the ecological, socio-economic and policy challenges and opportunities facing the rural population of Latin America in today’s globalized economy. After a critique of the impacts of conventional, agro-export development models of agricultural development (green revolution, non-traditional export crops, biotechnology, biofuels, etc.) the elements of a sustainable agroecological development path are discussed, a path that emphasizes: farmers empowerment, local production for food sovereignty, poverty reduction, cultural identity and natural resource and biodiversity conservation. Technical, institutional, policy and market requirements for sustainable agriculture are also analyzed in detail.",https://guide.berkeley.edu/courses/global/,3.5,Biofuels,use-3,"{""biofuels"": 1}"
DATASCI 205 Fundamentals of Data Engineering 3 Units,"Terms offered: Summer 2025, Spring 2025, Fall 2024 Storing, managing, and processing datasets are foundational processes in data science. This course introduces the fundamental knowledge and skills of data engineering that are required to be effective as a data scientist. This course focuses on the basics of data pipelines, data pipeline flows and associated business use cases, and how organizations derive value from data and data engineering. As these fundamentals of data engineering are introduced , learners will interact with data and data processes at various stages in the pipeline, understand key data engineering tools and platforms, and use and connect critical technologies through which one can construct storage and processing architectures that underpin data science applications.",https://guide.berkeley.edu/courses/datasci/,4.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 3}"
