title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
DSGN 2050 Graphic Design Practicum,"Practicum provides a real world experience for students interested in solving design problems for non-profit and community organizations. The studio works with two clients each semester, and previous projects have included print design, web design, interpretive signage and exhibit interactives. All projects are real and will result in portfolio-ready finished product. Students will participate in full design experience including design, client interaction, presentations, production and project management. In addition, students will take field trips, meet professionals and go on studio visits. Fall or Spring Mutually Exclusive: DSGN 5013 Prerequisite: DSGN 1040 1 Course Unit",https://catalog.upenn.edu/courses/dsgn/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
DSGN 2530 Functions for Form and Material,"This studio course will introduce methods of material selection and fabrication with the goal of developing evocative and effective designs. We will learn parametric modeling techniques that allow visualization to begin before all the requirements of design are known. We will implement techniques that allow us to structurally test and optimize forms to be stronger, lighter, to fail more predictably, or to function efficiently. The class will work identity to materials with properties that introduce new structural or conceptual possibilities for our designs. For each project, we will use a broad range or fabrication techniques for metals, natural and syntheic materials. The goal of this course is to develop a creative approach towards learning to work with unfamiliar tools and materials. 1 Course Unit",https://catalog.upenn.edu/courses/dsgn/,1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
"DSGN 3250 MATTERS: Connecting Arts + Design to Materials, and Materials to Labor + Land","How does matter transform into material, and back again? What hidden labor, sites, social and ecological costs and processes go into the production of a “blank” canvas and other “raw” materials? And why-- for artists, designers, architects, preservationists, creative educators, builders, and anyone working with materials-- do these realities matter? This course connects arts and design learners to considerations, sites, and cycles around production and disposal of the defining materials of their creative fields (ex. paper, wood, glass, pigment, ""the internet""), laying groundwork for creative practice rooted in social and ecological awareness, repair and care. A hybrid research seminar, field exploration, and studio investigation, the structure of this course alternates between reading/response/research, field trips and guest visitors (including a partnership affiliation with RAIR Philly), and time for responsive “making” and material experimentation/synthesis. In this course, students will collaboratively define key terms and concerns around material sustainability, discard studies, land and labor relations vis-a-vis creative work. Students will experience local sites of material extraction, production and disposal (through approx 5 field trips taking place during class time). Students will formulate individual or group questions around a specific material, leading to a final independent project, and class exhibition. This course will engage students in forming a material ethics to guide future creative work. Also Offered As: FNAR 3250 1 Course Unit",https://catalog.upenn.edu/courses/dsgn/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
DSGN 5013 Graphic Design Practicum,"Practicum provides a real world experience for students interested in solving design problems for non-profit and community organizations. The studio works with two clients each semester, and previous projects have included print design, web design, interpretive signage and exhibit interactives. All projects are real and will result in a portfolio-ready finished product. Students will particpate in a full design experience including design, client interaction, prsentations, production, and project management. In addition, students will take field trips, meet professionals and go on studio visits. Fall or Spring Mutually Exclusive: DSGN 2050 Prerequisite: DSGN 1020 OR OR DSGN 2010 1 Course Unit",https://catalog.upenn.edu/courses/dsgn/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
DSGN 5019 Functions for Form and Material,"This studio course will introduce methods of material selection and fabrication with the goal of developing evocative and effective designs. We will learn parametric modeling techniques that allow visulization to begin before all the requirements of a design are known. We will implement techniques that allow us to structurally test and optimize forms to be stronger, lighter, to fail more predictably, or to function efficiently. The class will work to identify materials with properties that introduce new structural or conceptual possibilities for our designs. For each project, we will use a broad range of fabrication techniques for metals, natural and synthetic materials. The goal of the course is to develop a creative approach towards learning to work with unfamiliar tools and materials. Spring 1 Course Unit",https://catalog.upenn.edu/courses/dsgn/,1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
"DSGN 5250 MATTERS: Connecting Arts + Design to Materials, and Materials to Labor + Land","How does matter transform into material, and back again? What hidden labor, sites, social and ecological costs and processes go into the production of a “blank” canvas and other “raw” materials? And why-- for artists, designers, architects, preservationists, creative educators, builders, and anyone working with materials-- do these realities matter? This course connects arts and design learners to considerations, sites, and cycles around production and disposal of the defining materials of their creative fields (ex. paper, wood, glass, pigment, ""the internet""), laying groundwork for creative practice rooted in social and ecological awareness, repair and care. A hybrid research seminar, field exploration, and studio investigation, the structure of this course alternates between reading/response/research, field trips and guest visitors (including a partnership affiliation with RAIR Philly), and time for responsive “making” and material experimentation/synthesis. In this course, students will collaboratively define key terms and concerns around material sustainability, discard studies, land and labor relations vis-a-vis creative work. Students will experience local sites of material extraction, production and disposal (through approx 5 field trips taking place during class time). Students will formulate individual or group questions around a specific material, leading to a final independent project, and class exhibition. This course will engage students in forming a material ethics to guide future creative work. 1 Course Unit",https://catalog.upenn.edu/courses/dsgn/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
VLST 2390 Virtual Reality for Artists,"With rapid developments in virtual reality technology, artists have new opportunities to exhibit work at any scale, create interactive and immersive experiences, and bridge distances between makers and viewers. This course will focus on creating art for virtual (and augmented) reality, and learning about the development of VR as a medium and how it is being utilized by contemporary artists. Students will create virtual exhibition spaces for images, videos, sculptures, and develop interactive work that can only exist in Virtual Reality. We will also develop 3D sculptures for augmented reality. We will develop our camera and editing skills for making still and video-based VR media and learn the fundamentals of 3D Modeling in Blender. We will also develop advanced skills in Adobe Photoshop,Premier, and Rhino3d. Readings in this course will cover contemporary topics in VR and consider pre-VR immersive mediums such as Panorama painting and stereographic photography. Fall 1 Course Unit",https://catalog.upenn.edu/courses/vlst/,1.5,Virtual Reality Technology,technical_skills-1,"{""virtual reality technology"": 1}"
DENT 5032 Foundation Sciences Iv,"This seriesof lectures will present relevant and important diseases and their treatments. We will explore the mechanisms used by bacteria to infect cells and present two major classes of bacteria, the Streptococcus and Staphylococcus. Wewill introduce odontogenic infections important to the oral cavity. Gastrointestinal infections, sexually transmitted diseases, tuberculosis and bacterial endocarditis will also be presented. There will be an introduction to antibiotics.This will be followed by a set of lectures on viruses with oral manifestations.These will include herpes, hepatitis, influenza, rhino, coxsackie, measles, mumps, rubella viruses and treatments using antiviral drugs. Highlighted will be HIV and opportunistic infections of AIDS. Next, fungal infections and treatmentswill be presented. Finally, infection control in dentistry will be featured. 0-6.5 Credit Hours",https://catalog.upenn.edu/courses/dent/,4.0,CCUS,production-3,"{""ccus"": 2}"
"VIPR 1200 Vagelos Integrated Program in Energy Research (VIPER) Seminar, Part I","This is the first part of the two-semester seminar designed to introduce students to the VIPER program and help them prepare for energy-related research. During this course, invited speakers from across Penn will share their research to introduce students to a breadth of different topics within energy science, and research articles on various energy-related topics will be discussed. Students will be provided guidance on how to identify research groups of interest and reach out to faculty members in preparation for their research projects during the summer. Library research, presentation of data, basic research methods, research ethics, data analysis, and advisor identification will also be discussed. Students will develop their scientific research skills by reviewing scientific literature and synthesizing their findings, and they will build their collaboration skills by regularly working together in small, interactive student groups. Sample energy topics discussed will include: Applications of nanostructured materials in solar cells; Solid oxide fuel cells; Global climate modeling: radiant heat transfer; Nanocrystal-based technologies for energy storage; Photo-bioreactor systems for mass production of micro-algae; Advanced rare earths separations chemistry; Modeling of oxides for solar energy applications; and Electronic transport in carbon nanomaterials. Admission to VIPER program required to enroll. Spring 0.5 Course Units",https://catalog.upenn.edu/courses/vipr/,8.5,Solid Oxide;Fuel Cell;Heat Transfer,use-3;technical_skills-1;production-3,"{""solid oxide"": 1, ""fuel cell"": 1, ""heat transfer"": 1}"
DENT 5870 Introduction to Caries Risk Assessment,"This course provides students with GRD experience in order to gain additional knowledge, skills and values to develop competency in caries risk assessment. Classes are scheduled for the summer for the incoming second year and include the following topics: risk assessment for caries, health promotion care, and Axium. Students will be completing caries risk assessment in the simulation lab and record the completion of procedures in Axium using appropriate codes to document completion of required activities. 0.5 Credit Hours",https://catalog.upenn.edu/courses/dent/,3.0,Risk Assessment,technical_skills-1,"{""risk assessment"": 4}"
DENT 5882 Dental Materials,"The course is divided into two segments. The first segment teaches the principles of materials science. The second segment is designed to present topics in applied dental materials as students use these materials in General Restorative Dentsitry (GRD). After successful completion, the student should understand how the basic principles aid in material selection, risk/benefit assessment, restoration design, patient information and evaluation of new materials and manufactuer's claims. 0.25-3 Credit Hours",https://catalog.upenn.edu/courses/dent/,4.0,Material Selection;Materials Science,technical_skills-1;engineering_capabilities-2,"{""materials science"": 1, ""material selection"": 1}"
DENT 6811 Operative Dentistry II,"This course will give a continuation of the D1 course dealing with the whole patient and the surgical and non-surgical treatment of the dental hard tissues. It builds on the foundation knowledge and experience from 1, exposing students to more complex cases. Both the classical and contemporary preparations of restorative dentistry are presented. Student will prepare for the patient care program by reviewing updates in cardiology, caries diagnosis; caries risk assessment, CAD/CAM and homecare procedures being reinforced in a simulated patient setting. All laboratory procedures will be “cased based” using a patient scenario. This training will take place in a simulation environment that develops good “clinical” habits and integrates “patient” data into the daily treatment. The course will also introduce the D2 student to the clinic Electronic Health Record (HER) using these same patient scenarios. The course finally transitions students to active patients care in the clinic. As a result of the emphasis on this “case-based approach” students will enhance their treatment planning skills by creating a complete EHR for reach of their assigned ‘patients.’ All records will be reviewed by faculty. Students will be encouraged to consult with their colleagues, and research needed information for input into all elements of treatment planning. This will also ensure a smoother transition to their clinic performance, clinic requirements, and to the electronic record system. Faculty feedback and mentoring will include the assembled patient records, and how they meet professional standards. 1.25-5 Credit Hours",https://catalog.upenn.edu/courses/dent/,1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
DENT 7102 Health Promotion II Spring,"This course provides students with both seminars and clinical experiences in order to gain additional knowledge, skills and values to develop competency in health promotion activities. Seminars are scheduled throughout the third year and include the following topics: risk assessment for caries, periodontal diseases and oral cancer; customized oral health promotion plans to address risks and promote health; health promotion care with dentures and implants; modifying health promotion for patients with physical, developmental and emotional disabilities. Discussions also focus on communication to meet the different social and cultural needs of patients. Clinical experiences in the Primary Care Units and Community Clinics provide students with opportunities to develop skills and competencies related to health promotion. Oral health promotional activities are an integral part of the care students provide with their patients. Students complete a Caries and Periodontal Risk Assessment with each patient and provide customized oral health promotional services periodically throughout treatment. Students provide fluoride treatments, tobacco counseling and nutritional counseling as appropriate for their patients. In addition, edentulous patients receive special advice regarding mouth care, denture care and oral cancer self-examination procedures. Students must record the completion of health promotion procedures in Axium using appropriate codes to document completion of required clinical activities. In addition, students must record the completion of appropriate health promotion activities on the clinical charts. Spring 0.25-2 Credit Hours",https://catalog.upenn.edu/courses/dent/,2.0,Risk Assessment,technical_skills-1,"{""risk assessment"": 2}"
