title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"['INTER-AG\xa0117', '— GREENHOUSE ROOTS SEMINAR']","Challenges Greenhouse residents to think deeply about themselves and their place in the social and biophysical communities of which they are a part. Reflect on the meaning(s) of ""sustainability"" and consider how lifestyle and career choices impact other people and the environment. Discover the deep history of sustainability in Wisconsin and learn more about current sustainability initiatives on the UW-Madison campus and in the greater Madison Area. Introduces resources, skills, and knowledge that support a successful transition to college.",https://guide.wisc.edu/courses/inter_ag/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['INTEGSCI\xa0100', '— EXPLORING BIOLOGY']","A first-year course focused on the core concepts in biology (evolution; transformation of energy and matter; information exchange and storage; structure and function; systems biology), professions in biology, and the foundational skills and knowledge needed for successful academic and post-graduate careers in biology.",https://guide.wisc.edu/courses/integsci/,3.5,Ion Exchange,production-3,"{""ion exchange"": 1}"
"['INTEGSCI\xa0140', '— EXPLORING SERVICE IN STEM']","A discussion-based seminar introducing first-year STEM students to the world of public service from the perspective of both the university and its community partners. Classroom activities and direct campus and off-campus experiences are included. Service opportunities include STEM outreach, sustainability, and public health. Involves approximately 1 hour per week of public service.",https://guide.wisc.edu/courses/integsci/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['INTEREGR\xa0170', '— DESIGN PRACTICUM']","Introduction to design via the invention, fabrication and testing of a device that solves a problem proposed by a real world client. Information retrieval techniques, specification writing, methods for enhancing creativity, analysis techniques, scheduling, selection methodologies, cost estimating, sustainability in design, shop safety, engineering ethics, opportunities for engineering students (ie, study abroad, internships, co-ops), major exploration, fabrication equipment and techniques, and oral and written communication.",https://guide.wisc.edu/courses/interegr/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['ILS/\u200bENVIR\xa0ST\xa0\xa0126', '— PRINCIPLES OF ENVIRONMENTAL SCIENCE']","Relates principles of environmental science to our daily activities, with an eye to sustainability, conservation, and systems thinking. Introduces science as a process of inquiry and discovery rather than just a pre-established set of facts. Topics relate to energy, water, and land use, and include food, electric power, materials, buildings, transportation, and waste.",https://guide.wisc.edu/courses/ils/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['ILS/\u200bENVIR\xa0ST\xa0\xa0255', '— INTRODUCTION TO SUSTAINABILITY SCIENCE']","Explore the foundations of sustainability using the UW-Madison campus as a living laboratory. Ground your feet on the UW-Madison campus and ask questions about the energy we use, the food we eat, the air we breathe, the land we occupy, the goods we purchase, and the waste we create. A blend of environmental sciences and studies. Use principles of chemistry, physics, and biology to understand the dynamics of our human and earth systems, but also explore societal issues like public health and social justice, all through the context of sustainability and the UW-Madison campus community.",https://guide.wisc.edu/courses/ils/,5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
"['INFO\xa0SYS\xa0723', '— TEXT ANALYTICS AND BUSINESS APPLICATION']","An introduction to text mining and natural language processing for business applications. Provides an overview of text data and steps to make it usable and approaches for making text data useful in descriptive and predictive analytics applications. Topics include representation approaches, topic modeling, and an overview of key applications of natural language processing, such as chatbots and recommender systems.",https://guide.wisc.edu/courses/info_sys/,1.5,Predictive Analytics,technical_skills-1,"{""predictive analytics"": 1}"
"['HORT/\u200bSOIL\xa0SCI\xa0\xa0332', '— TURFGRASS NUTRIENT AND WATER MANAGEMENT']",Nutrient requirements of turfgrasses; nature of turfgrass response to fertilization; soil and tissue testing methodology and interpretation; irrigation scheduling; irrigation water quality; use of irrigation and fertilizer to minimize environmental impact; writing effective nutrient management plans.,https://guide.wisc.edu/courses/hort/,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
"['HORT\xa0333', '— SURVEY OF CONTROLLED ENVIRONMENT FOOD PRODUCTION']","Survey of the basic principles and concepts of the biology of plants and their application to cultivation of food crops in controlled environments. Integrates topics including: organic systems, sustainability, urban agriculture, and socioecological factors.",https://guide.wisc.edu/courses/hort/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['I\xa0SY\xa0E\xa0320', '— SIMULATION AND PROBABILISTIC MODELING']","Analysis of stochastic systems using both analytic methods and computer simulation. Empirical and theoretical models of arrival and service processes. State spaces and state transition probabilities. Simulation of queuing and manufacturing systems. Continuous time Markov analysis of manufacturing systems. Simulation project management, testing and emerging trends.",https://guide.wisc.edu/courses/i_sy_e/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
