title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
R_M 4141 - Outdoor Recreation Policy Development (2),"This is a field course in Washington, D.C. designed to acquaint the student with the process of developing outdoor recreation and natural resource policies at the federal level. Congressional offices, federal natural resource management agencies, and non-profit conservation agencies will be visited and analyzed with respect to policy formulation, lobbying and the legislative process.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
R_M 3630 - Interpretive Methods (3),"This course consists of an overview of the role of interpretation in educating the public, contributing to the leisure experience, and as a component of natural and cultural resource management. Applications of communications, educational, and media skills will be demonstrated through a series of lectures, field trips, and student presentations focused upon the various professional applications of interpretative methods.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
R_M 3242 - Tourism in Costa Rica (3),"This study tour focuses on the recreation and tourism resources and services in Costa Rica. Using a comparative government, economic and recreation/tourism industry approach, the course will expose students to the problems related to recreation resource management and ecotourism/sustainable tourism development. The changing cultural institutions and specific governmental agencies involved in this industry’s growth in Costa Rica will be examined. This study tour will also investigate recreation service provisions for native Costa Ricans as students visit and experience a range of recreation offerings themselves.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
R_M 2310 - Introduction to Administration of Recreation (3),"This course introduces students to the public, not-for-profit, and commercial sectors in the recreation profession. With a focus on human resource management it includes elements of organizational theory and structure, policy development, personnel and staff manuals, and other related areas.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
R_M 2140 - Natural Resources: Becoming an Informed Citizen (3) [GenEd: HS],"Through the lens of outdoor recreation, this course will examine natural resources to help shape a more informed citizen. Students will examine dealings with natural resources by looking at how humans value and define ownership of them, as well as look at natural and outdoor recreation resource management practices and why they can be controversial or problematic. In addition, this course will look at how citizens become involved in the politics of natural and outdoor recreation resources.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
THR 4240 - Stage Lighting Design (3),"A study of advanced techniques of theatrical lighting design. Techniques for lighting design in drama, dance, and the other media will be investigated. Topics will include scenic projection, CAD for the lighting designer, adaptation of stage lighting for television and recent advances in lighting fixtures and control systems.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
TEC 4700 - Bioenergy Technology (3),"An examination of evolving bioenergy conversion technologies (anaerobic digestion, pyrolysis) which are being developed to displace non-renewable fuels. This course will focus on the concepts, tools, techniques, and materials needed to assess, design, and construct bioenergy technology systems. Coursework will include multimedia presentations, lectures, discussions, films, field trips, homework, guest-speakers, and laboratory activities. Topics include: biogas and digester design, waste to energy, chemistry of biomass, C & N cycles, bioenergy feedstocks, pyrolysis products- biochar, py-oil, and syngas, closed-loop designs, energy balance, life cycle assessment, the bioenergy and agricultural nexus, and eco-industrial models. Lecture two hours, laboratory two hours.",8.0,Life Cycle Assessment;Syngas,use-3;sustainability_and_policy-4,"{""syngas"": 1, ""life cycle assessment"": 1}"
TEC 4615 - Renewable Energy Project Development (3),"This course will explore the policy, market, and economic context for the development of energy projects with a focus on renewable energy, energy efficiency, and emerging technology trends. Specific topics may include regulatory oversight roles, energy and related environmental attribute markets, power purchase agreements, tax‐based and other incentives, and implications of emerging technologies and business models on power markets. Emphasis will be placed on students achieving a fundamental understanding of the regulatory and market context for energy projects and the practical application of this knowledge.",7.5,Renewable Energy;Project Development,sustainability_and_policy-4;engineering_capabilities-2,"{""renewable energy"": 2, ""project development"": 1}"
TEC 4523 - Energy Policy (3),"Energy policy plays an increasingly important role in shaping the way societies transition to clean energy. This course will provide an introductory yet in-depth overview of the where, how, and why energy policies are made. Implications of energy policy specific to renewable energy and energy efficiency investments and developments will be examined. Additionally, this course will review key state and federal energy policies and policy models, as well as explore energy markets, regulatory structures, and utility business models.",11.0,Energy Market;Renewable Energy;Energy Policy;Clean Energy,sustainability_and_policy-4;clean_energy_markets-4,"{""renewable energy"": 1, ""clean energy"": 1, ""energy policy"": 3, ""energy market"": 1}"
TEC 3612 - Instrumentation for Renewable Energy Systems (3),"This course will introduce students to the theory, tools, and techniques of electrical measurements and data logging. Basic circuits will be reviewed and analyzed. Transducers relevant to renewable energy systems, and several data logging hardware and software platforms, will be employed to measure physical properties. Data logging systems will be designed based on a review of specifications. Data analysis techniques will be introduced. Lecture two hours, laboratory two hours.",5.0,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 2}"
