title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
Aerospace Control Systems,"Part a: Linear state space systems, including concepts of controllability/reachability and observability. State feedback and optimal control. Frequency domain tools (Bode plots, Nyquist analysis, input/output performance). Part b: Optimization-based design of control systems, including optimal control and receding horizon control. Introductory random processes and optimal estimation. Kalman filtering and nonlinear filtering methods for autonomous systems.",https://www.catalog.caltech.edu/current/2024-25/department/Ae/,2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
Computational Mechanics,"Numerical methods and techniques for solving initial boundary value problems in continuum mechanics (from heat conduction to statics and dynamics of solids and structures). Finite difference methods, direct methods, variational methods, finite elements in small strains and at finite deformation for applications in structural mechanics and solid mechanics. Solution of the partial differential equations of heat transfer, solid and structural mechanics, and fluid mechanics. Transient and nonlinear problems. Computational aspects and development and use of finite element code.",https://www.catalog.caltech.edu/current/2024-25/department/Ae/,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
Combustion Fundamentals,"The course will cover chemical equilibrium, chemical kinetics, combustion chemistry, transport phenomena, and the governing equations for multicomponent gas mixtures. Topics will be chosen from non-premixed and premixed flames, laminar and turbulent flames, combustion-generated pollutants, and numerical simulations of reacting flows.",https://www.catalog.caltech.edu/current/2024-25/department/Ae/,3.5,Combustion,engineering_capabilities-2,"{""combustion"": 3}"
Mechanics and Materials Aspects of Fracture,"Analytical and experimental techniques in the study of fracture in metallic and nonmetallic solids. Mechanics of brittle and ductile fracture; connections between the continuum descriptions of fracture and micromechanisms. Discussion of elastic-plastic fracture analysis and fracture criteria. Special topics include fracture by cleavage, void growth, rate sensitivity, crack deflection and toughening mechanisms, as well as fracture of nontraditional materials. Fatigue crack growth and life prediction techniques will also be discussed. In addition, ""dynamic"" stress wave dominated, failure initiation growth and arrest phenomena will be covered. This will include traditional dynamic fracture considerations as well as discussions of failure by adiabatic shear localization. Not offered 2024-25",https://www.catalog.caltech.edu/current/2024-25/department/Ae/,3.5,Fracture Analysis,delivery_and_storage-3,"{""fracture analysis"": 1}"
Closed Loop Flow Control,"This course seeks to introduce students to recent developments in theoretical and practical aspects of applying control to flow phenomena and fluid systems. Lecture topics in the second term drawn from: the objectives of flow control; a review of relevant concepts from classical and modern control theory; high-fidelity and reduced-order modeling; principles and design of actuators and sensors. Third term: laboratory work in open- and closed-loop control of boundary layers, turbulence, aerodynamic forces, bluff body drag, combustion oscillations and flow-acoustic oscillations. Not offered 2024-25",https://www.catalog.caltech.edu/current/2024-25/department/Ae/,2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
Imaging Ecological Futures: Visual Art and Ecology,"How can art help visualize a post-carbon future? This class will look at environmental art projects over the past 50 years, from the birth of ecofeminism and anti-nuclear movements to today's artistic approaches to environmental justice. This class will research and discuss the legacy of eco artists, read seminal works, and engage in class discussions drawn from contemporary writing on the politics of colonial landscapes and queer approaches to ecology. These artworks address issues of sustainability, extraction and marginalization that affect vulnerable human bodies and the non-human world. We will then use ecological and feminist methods to create personal artworks. This class will use the resources of the Huntington Botanical Garden, and potentially field trips for plein air works on major local energy infrastructure sites.",https://www.catalog.caltech.edu/current/2024-25/department/VC/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
Management of Technology,"A course intended for students interested in learning how rapidly evolving technologies are harnessed to produce useful products or fertile new area for research. Students will work through Harvard Business School case studies, supplemented by lectures to elucidate the key issues. There will be a term project where students predict the future evolution of an exciting technology. The course is team-based and designed for students considering choosing an exciting research area, working in companies (any size, including start-ups) or eventually going to business school. Topics include technology as a growth agent, financial fundamentals, integration into other business processes, product development pipeline and portfolio management, learning curves, risk assessment, technology trend methodologies (scenarios, projections), motivation, rewards and recognition. Industries considered will include electronics (hardware and software), aerospace, medical, biotech, etc. Students will perform both primary and secondary research and through analysis present defensible projections. E/SEC 102 and E/ME/MedE 105 are useful but not required precursors.",https://www.catalog.caltech.edu/current/2024-25/department/SEC/,5.0,Risk Assessment;Pipeline,technical_skills-1;delivery_and_storage-3,"{""pipeline"": 1, ""risk assessment"": 1}"
Senior thesis,"Supervised research experience, open only to senior materials science majors. Starting with an open-ended topic, students will plan and execute a project in materials science and engineering that includes written and oral reports based upon actual results, synthesizing topics from their course work. Only the first term may be taken pass/fail.",https://www.catalog.caltech.edu/current/2024-25/department/MS/,3.0,Materials Science,engineering_capabilities-2,"{""materials science"": 2}"
Materials Science Laboratory,"An introductory laboratory in relationships between the structure and properties of materials. Experiments involve materials processing and characterization by X-ray diffraction, scanning electron microscopy, and optical microscopy. Students will learn techniques for measuring mechanical and electrical properties of materials, as well as how to optimize these properties through microstructural and chemical control. Independent projects may be performed depending on the student's interests and abilities.",https://www.catalog.caltech.edu/current/2024-25/department/MS/,2.5,Materials Science,engineering_capabilities-2,"{""materials science"": 1}"
Advanced Work in Materials Science,The staff in materials science will arrange special courses or problems to meet the needs of students working toward the M.S. degree or of qualified undergraduate students. Graded pass/fail for research and reading.,https://www.catalog.caltech.edu/current/2024-25/department/MS/,3.0,Materials Science,engineering_capabilities-2,"{""materials science"": 2}"
