title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
AIS 336 - Indigenous Philosophies of Sustainability,"(3 units) Prerequisite: Completion of GE Foundation, one or more Explorations courses and upper-division standing. Detailed examination and comparison of Indigenous philosophies of sustainability, worldviews, and life experiences of American Indians in the United States compared to western society. Emphasis on American Indian philosophical traditions and applied sustainability practices. Letter grade only (A-F). General Education: Upper Division C - Arts and Humanities",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
ART 359A - Architectural Metalwork and Blacksmithing,"(3 units) Prerequisites: and and and and . Art majors only. Exclude freshman. Techniques, materials and concepts of metal craft for developing art forms in larger scale and in architectural context. Hot forging and fabricating with ferrous metals. Basic techniques of cutting, forming, joining welding and surface design of metals. Making of tools. Letter grade only (A-F). Course fee may be required. (6 hrs. lab.) May be repeated to a maximum of 6 units.",3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
THEA 162 - Movement & Mindfulness,"(3 units) Prerequisite/Corequisite: Concurrent or previous enrollment in at least one GE Foundation course. Introduction to movement and mindfulness methodologies to support skills for student success, wellbeing, and sustainability in academic and creative settings. Letter grade only (A-F). (3 hours Lecture Activity) Not repeatable for credit. General Education: Lower Division E - Lifelong Learning and Self Development",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ANTH 505 - Practicing Anthropology,"(3 units) Prerequisite: Graduate standing or consent of instructor. Review of practical contributions by anthropologists in nonacademic settings; attention to specific skills used by practicing anthropologists; business writing including resumes, contracts; oral presentations using audiovisual aides; internal and external contracting; time management; project management; working across disciplines; and ethics. Letter grade only (A-F).",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ANTH 487 - Cultural Resource Management,"(3 units) Introduction to the practice of public archaeology in the United States: historical and legal background; federal, state, and local programs; archaeology and Native Americans; contract archaeology; survey, evaluation, and mitigation projects; professional employment in U.S. cultural resource management. Letter grade only (A-F).",2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
ANTH 363 - Natural History of Primates,"(3 units) Prerequisites: . Relationship of primates to other mammals; adaptation of arboreal mammals; functional and evolutionary aspects of primate anatomy and physiology; effects of size; primate ecology; survey of the Order Primates: Prosimii, Tarsoidea, New World and Old World Monkeys, and Hominoids. Both grading options.",1.5,ProSim,technical_skills-1,"{""prosim"": 1}"
AMST 310 - Foodways in Contemporary America,"(3 units) Prerequisites: Completion of GE Foundation Courses Examines the production and consumption of food in the U.S. after 1945, comparatively exploring issues of race, class, gender, and inter-ethnic relations. Themes include food as “Americanization,” “authentic” cuisine, politics of sustainability, and social justice in the food industry. Letter grade only (A-F). General Education: Upper Division C - Arts and Humanities",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
UHP 201 - Sustainability and Technology in Los Angeles - Honors,"(3 units) Prerequisite/Corequisite: One Category B4 GE Foundation course. Explores major scientific issues behind our understanding of sustainability such as biodiversity, population, food and water resources, climate change, energy, public health, and the overall forecast for the environment and the human condition for the next several decades. Laboratory activities include combinations of field-trips, collecting data, and in-class analysis and reporting. Letter grade only (A-F). General Education: Lower Division B - Scientific Inquiry and Quantitative Reasoning",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
"UHP 101 - Art, Community, Place: The LA Interchange - Honors",(3 units) Prerequisite/Corequisite: One GE Foundation course. Explores cultural products and performances available in the Greater Los Angeles region; considers interdisciplinary understanding of how art enriches individuals and communities; investigates the arts community’s interest in sustainability. Letter grade only (A-F). General Education: Lower Division E - Lifelong Learning and Self Development,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
THEA 555 - Virtual and Automated Lighting Design,"(2 units) Comprehensive study in techniques of virtual and automated lighting design. Course includes practical instruction in WYSIWYG virtual lighting software; Emphasis Control software and hardware; Vari*Lite, Martin, and High End automated fixtures, and the Catalyst Media Server. Letter grade only (A-F). (Activity 4 hours)",3.5,Catalyst,production-3,"{""catalyst"": 1}"
