title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
CHE 7110 Mathematical Methods in Chemical Engineering (3),Review of physicochemical problem formulation; analytical and approximate techniques for the solution of linear and nonlinear differential equation models in chemical engineering systems.,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
GEOG 4047 Geographic Information Systems (3),Geographic information systems used in land resource management and planning; data structures and algorithms for automated retrieval and analysis of spatial data; structuring cartographic data into spatial data; integration of remotely sensed data into geographic information systems.,5.0,Geographic Information Systems;Resource Management,engineering_capabilities-2;technical_skills-1,"{""geographic information systems"": 3, ""resource management"": 1}"
GEOG 4042 Enterprise Geographic Information Systems (3),"The use of vector-based GIS application software for the input, management, analysis and presentation of geospatial data. Emphasis is placed on how the GIS relates to database management systems as part of building an enterprise-wide GIS.",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GEOG 4043 Crime GIS (3),"Also offered as . Advanced spatial crime analysis, modeling, and mapping using Geographic Information Systems (GIS).",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
ISDS 7530 Information Systems Analysis and Design (3),Analysis and design of information systems from a management perspective; software development methodology; topics include requirements determination; feasibility determination; project management; evaluation of a software development strategy and application design; modeling using ER diagrams and DFDs; systems implementation.,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ISDS 7230 Project Management (3),"Topics of effectively managing projects including setting goals and objectives, project planning, evaluation and review; incentives and qualitative analysis and project accounting; extensive use of cases involving hands-on computer analyses with state-of-the-art project management software.",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
ISDS 7302 Predictive Analytics (3),Predictive analytics in business; business cases in predictive analytics; data mining use in business; industry solutions for predictive analytics.,3.0,Predictive Analytics,technical_skills-1,"{""predictive analytics"": 4}"
ISDS 7150 Emerging Markets Energy Supply Chain Management (3),"Emerging markets; global energy supply chain; entrepreneurial opportunities in energy; opportunities in retail global supply chain, product life cycle and global supply chain, energy supplier clusters and emerging markets, and information technology and global supply chain; life-saving supply chain and disaster management; greening the global supply chain; industry studies; and opportunities for the growing Louisiana economy.",5.0,Energy Supply,clean_energy_markets-4,"{""energy supply"": 2}"
ISDS 4123 Computer and Networking Security (3),"Security management, corporate risk assessment, access control, authentication, transmission control protocol and Internet protocol packet content analysis, firewall hardware and software, types of encryption, cryptographic systems, application security issues and laws governing security and privacy.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
ISDS 4113 Management of Information Systems Projects (3),Topics on effectively managing information technology projects including: setting goals and objectives; work breakdown structures; project scheduling; managing project resources; evaluation and review; incentives and qualitative analysis; project accounting; extensive use of cases involving hands-on computer analyses with state-of-the-art project management software.,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ISDS 2001 Business Statistics and Analytics II (3),Advanced statistical methods; ANOVA and multiple linear regression; predictive analytics; decision analysis.,1.5,Predictive Analytics,technical_skills-1,"{""predictive analytics"": 1}"
LHRD 4068 Project Management and Team Leadership in LHRD (3),"Introduction to the conceptualization and development of project plans, project management strategies and the leadership and development of project teams in human resource and leadership development.",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
LA 7401 Graduate Landscape Ecology (3),"Basic principles of ecology and environmental systems; application of ecological principles and relationships to resource, recreation and landscape planning, with attention to conservation ethics and legal regulations leading to sustainability of the landscape.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
LA 7075 GIS for Designers (3),Introduction to Geographic Information Systems (GIS) and Science (GISc) for designers.,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
LA 7044 Ecology and Technology IV (3),"Construction practices in landscape architecture, focusing on the primary components of built environments: materials, assemblies, and technique; the principles of sustainability as it relates to construction and materials; advanced materials and emerging technologies.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
