title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
PHYS 408 - Introduction to Quantum Mechanics,"This course covers the basic principles of quantum mechanics. Problems in one-dimensional motion, the hydrogen atom and molecule, and perturbation theory are studied. , and completed with grades of “C” or higher (FALL)",5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
SOCI 307 - Population Science: Demography,"This course involves the study of the basic techniques of population analysis and descriptions and social problems specifically from a population and demographic point of view. Specifically, it examines the causes of changes in the size, composition, and distribution of populations and their impact on abortion, occupation, relocation, population explosion, single-parent families, genocide, divorce, and housing. (AS NEEDED)",1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
SSCM 496 - Supply Chain Management Audit,"This supply chain management capstone course is designed for students to synthesize conceptual and practical skills that they have learned throughout the services and supply chain management program in a collaborative capstone project. Students will work in the form of groups and develop a comprehensive report that addresses procurement, logistics, quality processes, supply chain planning and operations, manufacturing/services processes, IT systems used, sustainability practices, performance measurement system, ethical and global risk issues related to an organization’s major product/service line based on primary and secondary data collected. , and completed with grades of “C” or higher (FALL)",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SSCM 330 - Supply Chain Management and Sustainability.,"This course introduces students to strategies and techniques for effective supply chain management and sustainability. Topics include: basics of supply chain management, inventory management, procurement and outsourcing strategies, global logistics management, distribution operations, coordinated product and supply chain design, information sharing in supply chains, Bullwhip effect, supply chain quality management and six sigma, supply chain risk management, global supply chain management, and sustainability issues. (FALL)",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
ART 326 - Sculpture: Construction,Students will study three-dimensional form through construction techniques using welding and brazing. The use of innovative techniques will be explored. Individual attention will be given to students with advanced experiences. (SPRING),3.5,Welding,delivery_and_storage-3,"{""welding"": 1}"
CHEM 414 - Instrumental Methods of Analysis,"This course is a rigorous study of the theory and practice of instruments used in analytical chemistry for the determination of the chemical composition of matter in a sample using atomic and molecular spectrometry, electrochemical and chromatographic methods. and and and and and and AND all prerequisites for these courses completed with grades of “C” or higher (FALL)",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
CHEM 207 - Quantitative Analysis I,"This course covers the fundamental theory and practice of volumetric, gravimetric and electrochemical methods. The student is trained in chemical calculations as applied to quantitative analysis. and or and all prior prerequisites for these courses completed with grades of “C” or higher (SPRING)",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
ARCH 435 - Introduction to Real Estate Planning II,"This course expands upon the theories, principles and practices of the real estate industry presented in Course I and incorporates a project management approach to address a land- use-planning situation. Students will work in teams to propose strategies, and design components that comprise a community development project plan. Students will structure the specifics of the project being designed and identify and propose the task to be undertaken for project implementation. completed with a grade of “C” or higher",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ARCH 415 - Historic Preservation,"This course introduces the student to the field of historic preservation, examining the history and theory of preservation in architecture and the built environment. Course work includes historical subjects, the issue of sustainability, state and local guidelines, preservation standards, career opportunities, and professional practices. and completed with grades of “C” or higher (SPRING)",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ARCH 410 - Design Build Studio,"This studio will focus on the design and construction of a building or structure. In addition to design process, students will explore the implications of cost, material selection, construction processes and real life performance criteria that influence the design of buildings. Student will gain hands-on experience and training in construction skills through on-site participation in the project. completed with a grade of “C” or higher or Department Chair permission required to register (AS NEEDED)",1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
ARCH 404 - Urban Design II,"This studio will focus on a mixed-use redevelopment project as a tool for physical, social and economic revitalization of urban areas. Issues of land use, transportation, preservation, sustainability and urban form will inform the planning and design process. completed with a grade of “C” or higher (SPRING)",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ARCH 403 - Urban Design I,"This studio is focused on community design with the physical environment viewed as a catalyst for community enhancement and revitalization. Typical issues of concern include, community identity, the role of open space in urban neighborhoods, and sustainability, safety and livability. completed with a grade of “C” or higher (FALL)",8.0,Catalyst;Sustainability,sustainability_and_policy-4;production-3,"{""catalyst"": 1, ""sustainability"": 1}"
ARCH 322 - Technology Resources for Planners,"This course is an introduction to Geographic Information Systems (GIS) and its specific application to the built environment profession. Topics include: spatial modeling, visual analysis, resource management, site design, master planning, and public advocacy. completed with a grade of “C” or higher (SPRING)",4.0,Geographic Information Systems;Resource Management,engineering_capabilities-2;technical_skills-1,"{""geographic information systems"": 1, ""resource management"": 1}"
ARCH 303 - Sustainability,"This course explores “green technology” as well as the relationship between the built environment and such vital challenges as energy consumption, power supply, alternative energy sources, and building materials. Students further examine the social, ecological, and economic impact of built form on the environment by studying the relationship between urban development and environmental resources. Minimum Junior classification at Morgan. (Formerly ARCH 405). Must be junior standing in order to register. (FALL)",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CHEM 106L - Principles of General Chemistry II,"This course is the continuation of Principles of General Chemistry I, . This course is designed for all majors which require 200 level chemistry courses or higher. Topics discussed are properties of solutions, chemical kinetics and chemical equilibrium, acid-base equilibria, chemical thermodynamics, electrochemistry, coordination chemistry, and organic chemistry. Laboratory work for the first half of the semester is devoted to experiments that parallel the topics of this course list above. The remainder of the semester involves teaching students principles of semi-micro-qualitative analysis and to relate these experiences to “real world” occurrences. or and OR completed with grades of “C” or higher",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 106 - Principles of General Chemistry II,"This course is the continuation of Principles of General Chemistry I, . This course is designed for all majors which require 200 level chemistry courses or higher. Topics discussed are properties of solutions, chemical kinetics and chemical equilibrium, acid-base equilibria, chemical thermodynamics, electrochemistry, coordination chemistry, and organic chemistry. Laboratory work for the first half of the semester is devoted to experiments that parallel the topics of this course list above. The remainder of the semester involves teaching students principles of semi-micro-qualitative analysis and to relate these experiences to “real world” occurrences. or and or completed with grades of “C” or higher",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
ECON 352 - Sustainability,"This course focuses on topics related to Sustainability, which is defined as the ability of people to meet their needs and co-exist on Earth for a long period of time. There are three key dimensions of sustainability: economic, social, and environmental. This course will establish a foundational understanding of each of these sustainability dimensions independently, to be followed by an integrated study of these dimensions within the context of key environmental issues such as pollution, climate change, and development. or completed with a grade of “C” or higher (AS NEEDED)",6.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 4}"
CSTL 202 - Coastal Resource Management and Policy,"This course explores the management of coastal resources by analyzing human activities, policy frameworks, and decision-making processes. By understanding these aspects of coastal resources, students will gain knowledge and tools to contribute to effective coastal resource management and policy development. completed with a grade of “C” or higher (SPRING)",2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
CSTL 201 - Introduction to Coastal Research Methods,"This is a laboratory-oriented course focused on an introduction to coastal science research equipment and methods. Topics will include water quality monitoring, streamflow, sediment composition, chemical characterization, and more. and completed with grades of “C” or higher and (FALL)",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
CEGR 480 - Fundamentals of Geographic Information Systems,"The course provides students with comprehensive knowledge and understanding of Geographic Information Systems (GIS) and its applications in science, technology, engineering and mathematics (STEM). It will cover GIS concepts, principles, and applications. Data acquisition, processing, management, analysis, modeling, and product generation are emphasized. Students will actively participate in data acquisition, and mapping. Training in GIS software, including ArcGIS/ Arc View, GeoMedia Suite, and Pathfinder Office software will be provided during the course. Term project with oral presentation and written report will form part of this course. and completed with grades of “C” or higher (SPRING)",3.0,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 2}"
CEGR 475 - Fundamentals of Construction Engineering and Management,This course will teach the applications of the fundamentals of construction engineering and management in construction practice and provide a foundation in the important aspects of construction management and the emerging areas that will concern the construction manager in the future. and completed with grades of “C” or higher (FALL/SPRING),2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CEGR 471 - Mechanical and Electrical Facilities,"Introduction to principles and applications of mechanical and electrical systems to the design, construction codes, and integration of (1) mechanical facilities, including water and waste plumbing, heating, ventilating, air-conditioning, and fire-protection, and (2) electrical facilities, including power, lighting and safety circuits and wiring, and building automation systems. and and completed with grades of “C” or higher",1.5,Automation,technical_skills-1,"{""automation"": 1}"
