title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
GC 350 Applied CAD/D and Geometric Controls (3 credit hours),Techniques for producing mid-level computer models of individual parts and assemblies of parts. Application of conventional tolerancing and geometric tolerancing and dimensioning. Investigation of design for manufacture and CAD/CAM (Computer-AidedDesign/Computer-Aided Manufacture) processes. Conventions and standards for technical drawing documentation. Prerequisite: GC 120 Typically offered in Fall and Spring,https://catalog.ncsu.edu/course-descriptions/gc/,2.5,Technical Drawing,engineering_capabilities-2,"{""technical drawing"": 1}"
HESM 214/ PRT 214 Foundations in Outdoor Leadership and Adventure Education (3 credit hours),"Foundations in outdoor leadership and adventure education topics include outdoor education history, group development models, experiential education theories, leadership styles and facilitation, risk management for groups, expedition and trip planning, employment opportunities, current trends and issues, environmental stewardship, assessment and evaluation. Typically offered in Spring only",https://catalog.ncsu.edu/course-descriptions/hesm/,4.5,Environmental Stewardship,sustainability_and_policy-4,"{""environmental stewardship"": 1}"
ECG 515/ FOR 515 Environmental and Resource Policy (3 credit hours),"Application of price theory and benefit-cost analysis to public decisions related to resources and environment. Emphasis on evaluation of water supply and recreation investments, water quality management alternatives, public-sector pricing, common property resources and optimum management of forest and energy resources. Prerequisite: EC(ARE) 301 or 401 Typically offered in Spring only This course is offered alternate years",https://catalog.ncsu.edu/course-descriptions/ecg/,1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
GIS 205 Spatial Thinking with GIS (3 credit hours),"Spatial thinking and how it relates to the basic foundations of geospatial science and geographic information systems (GIS) are introduced. Students will learn to tell stories through maps using geographic information and geospatial data and analysis by applying spatial reasoning through a series of interactive assignments and discussions. Students will learn to define spatial problems and design solutions across a variety of disciplines, setting the stage for additional technical coursework in GIS and Geospatial Science. GEP Interdisciplinary Perspectives Typically offered in Spring only",https://catalog.ncsu.edu/course-descriptions/gis/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GIS 280 Introduction to GIS (3 credit hours),"This course provides an overview of the operations and functions of geographic information systems [GIS]. Students develop a fundamental understanding of geographic information management and analysis methods. Emphasis is placed on the nature of geographic information, working with spatial data, and elementary geospatial analysis and modeling techniques. Students learn effective operation of GIS software and gain exposure to GIS tools that support these emphasis areas. Extensive independent learning and computer experiences include online laboratory sessions, alongside synchronous online or in-person weekly problem sessions. Students will need access to a laptop for the in-person problem sessions. Typically offered in Fall and Spring",https://catalog.ncsu.edu/course-descriptions/gis/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GIS 411/ GIS 511 Coding for Geospatial Applications (2 credit hours),"Exploration of the intersection between coding and Geographic Information Systems. This course provides a broad overview of coding platforms commonly used in geospatial applications, with an emphasis on basic Python programming skills for geospatial tasks related to spatial data science and visualization. Prior programming experience is not required or expected. Some GIS experience is preferred. Students in the GIS and Spatial Data Science minor may opt to take this course in the same semester as GIS 450 when available. Prerequisite: GIS 280 Typically offered in Fall only",https://catalog.ncsu.edu/course-descriptions/gis/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GIS 510 Fundamentals of Geospatial Information Science and Technology (3 credit hours),"This course provides an advanced overview of how geographic information systems [GIS] facilitate data analysis and communication to address common geographic problems. Students improve spatial reasoning and problem definition expertise while emphasizing geographic data models and structures, data manipulation and storage, customization through programming, and the integration of geospatial analysis and modeling into project-based problem solving applicable to a variety of disciplines. Skilled application of both desktop and cloud-based GIS software supports these areas. Extensive independent learning and computer experiences include virtual laboratory sessions, alongside optional online or in-person weekly help sessions to facilitate student learning. Prerequisite: Graduate Standing or PBS or Permission of Instructor Typically offered in Fall and Spring",https://catalog.ncsu.edu/course-descriptions/gis/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GIS 511/ GIS 411 Coding for Geospatial Applications (2 credit hours),"Exploration of the intersection between coding and Geographic Information Systems. This course provides a broad overview of coding platforms commonly used in geospatial applications, with an emphasis on basic Python programming skills for geospatial tasks related to spatial data science and visualization. Prior programming experience is not required or expected. Some GIS experience is preferred. Students in the GIS and Spatial Data Science minor may opt to take this course in the same semester as GIS 450 when available. Prerequisite: GIS 280 Typically offered in Fall only",https://catalog.ncsu.edu/course-descriptions/gis/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GIS 521 Surface Water Hydrology with GIS (3 credit hours),"The application of geographic information systems (GIS) to surface water modeling including stream and watershed delineations, regulatory wetlands jurisdiction determinations, and flood mapping. In addition students will develop spatial computation methods to support hydrological analysis in land use planning, landscape management, and engineering assessments. Prerequisite: GIS 510 or PA 541 or SSC 440 Typically offered in Fall and Spring",https://catalog.ncsu.edu/course-descriptions/gis/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GIS 715 Geovisualization (3 credit hours),"Geovisualizations are a powerful way to reveal patterns in geospatial data, attract attention, and convey a message to an audience quickly and clearly. This course equips students to make informed design decisions (based on visual feature hierarchy, color theory, and design principles) and automate map-making techniques for multi-layered data, multivariate data, spatial-temporal data, and data with uncertainty. Students are expected to have a working knowledge of Geographic Information Systems. Some experience with Python programming would also be beneficial. Restriction: Graduate standing in Geospatial Analytics or Permission of Instructor Typically offered in Spring only",https://catalog.ncsu.edu/course-descriptions/gis/,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
