title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"['CHEM\xa01414', 'General Chemistry for Engineers (LN)']","Description: One seminar survey of general chemistry for engineering students. Topics include physical properties of states of matter, stoichiometry, atomic theory, periodic properties, bonding, thermodynamics, equilibrium, acid-base and redox reactions, electrochemistry. Topics will be discussed with respect to applications to materials, energy and environmental topics relevant to engineering students.",http://catalog.okstate.edu/courses/chem/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
"['CHEM\xa01515', 'Chemistry II (LN)']","Description: A continuation of Chemistry 1 for students in the basic biological sciences (including premedical science and pre-veterinary science), physical sciences, and engineering. Topics include, but not limited to, intermolecular forces, liquids and solids, chemical equilibria, acid/base chemistry, oxidation/reduction, electrochemistry, chemical kinetics, and elementary chemical thermodynamics.",http://catalog.okstate.edu/courses/chem/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
"['CHEM\xa02113', 'Principles of Analytical Chemistry']","Description: Statistical analysis of analytical data, acid-base equilibria, acid-base titrations, electrochemistry, analytical separations, as well as atomic and molecular optical spectroscopy.",http://catalog.okstate.edu/courses/chem/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
"['CHE\xa02023', 'Introduction to Chemical Engineering Thermodynamics']","Description: Systems approach to modeling industrial process, application of first and second laws, properties of substances, separate strategies using thermodynamic principles, and power generation cycles. May not be used for degree credit with ENSC 2213 .",http://catalog.okstate.edu/courses/che/,6.0,Chemical Engineering;Power Generation,use-3;engineering_capabilities-2,"{""power generation"": 1, ""chemical engineering"": 1}"
"['CHE\xa02033', 'Introduction to Chemical Process Engineering']",Description: Application of mathematics and scientific principles to solving chemical engineering problems. Simple material and energy balances applied to process design. The nature and application of unit operations and unit processes to the development of chemical processes.,http://catalog.okstate.edu/courses/che/,3.0,Chemical Engineering;Process Engineering,engineering_capabilities-2,"{""chemical engineering"": 1, ""process engineering"": 1}"
"['CHE\xa02581', 'Chemical Engineering Seminar I']","Description: Through guest lectures and home assignments, preparation and planning for a CHE career and success in the CHE curriculum. Professional growth topics oriented to students in the sophomore-level courses.",http://catalog.okstate.edu/courses/che/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['CHE\xa03013', 'Rate Operations I']",Description: Development and application of phenomenological and empirical models to the design and analysis of fluid processing and heat transfer unit operations.,http://catalog.okstate.edu/courses/che/,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
"['CHE\xa03473', 'Chemical Engineering Thermodynamics']","Description: Application of thermodynamics to chemical process calculations. Behavior of fluids, including estimation of properties by generalized methods. Study of chemical thermodynamics, including heats of reaction, chemical reaction, and phase equilibria.",http://catalog.okstate.edu/courses/che/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['CHE\xa03581', 'Chemical Engineering Seminar II']","Description: Through guest lectures and home assignments, preparation and planning for a CHE career and success in the CHE curriculum. Professional growth topics oriented to students in the junior-level CHE courses.",http://catalog.okstate.edu/courses/che/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
"['CHE\xa04002', 'Chemical Engineering Laboratory I']",Description: Application of CHE fundamentals and unit operation principles to the analysis of bench and pilot-scale equipment. Primarily fluid processing and heat exchange. Design of experiments on non-ideal units to generate credible data useful for validation of principles and for engineering decisions. Interpretation of experimental data and presentation of results.,http://catalog.okstate.edu/courses/che/,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
