title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"ANTH 435, CULTURAL RESOURCES: POLICY AND PROCEDURES, 4 Credits",Description and analysis of requirements and demands of cultural resource management. Historical development of cultural resource laws and appropriate field techniques and strategies to implement legislation. Prerequisite: ANTH 230 with D- or better Available via Ecampus,https://catalog.oregonstate.edu/courses/anth/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"ANTH 497, ARCHAEOLOGICAL FIELD METHODS, 1-3 Credits",Archaeological field strategies emphasizing reconnaissance and survey. Application of field equipment and project management.,https://catalog.oregonstate.edu/courses/anth/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
"ANTH 535, CULTURAL RESOURCES: POLICY AND PROCEDURES, 4 Credits",Description and analysis of requirements and demands of cultural resource management. Historical development of cultural resource laws and appropriate field techniques and strategies to implement legislation.,https://catalog.oregonstate.edu/courses/anth/,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"AAE 412, SPACE SYSTEMS ENGINEERING, 4 Credits","Introduces current practices for space systems engineering for Earth-orbiting and interplanetary spacecraft. Discusses fundamentals of space mission design, space environment, astronautics, flight dynamics, guidance and navigation, stability and control, thermal control, power, communications, and propulsion. Prerequisite: AAE 210 with C or better and ME 217 [C] and ( ME 373 [C] or ME 373H [C]) Recommended: AAE 411",https://catalog.oregonstate.edu/courses/aae/,3.0,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 2}"
"AAE 462, ROCKET PROPULSION, 4 Credits","Studies rocket propulsion concepts, building on fundamentals of thermodynamics, fluid dynamics, heat transfer, and chemistry. Analyzes and designs liquid, solid, and hybrid propellant rockets, and explores electric and nuclear propulsion systems. Investigates and discusses social, environmental, and ethical issues around rocketry. Prerequisite: ( ME 330 with C or better or ME 330H with C or better or NSE 330 with C or better) and ( AAE 210 [C] or ME 461 [C])",https://catalog.oregonstate.edu/courses/aae/,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
"AAE 512, SPACE SYSTEMS ENGINEERING, 4 Credits","Introduces current practices for space systems engineering for Earth-orbiting and interplanetary spacecraft. Discusses fundamentals of space mission design, space environment, astronautics, flight dynamics, guidance and navigation, stability and control, thermal control, power, communications, and propulsion.",https://catalog.oregonstate.edu/courses/aae/,3.0,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 2}"
"AAE 562, ROCKET PROPULSION, 4 Credits","Studies rocket propulsion concepts, building on fundamentals of thermodynamics, fluid dynamics, heat transfer, and chemistry. Analyzes and designs liquid, solid, and hybrid propellant rockets, and explores electric and nuclear propulsion systems. Investigates and discusses social, environmental, and ethical issues around rocketry. Recommended: ME 561",https://catalog.oregonstate.edu/courses/aae/,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
"ANTH 597, ARCHAEOLOGICAL FIELD METHODS, 1-3 Credits",Archaeological field strategies emphasizing reconnaissance and survey. Application of field equipment and project management.,https://catalog.oregonstate.edu/courses/anth/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
"WSE 111, WOOD INNOVATIONS FOR SUSTAINABILITY, 2 Credits",Explores renewable materials and their current applications in society. Covers a breadth of renewable materials use and exposes students to life-cycle thinking.,https://catalog.oregonstate.edu/courses/wse/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"WSE 250, COMPUTER AIDED DESIGN OF WOOD PRODUCTS, 3 Credits","Provides students with the tools and techniques to design and render products, furniture, and structures using Solidworks, as well as create technical drawings that facilitate communication between designers, engineers, and clients. Develops techniques that are applicable to a wide variety of industrial CAD and product design industries worldwide.",https://catalog.oregonstate.edu/courses/wse/,2.5,Technical Drawing,engineering_capabilities-2,"{""technical drawing"": 1}"
"WSE 385, *EVALUATING SUSTAINABILITY THROUGH LIFE CYCLE ANALYSIS, 3 Credits","With increased focus on sustainability, it has become important to quantify a sustainability metric of a material, process, or a system. To that end an understanding of life cycle analysis (LCA) is needed that can be used to determine a sustainability metric. This Ecampus course presents the use of LCA to gain insights on the environmental and social impacts of the choices we make. (Bacc Core Course) Attributes: CSST – Bacc Core, Synthesis, Science/Technology/Society Available via Ecampus",https://catalog.oregonstate.edu/courses/wse/,7.0,Life Cycle Analysis;Sustainability,sustainability_and_policy-4,"{""sustainability"": 4, ""life cycle analysis"": 2}"
"WSE 463, ADVANCED MANUFACTURING 2, 4 Credits","Third of a three-term series exploring technologies and management practices associated with manufacturing products from wood and other renewable materials. Subjects covered include process control, optimization, automation, and contemporary topics such as Big Data and the Internet of Things and the potential impacts of the trends on manufacturing enterprises. Prerequisite: WSE 462 with C- or better",https://catalog.oregonstate.edu/courses/wse/,2.0,Automation;Process Control,technical_skills-1,"{""automation"": 1, ""process control"": 1}"
