title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
MATH 33: Mathematics for Sustainability,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AFR 205: Development and Sustainability in Africa,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AFR 205: Development and Sustainability in Africa,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUST 242N: Issues in Sustainability,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUST 242N: Issues in Sustainability,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
MATH 33: Mathematics for Sustainability,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AFR 205: Development and Sustainability in Africa,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SUST 242N: Issues in Sustainability,N/A,PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CE 333W: Construction Management I,N/A,PDF,2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
MATSE 492W: Materials Engineering Methodology and Design,N/A,PDF,2.5,Materials Engineering,engineering_capabilities-2,"{""materials engineering"": 1}"
AERSP 312: Aerodynamics II,"Fluid mechanics of viscous and compressible flows, laminar boundary layers, turbulent flows, isentropic flows, shock waves, supersonic life and drag. AERSP 312 Aerodynamics II (3) Exact solutions of the Navier- Stokes equations for unsteady flow. Boundary layers solved by the methods of Blasius, Falkner-Skan and Thwaites. Boundary layer stability and transition to turbulence. Turbulent flow and solution methods. Fluid flow measurement techniques and numerical methods. Derivation of the governing equations for the conservation of mass, momentum and energy for compressible flow. Steady one-dimensional isentropic flow. Normal, traveling and oblique shock waves. Compressible flow with area change and converging-diverging nozzle flows. Prandtl-Meyer expansions and supersonic life and drag. One-dimensional flow with friction or heat transfer. Unsteady and linearized compressible flow. Introduction to the method of characteristics. This is the second of a two course sequence in aerodynamics and is a prerequisite for senior level courses in propulsion and design. Evaluation of student performance will be by two midterm exams worth approximately 25% each, a ﬁnal exam worth approximately 35% and weekly homework assignments worth approximately 15%. Enforced Prerequisite at Enrollment: AERSP 311 and AERSP 313 and (ME 201 or ME 300) 3310 Aerospace Engineering (AERSP)",PDF,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
AERSP 403A: Autonomous Aerospace Vehicle Design - Preliminary,"The Autonomous Aerospace Vehicle Capstone concentrates on automation and autonomy concepts for vehicles in flight, including complex avionics for manned aircraft; unmanned aircraft systems and launch vehicles; and complex autonomous spacecraft, such as planetary rovers. Student teams will not only learn and exercise the design process by generating a hardware architecture, design, and performance simulation, but they will also build, integrate, and test their design during a live demo event. AERSP403A is the ﬁrst course in a two- Undergraduate - The Pennsylvania State University 2024-2025 3311 semester sequence beginning with preliminary design and continuing with detailed design (AERSP403B) in the second semester. Enforced Concurrent at Enrollment: (AERSP 413 or AERSP 450) and AERSP 462 Recommended Preparations: Although not required, successful completion of, or registration in, AERSP424 will assist students in coding skills necessary for this class.",PDF,1.5,Automation,technical_skills-1,"{""automation"": 1}"
AERSP 403B: Autonomous Aerospace Vehicle Design - Detailed,"The Autonomy Aerospace Vehicle Capstone concentrates on automation and autonomy concepts for vehicles, including complex avionics for manned aircraft; unmanned aircraft systems and launch vehicles; and complex autonomous spacecraft, such as planetary rovers. Student teams will not only learn and exercise the design process by generating a hardware architecture, design, and performance simulation, but they will also build, integrate, and test their design during a live demo event. AERSP403B is the second in a two-semester sequence beginning with preliminary design (AERSP403A) in the ﬁrst semester and continuing with detailed design (AERSP403B) in the second semester. Enforced Prerequisite at Enrollment: AERSP 403A Recommended Preparations: Although not required, successful completion of, or registration in, AERSP424 will assist students in coding skills necessary for this class.",PDF,1.5,Automation,technical_skills-1,"{""automation"": 1}"
AERSP 423: Introduction to Numerical Methods in Fluid Dynamics,"This course provides an introduction to the important and growing ﬁeld of Computational Fluid Dynamics (CFD). The student will become familiar with a short history and relevance of CFD, the basic differential models of fluid dynamics, discretization and linearization practices, and solution strategies of CFD. Fundamentals of algorithm classiﬁcation, error and stability analysis will be covered. Also, several advanced topics of relevance to modern CFD analysis will be covered. A term project will involve coding a CFD model of one of several choices including: 2D shallow wave equations for application to a tsunami, unsteady conjugate flow+heat transfer analysis of a pin array, and others per the instructor's discretion. Enforced Prerequisite at Enrollment: (AERSP 312 or ME 320) and (MATH 250 or MATH 251) and (CMPSC 200 or CMPSC 201) Cross-listed with: ME 423AERSP 424: Advanced Computer Programming Engineering and scientiﬁc programming topics: object oriented programming, parallel programming, and various modern languages (e.g. C++, Java, and Ada). AERSP 424 Advanced Computer Programming (3) This course presents an advanced view of computer programming, mainly using Java, C++, and Ada95. The use of current operating systems (e.g. Linus and Unix) and compilers (e.g. gcc) will also be presented. Object Oriented Programming will also be discussed in detail. Object Oriented Programming is quite different than functional or procedural programming, and it is difﬁcult to learn on your own. The differences and similarities between Java and C++ and Ada95 will also be discussed. Hands-on programming will be a key part of the course. This course is one of the Core Courses for the Graduate Minor in High Performance Computing, and will also be a technical elective in Aerospace Engineering. Enforced Prerequisite at Enrollment: (CMPSC 121 or CMPSC 131 or CMPSC 200 or CMPSC 201) and MATH 220",PDF,1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
AERSP 460: Aerospace Control Systems,"Design and analysis of feedback control systems for aerospace applications; stability, root locus, time- and frequency-domain, state- space methods. AERSP 460 Aerospace Control Systems (3) This course is an introduction to the design and analysis of feedback control systems as applied to aerospace systems. The course covers control theory that is commonly used in the aerospace industry and presents practical applications of this theory to aerospace systems. The course does not emphasize rigorous mathematical derivation, but instead emphasizes the application of control theory. It provides a comprehensive overview of classical control theory and single-input/single-output (SISO) design methods. The course also presents an introduction to modern control theory and multi-input/multi-output (MIMO) design methods. Aerospace examples and applications are emphasized throughout the course.The course builds upon a required junior-level course in system dynamics and controls (AERSP 304), which provides students with basic dynamic system theory and a brief introduction to feedback control. The course also supplements required senior-level courses in either aircraft orspacecraft dynamics (AERSP 413 and 450) which provides background on vehicle dynamics. AERSP 460 provides an additional level of depth in dynamics and control theory, and prepares students for entry-level work or graduate studies involving the design of automatic control systems for aircraft and spacecraft. Enforced Prerequisite at Enrollment: AERSP 304",PDF,3.5,Control Systems,technical_skills-1,"{""control systems"": 5}"
AFAM 435N: Black Ecologies,"African and African Diasporic peoples have been central to the creation and transformation of global ecologies and landscapes. As the birthplace of humankind, the African continent features the longest archaeological record in the world, with abundant, yet often underrepresented, material and historical evidence for remarkable Indigenous African innovations in the areas of technology, food production, and resource and land use. This course speciﬁcally examines Black ecologies preceding and then radically transformed by the Trans-Atlantic Slave Trade. Beginning in the late ﬁfteenth century, the enslavement of millions of Africans and their forced translocation to the Americas and Caribbean precipitated ecological transformations on all sides of the Atlantic, as African peoples, knowledge, resources and ecological inheritances were appropriated by the European mercantile system. Enslaved Africans transformed American landscapes via extractive industries of plantations and mines and suffered the emergence of toxic landscapes and disease alongside Native American communities. Africans also recreated African ecologies as they created livelihoods and landscapes of resistance and freedom in the Americas. The legacies of the Atlantic Era maintain a persistent dynamic in which African and African Diasporic communities experience disproportionate burdens of environmental injustice today. The concept of Black ecologies reflects the marginality, systemic racism and dispossession experienced by Black peoples and their landscapes. Black ecologies also allow us to understand African and African Diasporic ecological innovations, resistance and resilience, and the pathways to future sustainability and justice they promise. Prerequisite: 3 credits of ANTH Cross-listed with: AFR 435N, ANTH 434N International Cultures (IL) United States Cultures (US) General Education: Humanities (GH) General Education: Social and Behavioral Scien (GS) General Education - Integrative: Interdomain GenEd Learning Objective: Global Learning GenEd Learning Objective: Integrative Thinking GenEd Learning Objective: Soc Resp and Ethic Reason Undergraduate - The Pennsylvania State University 2024-2025 3327",PDF,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
