title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"['ARTSA 401: Arts Event Planning and Project Management', 'Arts Event Planning and Project Management']",Planning and managing an event for an arts organization.,https://bulletins.psu.edu/university-course-descriptions/undergraduate/artsa/,3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
"['AIMA 430: AI Capstone I: Project Design', 'AI Capstone I: Project Design']","Artificial Intelligence (AI) is an interdisciplinary field concerned with the study of computational models of intelligence; design, implementation and application of intelligent systems/agents; exploring the design space of intelligent systems/agents; and ultimately, augmenting and extending human intellect and abilities. AI involves both algorithms and systems, with a focus on endowing computers with human-like intelligence to solve problems. This course is the first of a two-semester capstone for the Bachelor of Science in Artificial Intelligence Methods and Applications major. The goal of this course is for students to demonstrate their ability to (1) map a real-world problem that requires an AI solution (e.g., learning, inference, automated or semi-automated decision making, etc.) to an AI formulation of the problem, (2) design and prototype an initial AI solution to the problem using AI problem-solving methods, knowledge representation, machine learning, model-based inference, and automated decision making, based on concepts, techniques, and algorithms learned from at least two AI courses (e.g., , , and / / ). Furthermore, this first AI capstone course introduces students to the basics of project management, including, but not limited to, creating and refining, if needed, the scope, the tasks, and milestones of the project, as well as roles and responsibilities of each team member. Capstone projects are typically group-based, consisting of 2-4 members. Capstone projects can be initiated from various sources: instructor-initiated projects, student-proposed projects, and industry partner-initiated projects. The applications for the projects can range from personalized recommender systems and object recognition in images to stock price prediction, traffic pattern recognition, computerized assistance for medical diagnosis, and pathfinding for robots, among others. The students of this first AI capstone course will also be using a project management tool to facilitate teamwork, to uncover risks early, and to investigate suitable adaptation strategies.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/aima/,3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
"['AIMA 440: AI Capstone II: Project Implementation', 'AI Capstone II: Project Implementation']","Artificial Intelligence (AI) is an interdisciplinary field concerned with the study of computational models of intelligence; design, implementation and application of intelligent systems/agents; exploring the design space of intelligent systems/agents; and ultimately, augmenting and extending human intellect and abilities. AI involves both algorithms and systems, with a focus on endowing computers with human-like intelligence to solve problems. This course is the second of a two-semester capstone for the Bachelor of Science in Artificial Intelligence Methods and Applications (AIMA) major. The goal of this course is for students to demonstrate their ability to first perform a comprehensive evaluation of the prototype AI solution developed in (AI Capstone I - Project Design), which includes, but is not limited to usability, security, performance, cost, robustness, interpretability or explainability, and ethical implications of the AI solution. Based on results of the evaluation, students will be able to apply AI problem-solving methods, AI models (knowledge-based or machine learning-based), and AI-based automation learned from at least two AI courses to enhance the prototype AI solution toward the goal of a real-world deployment of the AI solution. The readiness of the AI solution for a real-world deployment will be assessed by each student team from multiple perspectives, including, but not limited to, performance, ethical challenges, reproducibility, observability, potential limitations, and potential benefits of the deployment. Students are also expected to apply project management skills they learned in to this second AI Capstone project course for project planning, task assignments, progress tracking, risk identifications, and risk reduction approaches.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/aima/,4.0,Automation;Project Management,technical_skills-1;engineering_capabilities-2,"{""project management"": 1, ""automation"": 1}"
"['ATHTR 438W: Administrative and Professional Aspects of Sports Health Care', 'Administrative and Professional Aspects of Sports Health Care']","Theoretical and practical aspects for management of an Athletic Training professional practice and identifying contemporary issues related to the profession. Administration and Issues in Athletic Training (3) This course is designed to instruct students in the concepts and skills required for successful administration of an athletic training program and to understand and discuss contemporary professional issues attendant to the Athletic Training profession. General topics to be covered include theoretical basis of management, program management, human resource management, financial resource management, facility design and planning, information management, athletic injury insurance, legal aspects of sports medicine, ethical considerations in sports medicine, pre participation physical and drug-testing, professional preparation issues, professional practice issues, and clinical practice issues. Experts from the community are brought in to lecture on several of the topics. This is a writing intensive course. Writing will be used to facilitate critical thinking about course material. Written assignments are based on the technical writing requirements of an athletic training administrator.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/athtr/,2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
"['AA 103: Introduction to Interior Design', 'Introduction to Interior Design']","We spend most of our time in interior space where we live, work, learn, and play, and the interior design of these spaces impacts human health and wellbeing. Individual interior spaces and the sequences of interior spaces enable us to make sense of the physical surroundings, enrich our experiences, and express particular personalities and identities. This course introduces the spectrum of interior design necessary to meet physical, psychological, and social human needs for the quality of life. The elements and principles of design in interior space and Gestalt psychology will be explored, while space planning and environmental human behavior theory will be discussed. Considering sustainability, indoor environment quality, and interior materials and finishes will be discussed. Interior design for special needs such as universal design and design for special populations will be introduced. Ultimately, students will recognize interior design as a profession and identify the design process and communication employed by the interior design profession.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/aa/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['ASTRO 120: The Big Bang Universe', 'The Big Bang Universe']","Exploration of Cosmology, Birth, and Ultimate Fate of the Universe; Origin of Galaxies, Quasars, and Dark Matter. For non-science majors The Big Bang Universe (3) (GN)(BA) This course meets the Bachelor of Arts degree requirements. Astronomical observations made during the last 70 years, combined with mathematical physical theory (Einstein's General Relativity), has led to a dramatic new view of the history of the Universe. Ten to twenty billion years ago, all the material that is now contained in stars, planets, and galaxies was then compressed into a region, smaller than a pinhead, and so hot that atoms could not survive. This fiery cauldron cooled and expanded, forming hydrogen and helium, and eventually all the materials and structures that we know today. This course will discuss the evidence, theories and controversies of this new scientific cosmology, commonly known as 'the Big Bang'. This class is designed for the non-science students who, after learning the fundamentals of astronomy in (GN), (GN) or (GN), want to pursue further the questions of cosmology. The great success of the Big Bang theory in explaining the expansion of the Universe, the synthesis of the chemical elements, and the relic radiation leftover from the first moments are reviewed. Some of the questions discussed are still debated in the scientific community. For example: Why do some galaxies have stunning spiral structures, while others are relatively featureless ellipticals? What is the ""dark matter"" that may have emerged from the Big Bang, and seems to make a larger contribution to the mass of the universe than all of the material we are familiar with? What can the most distant and oldest objects we know of, the quasars, tell us about how galaxies formed? In presenting the development of this subject, the empirical and conceptual methods of modern physical science are conveyed. Students are assigned problems that exercise the use of elementary mathematics and physics to address real issues, and will confront discussions of interpretation and meaning in essays. A final project allows them to explore individual interests.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/astro/,5.5,Hydrogen,hydrogen_phrases-5,"{""hydrogen"": 1}"
"['ASTRO 292: Astronomy of the Distant Universe', 'Astronomy of the Distant Universe']","This course is the second part of the /292 sequence, a two-semester overview of our current knowledge of astronomy. They are designed for students with a solid grounding in math and physics who wish to obtain a more quantitative understanding of the universe than that presented in ASTRO 001 or the 100-level ASTRO series. These courses are required for students majoring in astronomy, generally taken in the sophomore year. continues the survey started in . The first half of the course is devoted to stellar astronomy and astrophysics. The class follows the successful application of physics to astronomical data in the 19th -20th centuries to understand distances, masses and energy sources of stars. The formation, structure and evolution of stars is treated in the context of physical processes developed in . The class studies the death of stars, including spectacular phenomena such as supernova explosions, pulsars and black holes, solutions to difficult problem of establishing distance scales (stellar, galactic, intergalactic) are presented. In the second half of the course, the students examine the Universe on progressive larger scales: our Milky Way galaxy, other galaxies, and massive black holes in galactic cores (e.g. quasars). Exotic phenomena such as gravitational lenses, gamma-ray bursts and cosmic rays are investigated. Finally, the class delves into the remarkable findings of modern cosmology: Hubble's discovery of the expansion of the Universe, the discovery of the cosmic microwave background and consequent dominance of Big Bang cosmology in the context of Newtonian and Einsteinian theories of gravity. Cosmological evolution is studied; e.g. formation of light elements during the first few minutes, and the growth of large-scale structure that continues to the present. Unsolved problems faced by today's scientists are emphasized.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/astro/,1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
"['ASTRO 320: Observational Astronomy Laboratory', 'Observational Astronomy Laboratory']","Basic observational astronomy techniques introduced through observational exercises, lab experiments, and lectures on relevant statistical techniques. Observational Astronomy Laboratory (3) (GN) will provide students with practical experience in basic observational and laboratory aspects of astronomical data collection and analysis, including an introduction to associated statistical concepts. Observational techniques will be introduced through an observing project using a telescope with a CCS imaging camera. Lectures will introduce fundamental principles including Poisson and Gaussian statistics, measurement precision, propagation of errors, and systematic uncertainties. These principles will be put into practice in the observing project and with laboratory experiments investigating the properties of light and cosmic rays. Experiments include: a cosmic ray telescope; a Michelson interferometer; a photodiode and monochromator; laser interference, diffraction and refraction; fluorescent gases; and a diffraction grating spectrometer.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/astro/,3.5,CCS,production-3,"{""ccs"": 1}"
"['ASIA 182: Asian Trade: Economy, Industrialization and Capitalism in Asia', 'Asian Trade: Economy, Industrialization and Capitalism in Asia']","An historical overview of economy, industrialization, globalization and capitalism in Asia from the 16th century to present. ASIA (HIST) 182 Asian Trade: Economy, Industrialization and Capitalism in Asia (3) (GH;IL)(BA) This course meets the Bachelor of Arts degree requirements. Asian economies have experienced spectacular growth in the second half of the 20th century. But this growth is part of a longer story of Asian commerce and trade and its relationship to and integration with (and, in some cases, isolation from) global patterns of exchange. Moreover, these exchanges are best understood alongside the politics, society, and culture--sometimes local, sometimes regional--that shaped trade and business in entrepots, capitals, and hinterlands throughout Asia. This course begins with a historical exploration of the economic development and social change and ends by asking what lies in store for one of the world&rsquo;s fastest growing economic regions. By offering a historical frame for Asian economic experience , students will gain insight into the strengths and weaknesses of prevailing theories that tend to overstate centralized control, market mechanisms, and cultural determination. Asian economies and markets are quite diverse, consisting of emerging and mature markets, making it difficult to view them through a single lens. As a result this course seeks to introduce students to a variety of conceptual frameworks in these countries. Examinations of the major economic players China, India, and Japan form the backbone of the course, but the precise geographic emphasis will vary with instructor, and may also include discussions of Japan, Korea, Vietnam, Singapore, Indonesia, Taiwan, and other Asian states. Themes of the course will vary depending on instructor, but may include industrialization, sustainability and the environment, gender and labor, protest and political reform, and consumerism and advertising, among others. The course will also offer a general introduction to economic theories that underpin the concepts of globalization, capitalism, and socialism as they are understood in an Asian context. This course is intended as an introduction to Asia for those with particular interests in Business, Economics, Global Studies, Labor, and/or Government. Through weekly readings, films and class discussion students will be introduced to the development of Asian economies in the global context.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/asia/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"['BBH 370: Environmental Health and Sustainability', 'Environmental Health and Sustainability']","This course explores the relationship of people to their environment; notably how the natural environment influences their physical, mental, and social well-being. This course also investigates the impact of environmental issues on community, regional and global health. Students will gain a basic understanding of how environmental factors impact the health of people and the community, and an overview of public health prevention efforts to minimize negative impacts.",https://bulletins.psu.edu/university-course-descriptions/undergraduate/bbh/,5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
