course_id,title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
AAE 33800,Thermal Sciences,"A fundamental course covering a range of topics selected from the disciplines of engineering thermodynamics, fluid mechanics, heat transfer and combustion, with an emphasis on their application to propulsion. This is an entry level course to prepare students for advanced analysis of propulsion and energy systems. Upon completion of this course, students are expected to be able to apply fundamental principles to perform thermodynamic analysis for thermophysical problems involving fluid flow, heat transfer and combustion.",5.0,Heat Transfer;Combustion,engineering_capabilities-2;technical_skills-1,"{""combustion"": 2, ""heat transfer"": 2}"
AAE 35103,Aerospace Systems Design,"Aerospace system lifecycle and design process. Stakeholder needs elicitation and requirements generation. Quality function deployment and hierarchical objective trees. Concept generation and creativity techniques. Introduction to safety, risk, cost and value analysis. Critical evaluation of the applicability of systems engineering techniques in specific contexts. Application of these techniques to a team semester design project.",2.5,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 1}"
AAE 36400,Control System Analysis,"Modeling and analysis of dynamical systems with aerospace applications. Laplace transforms, transfer functions, block diagrams. Transient and steady-state response of dynamical systems. Root Locus, Bode, Nyquist methods for control systems analysis. Introduction to controller design.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
AAE 36401,Control Systems Laboratory,"Enhance student awareness of control systems by providing hands-on experience using dynamic systems representative of air and space vehicles. Design of a control system from start to finish by mapping requirements into control solutions through the process of modeling, identification, and controller design (PID and Lead-Lag).",2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
AAE 43800,Air-Breathing Propulsion,"Basic operating principles and analysis of performance characteristics of propulsion systems for air- breathing aerospace vehicles. Ramjet, turbojet, turbofan and turboprop cycle analysis. Propeller analysis and design. Analysis of flow through inlets, combustors, nozzles, compressors, and turbines. Component matching. Not open to students with credit in ME 43800.",3.5,Compressors,delivery_and_storage-3,"{""compressors"": 1}"
AAE 51900,Hypersonic Aerothermodynamics,"Aerodynamics of satellites and planetary re-entry. Continuum hypersonic flow. Inviscid and viscous effects, boundary layers, and heat transfer. Shock and boundary-layer interactions. Equilibrium flow of high-temperature reacting gases. Nonequilibrium effects. Kinetic theory and rarefied flows. Direct simulation Monte Carlo techniques.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
AAE 53300,Space Traffic Engineering Management,"The course teaches the basic techniques and concepts relevant to Space Traffic Management (STM) and Space Situational Awareness (SSA) from a rigorous engineering perspective. The class starts with learning how measurements are collected and processed and then moves on to the non-linear orbital motion and astrodynamics in the near-Earth realm. The focus is on orbit determination and orbit improvement of satellites and space debris to detect new objects and maintain custody of them. Lastly, the class focuses on determining the probability of collision of two resident space objects. At the end of the course, the students are equipped with a fundamental Matlab toolset to investigate their own STM or SSA problems.",2.5,Engineering Management,engineering_capabilities-2,"{""engineering management"": 1}"
AAE 53500,"Propulsion Design, Build, Test","Intensive one-semester treatment of the aerospace propulsion component development process. Derivation of design requirements from mission objective to detailed components; the design process. Standard methods for thermostructural, life, performance, and combustion stability design analysis; combustor design. Experimental procedures; fabrication; test. Special topics according to student interest.",2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
AAE 53700,Hypersonic Propulsion,"Analysis of advanced high speed air breathing propulsion concepts for hypersonic flight. Missions and trajectories. Engine/airframe integration. Aerothermodynamic analysis of ramjets, scramjets, and oblique detonation wave engines. On- and off-design of compression inlets and minimum length nozzles. Cryogenic fuels and skin cooling. Ram accelerator ballistic launch concepts.",3.5,Cryogenic,delivery_and_storage-3,"{""cryogenic"": 1}"
AAE 53900,Advanced Rocket Propulsion,Generalized internal compressible and incompressible flows. Thermochemistry and heat transfer in rocket applications. Advanced topics in solid rocket motor performance and internal ballistics. Liquid rocket engine cycle analysis and turbopump design. Combustion of liquid and solid propellants. Hybrid rockets and thermal-nuclear engines.,4.0,Heat Transfer;Combustion,engineering_capabilities-2;technical_skills-1,"{""combustion"": 1, ""heat transfer"": 1}"
