title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
PHYS 143 - PHYSICS FOR CITIZENSHIP,"Description: Physics is critical to our understanding of nuclear weapons, radiation, electronics, energy and global warming. The most interesting and important topics in physics, with applications to current events will be presented. Topics covered may include energy and conservation, radioactivity, nuclear physics, the Theory of Relativity, lasers, explosions and quantum physics.",https://ga.rice.edu/programs-study/courses/phys/,1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
PHIL 268 - BUSINESS ETHICS,"Description: This course explores the moral dimensions of a variety of society's business and managerial practices. While there will be some discussion of abstract moral or political theorizing, the focus will be on assessing the sorts of concrete choices made in business and related domains. Topics might include, but are not limited to, the nature of competition, the existence of corporations as legal entities, managerial chains of command, marketing and advertising, hiring and firing, strikes and whistleblowers, sustainability, international supply chains, and more.",https://ga.rice.edu/programs-study/courses/phil/,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
PHYS 512 - QUANTUM MATERIALS ENGINEERING,"Description: Introduction to the basic concepts of useful quantum (non-classical) properties of materials, as well as experimental techniques to engineer materials, with an emphasis on various optical spectroscopy. Students are encouraged to have prior exposure to quantum mechanics and electronic properties of solids (or equivalent) before enrollment, although the principles will be refreshed at the beginning of the course. Cross-list: MSNE 512 . Recommended Prerequisite(s): Quantum Mechanics; Physical Properties of Solids or Solid State Physics.",https://ga.rice.edu/programs-study/courses/phys/,2.5,Materials Engineering,engineering_capabilities-2,"{""materials engineering"": 1}"
POLI 362 - COMPARATIVE URBAN POLITICS AND POLICY,"Description: This course offers a broad overview of urban politics and policies in cities around the world. We will examine how national, regional and local forces shape the processes and outcomes governance within and across cities and metropolitan areas, paying particular attention to critical problems and policies that affect urban centers: growth, immigration, class conflict, public order, service management, education, housing transportation, environmental protection, sustainability, land-use planning and spatial competition.",https://ga.rice.edu/programs-study/courses/poli/,5.0,Environmental Protection;Sustainability,sustainability_and_policy-4,"{""sustainability"": 1, ""environmental protection"": 1}"
MGMP 595 - DATA ANALYSIS,"Description: The ever-increasing capacity of computers to analyze data and the explosion of the amount of data available have resulted in an increase role for data analysis as an aid to business decision-making. This course exposes the student to most important ideas and methods relevant for data analysis in a business context. Emphasizing practical applications to real problems, the course covers the following topics: sampling, descriptive statistics, probability distributions, and regression analysis. Required for MBA.",https://ga.rice.edu/programs-study/courses/mgmp/,1.5,Explosion,technical_skills-1,"{""explosion"": 1}"
THEA 306 - SCENIC DESIGN,"Description: Advanced examination of the principles of scenic design including research, rendering, technical drawing, model construction, text analysis and the role of the scenic designer in collaboration with directors, actors, and other designers. Students will read and analyze a variety of plays in different periods and styles, and then, based on text analysis and research, complete and present design projects.",https://ga.rice.edu/programs-study/courses/thea/,2.5,Technical Drawing,engineering_capabilities-2,"{""technical drawing"": 1}"
POLI 562 - RESEARCH SEMINAR ON COMPARATIVE URBAN POLITICS AND POLICY,"Description: This course offers a broad overview of urban politics and policies in cities around the world. We will examine how national, regional and local forces shape the processes and outcomes governance within and across cities and metropolitan areas, paying particular attention to critical problems and politics that affect urban centers: growth, immigration, class conflict, public order, service management, education, housing transportation, environmental protection, sustainability, land-use planning and spatial competition. Mutually Exclusive: Cannot register for POLI 562 if student has credit for POLI 464.",https://ga.rice.edu/programs-study/courses/poli/,5.0,Environmental Protection;Sustainability,sustainability_and_policy-4,"{""sustainability"": 1, ""environmental protection"": 1}"
MECH 203 - MECHANICAL ENGINEERING DESIGN TOOLS,"Description: Learning the use of computer aided design tools for preparing complex solid parts, assemblies, and their dimensioned drawings. Learn to apply black-box simulation tools for stress analysis, heat transfer, vibration, etc. of complex parts and assemblies. For Section 001: Learning the use of computer aided design tools for preparing complex solid parts, assemblies, and their dimensioned drawings. Learn to apply black-box simulation tools for stress analysis, heat transfer, vibration, etc. of complex parts and assemblies. CMOR 220 or equivalent Python programming experience is strongly recommended as a prerequisite for enrolling in this section.",https://ga.rice.edu/programs-study/courses/mech/,2.0,Heat Transfer,technical_skills-1,"{""heat transfer"": 2}"
MECH 407 - CAPSTONE DESIGN PROJECT I,"Description: An interdisciplinary capstone design experience in mechanical engineering. This course provides an opportunity for students to apply knowledge and skills acquired in previous courses to the solution of a realistic engineering problem. Teams of students will specify, design, and build a system to meet a prescribed set of requirements. The topics covered in this course will include design methodology, effective teamwork, project management, documentation, and presentation skills. Must complete MECH 408 to receive credit for MECH 407 . Required for mechanical engineering majors in B.S. program.",https://ga.rice.edu/programs-study/courses/mech/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
MECH 408 - CAPSTONE DESIGN PROJECT II,"Description: An interdisciplinary capstone design experience in mechanical engineering. This course provides an opportunity for students to apply knowledge and skills acquired in previous courses to the solution of a realistic engineering problem. Teams of students will specify, design, and build a system to meet a prescribed set of requirements. The topics covered in this course will include design methodology, effective teamwork, project management, documentation, and presentation skills. Must complete MECH 408 to receive credit for MECH 407 . Required for mechanical engineering majors in B.S. program. Department Permission Required.",https://ga.rice.edu/programs-study/courses/mech/,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
