title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
CHEM 310 Elements of Physical Chemistry,"Credits 3. 3 Lecture Hours. Thermodynamics, Quantum theory, spectroscopy, reaction kinetics, electrochemistry and macromolecules; may not be used by chemistry majors. Prerequisites: CHEM 102 or CHEM 120 ; MATH 151 and MATH 152 , MATH 140 and MATH 142 , MATH 168 and MATH 142 , or MATH 147 and MATH 148 , or equivalent; PHYS 201 or PHYS 218, or PHYS 206 and PHYS 226 ; Galveston campus.",https://catalog.tamu.edu/undergraduate/arts-and-sciences/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 315 Fundamentals of Quantitative Analysis,"Credits 3. 3 Lecture Hours. Quantitative and statistical methods of analysis; solution chemistry; chemical equilibrium of analytically useful reactions; advanced analytical methods including electrochemistry, separations and kinetic methods. Prerequisite: CHEM 102 or CHEM 120 .",https://catalog.tamu.edu/undergraduate/arts-and-sciences/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 316 Quantitative Analysis,"Credits 2. 2 Lecture Hours. Introductory quantitative chemical analysis; error propagation and statistics; chemical equilibrium for titrations of weak acids, polyprotic acids, and EDTA; basic chemical instrumentation including spectrophotometry, electrochemistry, and chromatography. Prerequisite: CHEM 102 or CHEM 120 ; also taught at Galveston and Qatar campuses.",https://catalog.tamu.edu/undergraduate/arts-and-sciences/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 322 Physical Chemistry for Engineers,"Credits 3. 3 Lecture Hours. Quantum theory, spectroscopy, statistical mechanics, kinetic theory, reaction kinetics, electrochemistry and macromolecules. Prerequisites: CHEM 102 or CHEM 120 ; CHEN 205 and CHEN 354 ; MATH 152 or equivalent; also taught at Galveston and Qatar campuses.",https://catalog.tamu.edu/undergraduate/arts-and-sciences/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 325 Physical Chemistry Laboratory I,"Credit 1. 3 Lab Hours. Quantitative experiments involving physical chemistry principles in areas such as thermodynamics, electrochemistry, molecular structure and equilibria using modern instrumentation. Prerequisite: CHEM 327 or registration therein.",https://catalog.tamu.edu/undergraduate/arts-and-sciences/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 446 Organic Chemistry III,"Credits 3. 3 Lecture Hours. Principles and applications of organic chemistry for students majoring in chemistry, chemical engineering, materials science, biological, and physical science: emphasis on chemical reactivity, mechanistic chemistry, and synthesis. Prerequisites: CHEM 228 or CHEM 258 ; or approval of instructor.",https://catalog.tamu.edu/undergraduate/arts-and-sciences/chemistry/,3.0,Materials Science;Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1, ""materials science"": 1}"
CHEM 483 Green Chemistry,Credits 3. 3 Lecture Hours. Environmentally benign chemistry; the design of chemical products and processes that reduce or eliminate the use and generation of hazardous substances; twelve principles of Green Chemistry; atom economy; use of renewable resources; catalysis for Green Chemistry; alternative solvents and reaction media; energy and the environment. Prerequisites: CHEM 228 or CHEM 258 ; junior or senior classification; also taught at Galveston campus.,https://catalog.tamu.edu/undergraduate/arts-and-sciences/chemistry/,3.5,Catalysis,production-3,"{""catalysis"": 1}"
ATMO 463 Air Quality,"Credits 3. 3 Lecture Hours. Atmospheric pollution sources, transport, sinks, and effects; monitoring of air pollutant emissions and of ambient concentrations; use of models to simulate air pollution; regulation of emissions and ambient concentrations; greenhouse gas emissions regulations. Prerequisite: CHEM 119 or CHEM 107 or approval of instructor; junior or senior classification.",https://catalog.tamu.edu/undergraduate/arts-and-sciences/atmospheric-sciences/,4.5,Greenhouse Gas Emissions,sustainability_and_policy-4,"{""greenhouse gas emissions"": 1}"
MARS 603 Quantitative Methods for Resource Management,Credits 3. 3 Lecture Hours. Comprehensive introduction to descriptive and inferential statistical techniques; regression models; quantitative data analysis; research designs essential for understanding resource management and policy related issues. Prerequisite: Graduate classification.,https://catalog.tamu.edu/graduate/galveston/marine-sciences-maritime-studies/marine-and-coastal-environmental-science/,2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
MARS 604 Quantitative Methods for Resource Management II,"Credits 3. 3 Lecture Hours. Continuation of a two semester sequence course; extends knowledge of quantitative methods beyond basic statistical inference and the linear regression models; advanced topics and quantitative methods used for resource management and policy related research; emphasis on panel data models, random effects and fixed effects models, spatial regression analysis, instrumental variable model, nonlinear models and maximum likelihood estimation, binary and multinomial response models and regression models for count data. Prerequisite: MARS 603 or approval of instructor.",https://catalog.tamu.edu/graduate/galveston/marine-sciences-maritime-studies/marine-and-coastal-environmental-science/,2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
