title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
AGEC 0625 - Agricultural Professional Development,"3 This course introduces the student to practical agricultural and rural development project management as a practicum. Using the case study and participatory approaches, examples from both domestic and international projects will be used to highlight the Planning, Implementation, Monitoring, Evaluation and Analysis dimensions of agricultural and rural/community development projects. Students will formally integrate academic study with practical work experience with a directed project in a cooperating business, farm operation, government agency, outreach and extension services, policy think tank, or non-profit or community based organization. The student will spend a minimum of 15 full days or 30 half days working to address an agricultural, community development or related issue. There will be a comprehensive project report at the end of the practicum, as well as an opportunity to present two seminars (at project planning and concluding phases) before peers and faculty.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CHEM 0614 - Special Topics in Inorganic Chemistry,"3 Offered on demand. 3 Topics may be selected from the following: transition metal chemistry, organometallic chemistry, kinetics and mechanisms, catalysis, crystallography, non-aqueous solvents; radio- chemistry; detailed chemistry of selected elements. .",3.5,Catalysis,production-3,"{""catalysis"": 1}"
ARCH 0366 - Sustainable Design,"3 2nd Semester 3 This course covers the man-made causes of pollution and climate change, the growth of the environmental movement, sustainable strategies in architecture and urban design, green building programs and life cycle assessment. An overview of the LEED system is provided. Professional Program admittance.",4.5,Life Cycle Assessment,sustainability_and_policy-4,"{""life cycle assessment"": 1}"
ARCH 0342 - Environmental Control Systems II,"3 2nd Semester 3 This course, the second in a two-course sequence, covers electricity, illumination, signal systems, transportation, and acoustics. A historical overview of these systems is provided. They are presented in a context of sustainable design with an emphasis on hybrid active/passive design strategies. This two-course sequence concludes with an overview of the integration of environmental control systems into the building whole. The course content is covered is presented in such a way as to be directly applied in the congruent design studio.",2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
ARCH 0341 - Environmental Control Systems I,"3 1st Semester 3 This course, the first of a two-course sequence, covers thermal control systems, water and waste systems and fire protection systems. A historical overview of these systems is provided. They are presented in a context of sustainable design with an emphasis on hybrid active/passive design strategies. The course content is presented in such a way as to be directly applied in the congruent design studio. ARCH Professional Program admittance, , and , , or and or .",2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
ARCH 0100 - Introduction to Careers in Architecture and Construction Science and Management,"1 1st Semester The purpose of this seminar is to assist students in making informed decisions regarding their future academic and professional goals and to provide information regarding careers in Architecture & Construction. The content includes, but is not limited to, careers in architecture, design, urban planning, construction management, building and maintaining the build environment. Reinforcement of academic skills occurs through seminar room instruction and applied laboratory procedures.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
APSC 0505 - Issues in Wildlife Ecology and Natural Resource Management,3 1st Semester 3 Introduction to wildlife and conservation issues; relationship between humans and nature; exploration of current threats of species and habitats and novel solutions to these threats. .,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
CHEM 0307 - Quantitative Analysis,"3 2nd Semester. 3 Theory and methodology of chemical analysis, classical, electrochemical, spectrochemical and chromatographic methods. and .",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
CHEM 0234 - General Chemistry Laboratory II,"1 1st and 2nd Semesters., Summer. 3 A continuation of CHEM 0233. The principles presented in CHEM 0232 are applied to the laboratory study of rates of reactions, chemical equilibria, electrochemical cells and acid base and redox reactions. Limited qualitative analysis is included. CHEM 0233.",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
CENG 0595 - Special Topics in Chemical Engineering,"3 3 0 Topics of interest to faculty and students such as: Computer-aided Process Design & Simulation, Irreversible Thermodynamics, Cryogenic Process Engineering and Electrochemical Engineering. Graduate Standing.",7.5,Chemical Engineering;Cryogenic;Process Engineering;Electrochemical,engineering_capabilities-2;delivery_and_storage-3,"{""cryogenic"": 1, ""chemical engineering"": 2, ""process engineering"": 1, ""electrochemical"": 1}"
