title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ARCH 4367 - Case Studies:Sustainable Arch,"3 0 or approval of college advisor. Green Revolution, sustainability, and ecological restoration. Sustainability measurements including biomimcry, ecological footprint, embodied energy, and full cost accounting. Building components sustainability by CSI division. LEED certification overview.",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
CNST 4220 - Comprehensive Construction Management and Emerging Practices,2 0 Concurrent enrollment with CNST 4331/CNST 4335. Review of construction concepts required for industry. No No,2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CNST 1361 - Construction Management I,"3 0 Overview of the construction industry, job market, roles and responsibilities, and common project management tools. No Yes",3.0,Construction Management;Project Management,engineering_capabilities-2,"{""construction management"": 1, ""project management"": 1}"
CNE 4326 - Smart and Sustainable Urban Infrastructure,"3 0 , ; all prerequisites must be completed with C- or higher. Students learn about smart cities within the context of management of urban infrastructures. Students are equipped with the knowledge and skills to help build the sustainable smart cities of the future through digital technologies, big data, smart mobility, renewable energy, low-energy buildings and neighborhoods, and sustainable urban best practices. No No",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
CNE 3310 - Construction Engineering Project Management,2 3 ; all prerequisites must be completed with C- or higher. Overall aspects of construction project and portfolio management from inception to successful operation within value engineering and analysis. This course provides hands-on training for project management software. No No,3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
COSC 4351 - Fundamentals of Software Engineering,"3.0 0.0 Computer Science majors and minors: A grade of C- or better in ; Computer Engineering majors: A grade of C- or better in . Introduction to the concepts of software engineering. Identification of problems related to the development of large software systems. Software project planning, requirements analysis, design, implementation, quality assurance and maintenance. No Typically Offered: Fall Yes",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
FINA 4382 - Developing a Real Estate Project,"3 0 and credit for or concurrent enrollment in ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. Overview of the development process from an entrepreneurial point-of-view, including market analysis, site selection, project budgeting/financial analysis, land acquisition, marketing and leasing, joint ventures, financing, design and construction management, and dispositions.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
ELET 2301 - Poly-phase Circuits and Transformers,3 0 C or better in . Poly-phase circuit analysis and fundamentals of power transformers. No Yes,2.5,Power Transformer,engineering_capabilities-2,"{""power transformer"": 1}"
ELET 2101 - Poly-Phase Circuits Laboratory,0 3 Credit for or concurrent enrollment in . Experiments in poly-phase circuits and power transformers. No Yes Lab Fee,2.5,Power Transformer,engineering_capabilities-2,"{""power transformer"": 1}"
MECE 5374 - Nonlinear Control Systems,"3 0 Senior standing in mechanical engineering, including completion of ; all prerequisites must be completed with C- or higher. Fundamental concepts of nonlinear systems to demonstrate their use and implications in the robotics, mechanical, and aerospace control system design; Lyapunov stability theory and function methods; phase plane analysis and limit cycles; discontinuous, adaptive, and robust control. No Completion of MECE 3338 with B- or better is recommended No",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
MECE 5367 - Control Systm Analysis & Desgn,"3 0 and senior standing in mechanical engineering; all prerequisites must be completed with C- or higher. Analysis and design of control systems in mechanical engineering, stability and time response, controller design, state variable approach. No Yes",6.0,ESG;Control Systems,sustainability_and_policy-4;technical_skills-1,"{""esg"": 1, ""control systems"": 1}"
MECE 5346 - Mechanics and Physics of Cells,"3.0 0.0 Senior standing in Mechanical Engineering, or senior standing in non-Mechanical Engineering majors with consent of the Mechanical Engineering Director of Undergraduate Studies. Fundamental concepts and principles in physics as well as their applications to neuroscience; electrochemical properties of neurons; neural signals; voltage-sensitive ion channels; synaptic transmission; photoreception. No Senior students from other STEM majors may request enrollment with consent of their major advisor. No",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
