title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ANTH 2400 - Principles of Cultural Anthropology,"An introduction to the basic concepts, theoretical approaches, and methodological strategies employed in the study of traditional and contemporary sociocultural systems throughout the world. Attention given to research techniques and the insights derived from detailed case studies and cross-cultural comparisons. This course satisfies WMU Essential Studies Level 2: Exploration and Discovery – Societies and Cultures Category. This course also meets the Planetary Sustainability student learning outcome. 3 hours",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CHEG 4870 - Senior Design Project,"Application of chemical engineering to the solution of a complex, open-ended research problem selected in consultation with faculty. The project will involve feasibility analysis, design, and optimization of chemical processes. The project is the culmination of the curriculum and is a major design experience based on the knowledge and skills acquired in earlier coursework and will incorporate appropriate engineering standards and multiple realistic constraints. Emphasis will be on working in small design groups, submission of written report, and oral presentation. This course is approved as a writing-intensive course. This course satisfies WMU Essential Studies Level 3: Connections – Local and National Perspectives Category. Will be offered as honors courses for interested students. Prerequisite: CHEG 4600, a minimum grade of “C” is required in CHEG prefixed prerequisites. 3 hours (1 - 2)",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEG 5200 - Renewable Energy and Energy Storage,"This course covers the basic concepts of energy, energy conversion and energy storage with emphasis on renewable energy and rechargeable battery. Fundamentals and state-of-the-art technologies for utilizing renewable resources for energy will be introduced. Theories, processes and applications of energy conversion and storage technologies, including electric capacitors, batteries, rechargeable batteries and fuel cells, will be discussed.",8.5,Renewable Energy;Fuel Cell,sustainability_and_policy-4;use-3,"{""fuel cell"": 1, ""renewable energy"": 2}"
CHEG 5300 - Renewable Bioresource for Chemicals & Nanomaterials,"This course overviews basic science, technology, and chemical engineering concepts associated with conversion of renewable resources (e.g., biomass) to chemicals, biofuels, and nanomaterials. It will provide an exhaustive review of biomass composition, structure, functionality, and chemistry, elucidate biochemicals and thermochemical conversion processes for chemicals and biofuels preparation, unit operations, bioproducts, nanomaterials, nanomaterials processing techniques, preparation and engage the students to dialogue the applications of nanofibers and nanocomposites in light of well-established chemical engineering constructs.",7.0,Chemical Engineering;Biofuels,use-3;engineering_capabilities-2,"{""biofuels"": 2, ""chemical engineering"": 2}"
CHEG 4830 - Process Control I,"Introduction to automatic control covering control methods, theory, loop analysis, and control loop hardware, including sensors, transmitters, controller and control valves. Includes the necessary secondary loop topics such as circuits (RC and RL) and circuit laws. Prerequisites: CHEG 3120, MATH 3740, and PHYS 2070. A minimum grade of “C” is required in CHEG prefixed prerequisites. 3 hours (3 - 3)",1.5,Process Control,technical_skills-1,"{""process control"": 1}"
CHEG 4950 - Topics in Chemical Engineering,A specialized course dealing with a specific area in chemical engineering not included in other course offerings.,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
"HPHE 3300 - Grants and Fund Development in Sports, Recreation and Events","This course is a practical application of grant writing with an emphasis on sports, recreation and event projects. Students will complete a grant application that supports a recreation, sport, or event program or event. Students will outline community need, create program goals and objectives, design a budget, and determine collaborative partners that create sustainability. This is a writing course that incorporates fund development content in addition to completing a grant application. Prerequisites: HPHE 3100 or HPHE 3760 (may be taken concurrently). A grade of “C” or better is required to satisfy any course prerequisite. 3 hours Restricted to majors in Recreation/Sport Management and Event Management.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HNRS 4302 - Study in the States - Planetary Sustainability,"Study in the States courses in the Lee Honors College allow students the opportunity to get out of the classroom and travel with an expert WMU faculty member to explore a topic in depth while traveling domestically within the United States. Courses typically last 7-10 days and take place during spring, summer I and summer II semesters. An approved application is required. HNRS 4301 includes content specific to Planetary Sustainability. This course satisfies WMU Essential Studies Level 3: Connections – Local and National Perspectives Category. This course also meets the Planetary Sustainability student learning outcome. 3 hours",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
HNRS 2501 - Thinking With Rivers,"This class encourages students to consider rivers not only as organisms with anatomies, lifespans, temperaments, memories, volitions, and—perhaps—legal rights but also as historical agents that have shaped human societies. By the end of the semester, students will be able to think with rivers, not just about them. This course satisfies WMU Essential Studies Level 2: Exploration and Discovery – Societies and Cultures. This course also meets the Planetary Sustainability student learning outcome. 3 hours Restricted to Lee Honors College students only.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
IADN 2440 - Interior Materials,"An examination of all interior materials through instructor lectures, guest speaker presentations and hands on student lab assignments. This course introduces students to material options. Students analyze both soft and hard materials in regards to quality, performance, and maintenance for residential and commercial applications. Special attention is devoted to understanding and making sustainable material selections. Prerequisites: FCS 2200 or IADN 2200. A grade of “C” or better is required for all prerequisites. 3 hours Interior Architecture and Design & Interior Design majors and minors",1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
IEE 5200 - Modern Industrial Practices,"Students will observe and analyze how advanced concepts in Capital budgeting, Simulation, Production/Operations Management, Project Management, Quality, and Concurrent Engineering are integrated into decision making and R&D functions at industrial and serviced-based enterprises. Students will visit companies and explore the many facets of contemporary practices and procedures.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
IEE 3420 - Ergonomics and Design,"An introduction to ergonomics affording students the necessary knowledge essential for the psychological and anthropometrical development leading to good design. Emphasis is placed on health and safety. A design project is required. 3 hours Restricted to majors in Industrial Engineering, Industrial and Entrepreneurial Engineering, Product Design, Engineering Design Technology, Engineering Management Technology, and Manufacturing Engineering Technology. (2 - 3)",2.5,Engineering Management,engineering_capabilities-2,"{""engineering management"": 1}"
IEE 3100 - Engineering Economy,"This course covers the analysis and design of traditional and sustainable economic systems. Analysis of alternatives is presented by including topics such as time value of money, net present value, internal rate of return, depreciation, taxes, and inflation, with emphasis on planetary sustainability as an essential design and analysis consideration. Integrating economic principles across disciplines is emphasized throughout the course. This course satisfies WMU Essential Studies Level 2: Exploration and Discovery – Science and Technology Category. This course also meets the Planetary Sustainability student learning outcome. Prerequisites: MATH 1230 and Junior standing. 3 hours Restricted to majors in Computer Engineering, Construction Engineering, Chemical Engineering, Civil Engineering, Industrial and Entrepreneurial Engineering, Mechanical Engineering, and Paper Engineering. (3 - 0)",7.5,Chemical Engineering;Sustainability,sustainability_and_policy-4;engineering_capabilities-2,"{""sustainability"": 2, ""chemical engineering"": 1}"
HOL 2000 - Choices in Global Living,"This course considers the concept of ‘health’ at both the individual and global level by exploring the connection between an individual’s lifestyle choices and their impact on the larger world of work and service. The theory of holism, along with related theories (multiculturalism, sustainability, and ecological systems) are considered across a variety of disciplines in order to examine current initiatives that are occurring in order to improve the human condition. This course satisfies WMU Essential Studies Level 2: Exploration and Discovery – Personal Wellness Category and Developing Practices for Planetary Sustainability. Prerequisite: HOL 1000 or HOL 2801, with a grade of “C” or better (may be taken ). 3 hours",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
BUS 4500 - Business Ethics and Sustainability,"This course seeks to develop students’ understanding of business ethics and sustainability. The goal is to provide students with an enhanced ability to recognize and apply the ethical dimensions of business problems. Students will assess activities from different functional areas of business in the context of developing sustainable practices that promote profitable business solutions to pressing social and environmental challenges. Prerequisites: (CIS 2700 or BUS 2700), FIN 3200, MGT 2500 and MKTG 2500 3 hours Restricted to majors in Leadership and Business Strategy.",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
BUS 3961 - Sustainability Study Abroad Seminar,"An international study seminar for undergraduate students. This course provides students with first hand exposure to cultural differences and sustainability efforts in other environments. This course will also explore how business is conducted overseas through visits to foreign manufacturing, service, governmental and/or non-governmental organizations supplemented by coordinated lectures and assigned readings. This course satisfies WMU Essential Studies Level 3: Connections – Global Perspectives Category. This course also meets the Planetary Sustainability student learning outcome. May be repeated for credit. 3 hours",5.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 3}"
GPS 1500 - Introduction to Graphic and Printing Science,"An introductory course describing the printing/imaging industry. Image Design, preparation, generation, photo imaging by photomechanical and desktop systems, proofing, presswork, and bindery. A comparison of all printing methods will be included. Learning environment enhance by hands-on experience. This course satisfies WMU Essential Studies Level 2: Exploration and Discovery – Scientific Literacy with Lab Category. This course also meets the Planetary Sustainability student learning outcome. 4 hours (3 - 3)",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
HIST 5891 - Digital Humanities,"An introduction to basic tools used in the construction of humanities projects that are digitally based. Students will learn about different types of data (structured, unstructured) and the process of acquiring, cleaning, and creating file types appropriate to humanist projects. They will evaluate tools used by humanists for analysis and data presentation using text, images, sound, statistics, and data visualization, as well as tools used for project management and supervision. The course surveys problems and current discussions in the field of digital humanities in areas like creation, maintenance, sustainability, authorship, control, legal compliance, and accessibility (ADA).",7.0,Sustainability;Project Management,sustainability_and_policy-4;engineering_capabilities-2,"{""sustainability"": 1, ""project management"": 1}"
HIST 5150 - Topics in Public History,"Selected topics in aspects of public history including museology, historic preservation and cultural resource management, historical administration, information science, and applied research. Specific topics will be listed in Schedule of Course Offerings.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
HIST 3615 - The European Witch-Hunt,"This course will examine the intellectual and legal foundations, and demographic and religious factors that created an environment conducive for the Witch-Hunt; the targets, the nature, geographic scope, and chronology of the accusations and the trials; some theories explaining the rise and decline of the Witch-Hunt; and its legacy in modern popular culture. 3 hours",3.5,CCUS,production-3,"{""ccus"": 1}"
HIST 3180 - American Environmental History,This course explores the impact of environmental conditions on American historical and cultural development and examines changing attitudes toward environmental issues. This course satisfies WMU Essential Studies Level 2: Exploration and Discovery – Science and Technology Category. This course also meets the Planetary Sustainability student learning outcome. 3 hours,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
